# Binding energy = (3.46)*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
9.999999999999999547e-07 0.000000000000000000e+00 0.000000000000000000e+00 2.317224914067006094e-09
1.122667773510813544e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.608101472464718073e-09
1.260382929679727474e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.935059733868535782e-09
1.414991297434575852e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.303453729965304397e-09
1.588565129428052708e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.719645285125987526e-09
1.783430876931909385e-06 0.000000000000000000e+00 0.000000000000000000e+00 4.190222306490988362e-09
2.002200371815584564e-06 0.000000000000000000e+00 0.000000000000000000e+00 4.715966503974981611e-09
2.247805833548725500e-06 0.000000000000000000e+00 0.000000000000000000e+00 5.308293141479044851e-09
2.523539170434765982e-06 0.000000000000000000e+00 0.000000000000000000e+00 5.978810355775357731e-09
2.833096101839324281e-06 0.000000000000000000e+00 0.000000000000000000e+00 6.735144076211284850e-09
3.180625692794119338e-06 0.000000000000000000e+00 0.000000000000000000e+00 7.591604788594109937e-09
3.570785964900462606e-06 0.000000000000000000e+00 0.000000000000000000e+00 8.565512306441859722e-09
4.008806328898464506e-06 0.000000000000000000e+00 0.000000000000000000e+00 9.673586536262881727e-09
4.500557675700497562e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.093656493072831140e-08
5.052631065335680056e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.229654688362535298e-08
5.672426068491977286e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.380379131840612557e-08
6.368249944718586522e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.553307670769282650e-08
7.149428986597577096e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.751304190535297477e-08
8.026433522257174640e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.978954382023746737e-08
9.011018251665018299e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.240570507956755614e-08
1.011637979766207114e-05 0.000000000000000000e+00 0.000000000000000000e+00 2.536688354694142346e-08
1.135733358343105172e-05 0.000000000000000000e+00 0.000000000000000000e+00 2.877331052744818241e-08
1.275051240713012877e-05 0.000000000000000000e+00 0.000000000000000000e+00 3.271116996494877954e-08
1.431458937523478591e-05 0.000000000000000000e+00 0.000000000000000000e+00 3.727099459691444918e-08
1.607052818261638468e-05 0.000000000000000000e+00 0.000000000000000000e+00 4.261189687818385901e-08
1.804186409392071643e-05 0.000000000000000000e+00 0.000000000000000000e+00 4.868502121639355077e-08
2.025501939230666413e-05 0.000000000000000000e+00 0.000000000000000000e+00 5.544966547498944753e-08
2.273965752357927516e-05 0.000000000000000000e+00 0.000000000000000000e+00 6.297542908552506313e-08
2.552908068239516468e-05 0.000000000000000000e+00 0.000000000000000000e+00 7.181186603951952493e-08
2.866067616948250315e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.218599366701400770e-08
3.217641750250735676e-05 0.000000000000000000e+00 0.000000000000000000e+00 9.415095504340074004e-08
3.612342699709430527e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.077544238292767667e-07
4.055460735840827523e-05 2.236299035282369025e-10 1.720230027140283690e-09 1.231940355174871086e-07
4.552935074866947907e-05 7.853928989522957328e-10 6.041483838094580206e-09 1.411195351548807583e-07
5.111433483440165230e-05 1.478189301735327963e-09 1.115510555064998796e-08 1.617473058224893937e-07
5.738441648302392912e-05 2.891157033485512430e-09 2.089441082169619005e-08 1.851217973998859350e-07
6.442363508721369713e-05 4.888002089905413220e-09 3.455020851920983735e-08 2.111941418973492855e-07
7.232633896483533814e-05 7.830939798473791992e-09 5.404583761527531362e-08 2.406925955229657219e-07
8.119844993184009404e-05 1.190362781178788031e-08 8.087294570098911266e-08 2.773100985685072568e-07
9.115888299750818402e-05 1.746527961393232979e-08 1.170879385304561793e-07 3.221334432319996597e-07
1.023411402105453783e-04 2.501368909837206555e-08 1.651045798129497740e-07 3.619162790630538234e-07
1.148951000187309584e-04 3.494129667396481642e-08 2.290082440927889587e-07 4.081803322179238752e-07
1.289890261253309376e-04 4.877419105102848267e-08 3.166593682973544780e-07 4.556460102348879661e-07
