# Binding energy = beta*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
9.999999999999999547e-07 2.692637274921778885e-10 4.265134354541460903e-09 7.686925147494957704e-09
1.122667773510813544e-06 4.939763882854272965e-10 7.824580323651997917e-09 8.672567976395058448e-09
1.260382929679727474e-06 1.112800257746465580e-09 1.675414663047720109e-08 8.969359786112260869e-09
1.414991297434575852e-06 1.905849445417902708e-09 2.796757096143102139e-08 1.008241041217608440e-08
1.588565129428052708e-06 3.112624065854811096e-09 4.435991312799724993e-08 1.061620291671843429e-08
1.783430876931909385e-06 4.752733552452165222e-09 6.667764549472713493e-08 1.193459255839120698e-08
2.002200371815584564e-06 6.951745424934167484e-09 9.605989041031722463e-08 1.274462318507674024e-08
2.247805833548725500e-06 1.006738115497453349e-08 1.374229474985957986e-07 1.422740591065355123e-08
2.523539170434765982e-06 1.420226337819647359e-08 1.919299746432465713e-07 1.585243270031469844e-08
2.833096101839324281e-06 1.966429648687328902e-08 2.636746650931094211e-07 1.705144360208043939e-08
3.180625692794119338e-06 2.720825641304456565e-08 3.625468619417102891e-07 1.888343662187299594e-08
3.570785964900462606e-06 3.727665397638599108e-08 4.940540423887531876e-07 2.040169156747482878e-08
4.008806328898464506e-06 5.065352497379659467e-08 6.690067535266073784e-07 2.251357372454031504e-08
4.500557675700497562e-06 6.838229869254217673e-08 8.998955190203290048e-07 2.480720637907931654e-08
5.052631065335680056e-06 9.211507413682794710e-08 1.209681300558307547e-06 2.686887166338309761e-08
5.672426068491977286e-06 1.241427657165790173e-07 1.626884270622946938e-06 2.960973481490756475e-08
6.368249944718586522e-06 1.667154134804103104e-07 2.180670228753729447e-06 3.207545226360491789e-08
7.149428986597577096e-06 2.234589930189618289e-07 2.918778866436634582e-06 3.504531495740585468e-08
8.026433522257174640e-06 2.993597716317553068e-07 3.908307405124238549e-06 3.804747245290108690e-08
9.011018251665018299e-06 4.001574310534710223e-07 5.221104768588513632e-06 4.157443904070742065e-08
1.011637979766207114e-05 5.349040264303934795e-07 6.974474930764059505e-06 4.551816697556873223e-08
1.135733358343105172e-05 7.156144404191690235e-07 9.325327302644449386e-06 4.950123255333424746e-08
1.275051240713012877e-05 9.564455741568472119e-07 1.246128247675711869e-05 5.392377902893657051e-08
1.431458937523478591e-05 1.277496964383722491e-06 1.663889037094012913e-05 5.845344974322016728e-08
1.607052818261638468e-05 1.705347230132577191e-06 2.220801069751080742e-05 6.503693125970197235e-08
1.804186409392071643e-05 2.278003150238037680e-06 2.965729775337325142e-05 7.061707457657315013e-08
2.025501939230666413e-05 3.040235111773062107e-06 3.957605452046843695e-05 7.860557851371044806e-08
2.273965752357927516e-05 4.057866708030893490e-06 5.281386254895836210e-05 8.631961842253793751e-08
2.552908068239516468e-05 5.415681898965726684e-06 7.048057203797517803e-05 9.381884975765386793e-08
2.866067616948250315e-05 7.225220131219758622e-06 9.402038768203255172e-05 1.015111020905820617e-07
3.217641750250735676e-05 9.640358197462807724e-06 1.254286372060176794e-04 1.126898590922835017e-07
3.612342699709430527e-05 1.285771784190948254e-05 1.672710950411127615e-04 1.243480924582350959e-07
4.055460735840827523e-05 1.714635430879118692e-05 2.230336967740410023e-04 1.351119144595284283e-07
4.552935074866947907e-05 2.286190800906296860e-05 2.973337295559484164e-04 1.506899489204467798e-07
5.111433483440165230e-05 3.047465561676280710e-05 3.962821750985299932e-04 1.671790490993246286e-07
5.738441648302392912e-05 4.061354867911858387e-05 5.280327424810460487e-04 1.902317130563438344e-07
6.442363508721369713e-05 5.411012545553575958e-05 7.033766936324403534e-04 2.183166639654528422e-07
7.232633896483533814e-05 7.207197379103894312e-05 9.366680557139457023e-04 2.583074314894833333e-07
8.119844993184009404e-05 9.596011893246687114e-05 1.246822256869520524e-03 3.127757402908832679e-07
9.115888299750818402e-05 1.277172283153707433e-04 1.658992125839415903e-03 3.896910637273621560e-07
1.023411402105453783e-04 1.699059991297713562e-04 2.206323973114401611e-03 5.147217644306288893e-07
