# Binding energy = (13.2)*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
9.999999999999999547e-07 0.000000000000000000e+00 0.000000000000000000e+00 8.084495057770297711e-09
1.122667773510813544e-06 0.000000000000000000e+00 0.000000000000000000e+00 9.073446000267426974e-09
1.260382929679727686e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.018931550006169355e-08
1.414991297434576064e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.145379011001094554e-08
1.588565129428052496e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.288779613263271739e-08
1.783430876931909385e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.448760116242497891e-08
2.002200371815584564e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.629413397080491825e-08
2.247805833548725500e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.832181371757460559e-08
2.523539170434765982e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.054837954311756033e-08
2.833096101839324281e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.307118938846058172e-08
3.180625692794119338e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.589065044651040155e-08
3.570785964900462182e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.912307013339781061e-08
4.008806328898464506e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.276520002651931793e-08
4.500557675700497562e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.686452635069186374e-08
5.052631065335680056e-06 0.000000000000000000e+00 0.000000000000000000e+00 4.145807100261551783e-08
5.672426068491977286e-06 0.000000000000000000e+00 0.000000000000000000e+00 4.666362070906778219e-08
6.368249944718586522e-06 1.336253595866952698e-10 1.585629666667788114e-09 4.981515484996884535e-08
7.149428986597577096e-06 3.943437774051276359e-10 4.679375189360887898e-09 5.607105480679469040e-08
8.026433522257174640e-06 8.832803098548562822e-10 1.028240865340952045e-08 5.797966487709278912e-08
9.011018251665018299e-06 1.727745436067813437e-09 1.926127350956026141e-08 6.514233592555227893e-08
1.011637979766207284e-05 2.921169343953030502e-09 3.185078085440278354e-08 7.311125850673430569e-08
1.135733358343105172e-05 4.680359036591531170e-09 4.982652681870361389e-08 7.682956333823911233e-08
1.275051240713012877e-05 7.043657617229245008e-09 7.371678063374836397e-08 8.599549955389119626e-08
1.431458937523478591e-05 1.043979397970244032e-08 1.079560358163760045e-07 9.159171604829369531e-08
1.607052818261638468e-05 1.485572037315935664e-08 1.515750125263638985e-07 1.025062696792356158e-07
1.804186409392071643e-05 2.088587739880628558e-08 2.111540079011562201e-07 1.147100680183501959e-07
2.025501939230666413e-05 2.905871442155378298e-08 2.915168803687623222e-07 1.231037772108932045e-07
