# Binding energy = (3/2)*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
9.999999999999999547e-07 0.000000000000000000e+00 0.000000000000000000e+00 2.511174606666777810e-08
1.122667773510813544e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.820701279436120555e-08
1.260382929679727474e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.168488845408063798e-08
1.414991297434576064e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.559339546252671168e-08
1.588565129428052708e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.998851718728315677e-08
1.783430876931909385e-06 0.000000000000000000e+00 0.000000000000000000e+00 4.492835356116157126e-08
2.002200371815584564e-06 0.000000000000000000e+00 0.000000000000000000e+00 5.048255566083936576e-08
2.247805833548725077e-06 0.000000000000000000e+00 0.000000000000000000e+00 5.672716482255597976e-08
2.523539170434765982e-06 0.000000000000000000e+00 0.000000000000000000e+00 6.375200627818201391e-08
2.833096101839324281e-06 0.000000000000000000e+00 0.000000000000000000e+00 7.165809683364579964e-08
3.180625692794119338e-06 0.000000000000000000e+00 0.000000000000000000e+00 8.055742698295790731e-08
3.570785964900462606e-06 0.000000000000000000e+00 0.000000000000000000e+00 9.059833767055439362e-08
4.008806328898464506e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.019158764784271424e-07
4.500557675700497562e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.146745279053998214e-07
5.052631065335680056e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.290617031543825038e-07
5.672426068491977286e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.368249944718586522e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.149428986597576249e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.026433522257174640e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.011018251665016605e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.011637979766207114e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.135733358343105172e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.275051240713012877e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.431458937523478591e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.607052818261638468e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.804186409392071643e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.025501939230666413e-05 0.000000000000000000e+00 0.000000000000000000e+00 5.278388645752310749e-08
2.273965752357927516e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.173819804862392158e-07
2.552908068239516468e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.903835770219405292e-07
2.866067616948250654e-05 0.000000000000000000e+00 0.000000000000000000e+00 2.726549872264924621e-07
3.217641750250735676e-05 0.000000000000000000e+00 0.000000000000000000e+00 3.374768136446033043e-07
3.612342699709430527e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.055460735840827523e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.552935074866947907e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.111433483440165230e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.738441648302392912e-05 0.000000000000000000e+00 0.000000000000000000e+00 3.539397039779480563e-08
6.442363508721369713e-05 0.000000000000000000e+00 0.000000000000000000e+00 2.122644460999808349e-07
7.232633896483533814e-05 0.000000000000000000e+00 0.000000000000000000e+00 4.647508666767502021e-07
8.119844993184009404e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.115888299750818402e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.023411402105453783e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.148951000187309720e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.289890261253309376e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.448118227674534582e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625755666443795110e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.825183494319044218e-04 2.655050690515889201e-09 9.735185865224928864e-09 0.000000000000000000e+00
2.049074689815848173e-04 1.210405180910231699e-07 4.438152330004184662e-07 0.000000000000000000e+00
2.300430119772919131e-04 2.632355457377839142e-07 9.651970010385409659e-07 0.000000000000000000e+00
2.582618760682677613e-04 5.402628265443214534e-07 1.885892923064736052e-06 0.000000000000000000e+00
2.899422853882878274e-04 9.436658855684121339e-07 3.189985307310397462e-06 0.000000000000000000e+00
3.255088599835059718e-04 1.462294800236484765e-06 4.840099874928790059e-06 0.000000000000000000e+00
3.654383070957258495e-04 2.193685505641176940e-06 7.063076005016736810e-06 0.000000000000000000e+00
4.102658105827195335e-04 3.084568865074481411e-06 9.768870267061717793e-06 0.000000000000000000e+00
4.605922041145108403e-04 4.236842867353386801e-06 1.317783665347817481e-05 0.000000000000000000e+00
5.170920242896760938e-04 5.663249163383056231e-06 1.736524128345756648e-05 0.000000000000000000e+00
5.805225516094901636e-04 7.423459931538938871e-06 2.250365135879167611e-05 0.000000000000000000e+00
6.517339604882426947e-04 9.614535912239774546e-06 2.883293612350699704e-05 0.000000000000000000e+00
7.316807143427199196e-04 1.227212590834193127e-05 3.651658887456087007e-05 0.000000000000000000e+00
8.214343584919430634e-04 1.559111413930426042e-05 4.602927089615913145e-05 0.000000000000000000e+00
9.221978823334331301e-04 1.963909322751467991e-05 5.763105593344895760e-05 0.000000000000000000e+00
1.035321843295662538e-03 2.459863006308607607e-05 7.181834355889623928e-05 0.000000000000000000e+00
1.162322468679853095e-03 3.067155066187176465e-05 8.916651262340462823e-05 0.000000000000000000e+00
1.304901978014402992e-03 3.810296820413383920e-05 1.103928174080176386e-04 7.619867235323610348e-07
1.464971398307286267e-03 4.721914405023128008e-05 1.363796855947234658e-04 1.029098479562629471e-06
1.644676177994664444e-03 5.835074847313026454e-05 1.681342143323093198e-04 1.066258538159331567e-06
1.846424942895544133e-03 7.198395034120486503e-05 2.069929218108415526e-04 1.925531480103992226e-06
2.072921779595371904e-03 8.866694041566918687e-05 2.545466982738384077e-04 2.038006658752256336e-06
2.327202478960409531e-03 1.090685901186918476e-04 3.126874887409707322e-04 2.660610834657253635e-06
2.612675225563328932e-03 1.340303484342120818e-04 3.838187462194642759e-04 3.913861728952857852e-06
2.933166278390045463e-03 1.645849317141713996e-04 4.708672413613717829e-04 6.512226689403195969e-06
