# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
5.284770204694519435e+01, 4.948808293641999145e-01, 1.077532614107140835e+05, 5.332502337363162223e+04, 2.484910055059128524e+02, 1.368096805572407426e+00, 1.974851046196030580e-01
5.903890782763249945e+01, 4.939547706952043260e-01, 1.342348289702194743e+05, 6.630593416329473257e+04, 3.336625524070419146e+02, 1.889540038716171377e+00, 4.101756879134875189e-01
6.595542478617888094e+01, 4.928296217024185633e-01, 1.661973582921182970e+05, 8.190698121504597657e+04, 4.532891727985808075e+02, 2.406769886172816175e+00, 4.704885947291830295e-01
7.368222446502095124e+01, 4.937776364930190343e-01, 2.053195914324553451e+05, 1.013822225832301192e+05, 6.129573797716932404e+02, 3.151360126106285797e+00, 6.436854956553516027e-01
8.231423297953507756e+01, 4.948924887123741789e-01, 2.507858737953180098e+05, 1.241120452164723101e+05, 8.111859493850929539e+02, 4.011741424094891428e+00, 9.006301449680159665e-01
9.195749721462016169e+01, 4.965127228400644799e-01, 3.038619894221561262e+05, 1.508713437355936039e+05, 1.090870496309572218e+03, 5.529782504927839071e+00, 1.491294562645257837e+00
1.027304876433610872e+02, 4.985524326808640772e-01, 3.639594129013076308e+05, 1.814528506990459864e+05, 1.420782878628986282e+03, 7.319623695387130091e+00, 2.243333331581844892e+00
1.147655537733020736e+02, 5.014764484297296043e-01, 4.313566906540706404e+05, 2.163152212356048694e+05, 1.900361185388503827e+03, 9.499426900612991886e+00, 2.895491626270788377e+00
1.282105501009355635e+02, 5.049553225609677565e-01, 5.028347353322678828e+05, 2.539090759745641553e+05, 2.473272678735902900e+03, 1.239193415202165127e+01, 3.866166337829393562e+00
1.432306525497589575e+02, 5.107381992926832703e-01, 5.741577298743585125e+05, 2.932442850660047261e+05, 3.251101193585673627e+03, 1.619338288941106896e+01, 5.569212443750871877e+00
1.600103877074003265e+02, 5.179156322674305368e-01, 6.397445515421461314e+05, 3.313337039015944465e+05, 4.195803497944345509e+03, 2.096029420592818937e+01, 7.249817415182244318e+00
1.787558997916165993e+02, 5.284559926955828546e-01, 6.916503898477822077e+05, 3.655067933652966167e+05, 5.475104145948216683e+03, 2.702129366201364391e+01, 9.713036415051787387e+00
1.996974831955403999e+02, 5.387910752747607779e-01, 7.375808564376007998e+05, 3.974019827420939109e+05, 7.140068432715309427e+03, 3.362088584259746682e+01, 1.225908906111389207e+01
2.230924117252739336e+02, 5.482363803192187302e-01, 8.134612594108164776e+05, 4.459690563892989885e+05, 9.343226715446327944e+03, 4.361143253173229795e+01, 1.663784886996884183e+01
2.492280992878862378e+02, 5.575212900901226343e-01, 9.022733624040007126e+05, 5.030366090214311844e+05, 1.213022944289150837e+04, 5.642203867812498430e+01, 2.219348118902529876e+01
2.784256308598396572e+02, 5.657884728945394848e-01, 1.002913008117671590e+06, 5.674366193089663284e+05, 1.557784038837672961e+04, 7.352822205986072390e+01, 2.949646731845391301e+01
3.110437071148807604e+02, 5.753742004522472975e-01, 1.107639089713718509e+06, 6.373069556336858077e+05, 1.996088152765484483e+04, 9.344374854285199206e+01, 3.879629228130937690e+01
3.474830511723650943e+02, 5.845015641725529454e-01, 1.226489707705265610e+06, 7.168851525952649536e+05, 2.568055837162806347e+04, 1.190860508768538466e+02, 5.198061233408179760e+01
3.881913316042777637e+02, 5.944895586229750339e-01, 1.353547246174106142e+06, 8.046697049533877289e+05, 3.293250019762181182e+04, 1.513802465606453040e+02, 6.794487214912294348e+01
4.336686621816065781e+02, 6.042616896148119698e-01, 1.496396628846207866e+06, 9.042151552805182291e+05, 4.256479287425753864e+04, 1.937301378919551667e+02, 8.837421187731582961e+01
4.844737459261492631e+02, 6.153296631937648087e-01, 1.650608319349985803e+06, 1.015668261210452882e+06, 5.491566689368672814e+04, 2.494353784547635371e+02, 1.167400556086061982e+02
5.412307389493225855e+02, 6.260614524785920176e-01, 1.818694956048895372e+06, 1.138614805799460504e+06, 7.095394356130246888e+04, 3.222013946910253708e+02, 1.570371831953755475e+02
6.046369184023494654e+02, 6.366274747002916845e-01, 1.998001529290781356e+06, 1.271982668039710959e+06, 9.120025977282045642e+04, 4.070772586131085404e+02, 2.023848083091546641e+02
6.754712487409561845e+02, 6.476430373940356144e-01, 2.194080817648927681e+06, 1.420981165030140663e+06, 1.164456156827180384e+05, 5.220545696296542246e+02, 2.676852497782845148e+02
7.546039515437796581e+02, 6.590340397177794074e-01, 2.409108460481618531e+06, 1.587684480829481501e+06, 1.497078150091690768e+05, 6.622902760441013470e+02, 3.502820669981636001e+02
8.430071964526541706e+02, 6.708057824444294548e-01, 2.638804439614763949e+06, 1.770125276833615964e+06, 1.930127101537186245e+05, 8.450857620025606138e+02, 4.575933808717876445e+02
9.417670445762749978e+02, 6.828632015351396856e-01, 2.888163802534086164e+06, 1.972220780756329186e+06, 2.485521172794400190e+05, 1.090751929260763291e+03, 6.140656943037621431e+02
1.052096791085630684e+03, 6.954924995874560700e-01, 3.156598630825091619e+06, 2.195390671946884599e+06, 3.205399000915206270e+05, 1.403488266710925245e+03, 8.122232865272684421e+02
1.175351870919105522e+03, 7.078945985040987487e-01, 3.439586610000469256e+06, 2.434864782306356356e+06, 4.124336791999517591e+05, 1.769424246943513708e+03, 1.058488957804085885e+03
