# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3]
1.000000000000000000e+02, 2.843000000000515670e-01, 2.797599223190004705e+05, 7.953574591530626640e+04, 0.000000000000000000e+00
1.100000000000000000e+02, 2.906999999999295148e-01, 3.073563451581283007e+05, 8.934848953744623577e+04, 0.000000000000000000e+00
1.200000000000000000e+02, 2.852000000000013968e-01, 3.348845210054430645e+05, 9.550906539075283217e+04, 0.000000000000000000e+00
1.300000000000000000e+02, 2.998000000000238252e-01, 3.623446392238961998e+05, 1.086309228393327212e+05, 0.000000000000000000e+00
1.500000000000000000e+02, 3.026999999999464008e-01, 4.170614571176356985e+05, 1.262445030694859743e+05, 0.000000000000000000e+00
1.600000000000000000e+02, 3.135000000000686127e-01, 4.443185324176899157e+05, 1.392938599129762733e+05, 0.000000000000000000e+00
1.800000000000000000e+02, 3.157000000000381723e-01, 4.986309501721996348e+05, 1.574177909693824477e+05, 0.000000000000000000e+00
2.000000000000000000e+02, 3.226000000000073809e-01, 5.526756295939759584e+05, 1.782931581070207176e+05, 5.526756295939541985e+01
2.200000000000000000e+02, 3.318999999999101558e-01, 6.064540487340328982e+05, 2.012820987747710315e+05, 0.000000000000000000e+00
2.400000000000000000e+02, 3.323999999999390775e-01, 6.599676759924320504e+05, 2.193732554998442065e+05, 6.599676759923430325e+01
2.700000000000000000e+02, 3.493000000000011096e-01, 7.397448206774438731e+05, 2.583928658626319666e+05, 0.000000000000000000e+00
3.000000000000000000e+02, 3.591000000000327819e-01, 8.189343472643002169e+05, 2.940793241026370670e+05, 8.189343472643760435e+01
3.300000000000000000e+02, 3.544999999999196572e-01, 8.975410916979031172e+05, 3.181783170068345498e+05, 0.000000000000000000e+00
3.600000000000000000e+02, 3.693999999999391104e-01, 9.755698428987361258e+05, 3.603754999667337397e+05, 1.951139685797240304e+02
4.000000000000000000e+02, 3.899000000000568678e-01, 1.078717267414567759e+06, 4.205918625650012982e+05, 6.472303604487831308e+02
4.400000000000000000e+02, 3.949000000000756350e-01, 1.180856688555990579e+06, 4.663203063108499628e+05, 9.446853508448946286e+02
4.800000000000000000e+02, 3.999000000000438315e-01, 1.281999077704708325e+06, 5.126714311741690617e+05, 1.025599262163819049e+03
5.300000000000000000e+02, 4.094999999999148210e-01, 1.407041474181759404e+06, 5.761834836773106363e+05, 1.969858063854107058e+03
5.900000000000000000e+02, 4.169999999999026707e-01, 1.555087627516285982e+06, 6.484715406741398619e+05, 2.954666492280417515e+03
6.500000000000000000e+02, 4.320000000000570606e-01, 1.700980213275350165e+06, 7.348234521350483410e+05, 4.592646575844333711e+03
7.100000000000000000e+02, 4.517000000001136217e-01, 1.844753952988588018e+06, 8.332753605651548132e+05, 7.932441997852517488e+03
7.900000000000000000e+02, 4.611000000000304300e-01, 2.033215069773256080e+06, 9.375154686725102365e+05, 1.179264740468623131e+04
8.700000000000000000e+02, 4.678000000000774872e-01, 2.218048793918560259e+06, 1.037603225795274368e+06, 1.907521962770188475e+04
