# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
1.000000000000000000e+02, 4.010000000000775722e-01, 2.797599223190004705e+05, 1.121837288499408896e+05, 0.000000000000000000e+00, 3.434786920857217929e-01, 0.000000000000000000e+00
1.100000000000000000e+02, 4.070999999998965446e-01, 3.073563451581283007e+05, 1.251247681138422340e+05, 0.000000000000000000e+00, 4.081271824077019050e-01, 0.000000000000000000e+00
1.200000000000000000e+02, 4.244000000000011097e-01, 3.348845210054430645e+05, 1.421249907147104095e+05, 0.000000000000000000e+00, 4.752398477608081317e-01, 0.000000000000000000e+00
1.300000000000000000e+02, 4.305000000000193672e-01, 3.623446392238961998e+05, 1.559893671858943417e+05, 0.000000000000000000e+00, 6.496965048408338550e-01, 0.000000000000000000e+00
1.500000000000000000e+02, 4.321999999999530662e-01, 4.170614571176356985e+05, 1.802539617662225792e+05, 0.000000000000000000e+00, 8.351799336001600738e-01, 0.000000000000000000e+00
1.600000000000000000e+02, 4.515000000001088143e-01, 4.443185324176899157e+05, 2.006098173866353463e+05, 0.000000000000000000e+00, 1.121012917959574695e+00, 0.000000000000000000e+00
1.800000000000000000e+02, 4.573000000000875254e-01, 4.986309501721996348e+05, 2.280239335137905437e+05, 0.000000000000000000e+00, 1.500085864184090845e+00, 0.000000000000000000e+00
2.000000000000000000e+02, 4.571000000000166597e-01, 5.526756295939759584e+05, 2.526280302874156041e+05, 0.000000000000000000e+00, 1.796208518207995208e+00, 0.000000000000000000e+00
2.200000000000000000e+02, 4.696999999998904829e-01, 6.064540487340328982e+05, 2.848514666903088219e+05, 0.000000000000000000e+00, 2.363620907933498216e+00, 0.000000000000000000e+00
2.400000000000000000e+02, 4.845999999999309193e-01, 6.599676759924320504e+05, 3.198203357858869713e+05, 1.979903027977028955e+02, 2.832364914800987510e+00, 3.393925740717912355e-04
2.700000000000000000e+02, 4.946000000000008723e-01, 7.397448206774438731e+05, 3.658777883070643875e+05, 7.397448206774684820e+01, 3.987961432246831528e+00, 0.000000000000000000e+00
3.000000000000000000e+02, 4.972000000000808551e-01, 8.189343472643002169e+05, 4.071741574598762672e+05, 8.189343472643760435e+01, 5.341828841235479963e+00, 0.000000000000000000e+00
