# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
1.000000000000000000e+02, 4.445700000006681529e-01, 2.797599223187733442e+05, 1.243728686654439807e+05, 0.000000000000000000e+00, 3.433005408082238086e-01, 0.000000000000000000e+00
1.100000000000000000e+02, 4.535899999997250465e-01, 3.073563451586141600e+05, 1.394137646004112903e+05, 0.000000000000000000e+00, 4.462677996772356770e-01, 0.000000000000000000e+00
1.200000000000000000e+02, 4.594100000008654594e-01, 3.348845210048143636e+05, 1.538492977951116045e+05, 0.000000000000000000e+00, 5.510038857430136217e-01, 0.000000000000000000e+00
1.300000000000000000e+02, 4.665299999998427372e-01, 3.623446392243591254e+05, 1.690446445372832823e+05, 0.000000000000000000e+00, 7.360134041674445404e-01, 0.000000000000000000e+00
1.500000000000000000e+02, 4.732599999992425643e-01, 4.170614571179586346e+05, 1.973785051953291986e+05, 0.000000000000000000e+00, 9.473447457856553067e-01, 0.000000000000000000e+00
1.600000000000000000e+02, 4.780099999990964910e-01, 4.443185324184631463e+05, 2.123887016809481138e+05, 4.443185324177615136e+00, 1.206935885869260483e+00, 0.000000000000000000e+00
1.800000000000000000e+02, 4.851499999986631506e-01, 4.986309501734688529e+05, 2.419108054759918305e+05, 1.495892850516784378e+01, 1.596199967461031655e+00, 0.000000000000000000e+00
2.000000000000000000e+02, 4.949200000000638089e-01, 5.526756295935017988e+05, 2.735302225984511897e+05, 1.658026888781862596e+01, 2.085076452066824348e+00, 4.855386482215458700e-04
2.200000000000000000e+02, 5.009299999989801355e-01, 6.064540487352472264e+05, 3.037910266323289252e+05, 2.425816194935533687e+01, 2.667150194888766812e+00, 3.406080546892879856e-04
2.400000000000000000e+02, 5.110700000001713317e-01, 6.599676759915878065e+05, 3.372896801691338769e+05, 4.619773731946399664e+01, 3.550096453997113599e+00, 1.007018235034408578e-02
2.700000000000000000e+02, 5.151399999998410584e-01, 7.397448206783641363e+05, 3.810721469241349259e+05, 1.331540677219443296e+02, 4.828672137731967240e+00, 3.128769094699573872e-02
3.000000000000000000e+02, 5.231400000012357276e-01, 8.189343472628974123e+05, 4.284173144281241111e+05, 1.555975259802314383e+02, 6.435752430859894346e+00, 2.625805610783712996e-02
3.300000000000000000e+02, 5.352600000003511216e-01, 8.975410916965716751e+05, 4.804178447418221040e+05, 3.051639711772466512e+02, 8.395486830584307114e+00, 4.741216119046603311e-02
3.600000000000000000e+02, 5.415400000011069137e-01, 9.755698428978483425e+05, 5.283100927239806624e+05, 4.487621277333650482e+02, 1.129305976237539788e+01, 2.442391298069530037e-01
4.000000000000000000e+02, 5.508999999988266616e-01, 1.078717267417324241e+06, 5.942653426189381862e+05, 7.766764325385405527e+02, 1.467822738446525932e+01, 6.846322736743974680e-02
4.400000000000000000e+02, 5.597000000002378961e-01, 1.180856688554105349e+06, 6.609254885840136558e+05, 1.110005287242750683e+03, 1.934253691963795774e+01, 1.687401192863285937e-01
4.800000000000000000e+02, 5.712300000008952994e-01, 1.281999077703865478e+06, 7.323163331579267979e+05, 1.743518745678491086e+03, 2.497589856101141592e+01, 5.558968763224804155e-01
