# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
5.284770204694519435e+01, 4.617794337363944068e-01, 1.071768674037443998e+05, 4.949207313934171543e+04, 2.635323039778554062e+02, 1.562856492061849289e+00, 1.102782614389935523e-01
5.903890782763249945e+01, 4.637830325560448053e-01, 1.336809384444443567e+05, 6.199895102670235792e+04, 3.866322235054533394e+02, 1.871485435871351077e+00, 1.206651148609248630e-01
6.595542478617888094e+01, 4.640662277771508970e-01, 1.661264750814563304e+05, 7.709368662496629986e+04, 5.087090600084463290e+02, 2.944307598419433347e+00, 6.943128506149109924e-01
7.368222446502095124e+01, 4.619286078177521349e-01, 2.058252648201340053e+05, 9.507657803208465339e+04, 6.654695503286693565e+02, 4.284650948773601975e+00, 1.505275637095484731e+00
8.231423297953507756e+01, 4.656572754899181432e-01, 2.516065962841960427e+05, 1.171624421209904976e+05, 9.148131660276058028e+02, 4.612657311199378718e+00, 1.223870497906785815e+00
9.195749721462016169e+01, 4.663398495686555956e-01, 3.047814327971071471e+05, 1.421317275219222647e+05, 1.196767274079710887e+03, 5.362601291828345218e+00, 1.147178006532362682e+00
1.027304876433610872e+02, 4.691776036935235150e-01, 3.648612714692761074e+05, 1.711847370285271318e+05, 1.400460756736738631e+03, 6.682794906439756488e+00, 1.548784169833282265e+00
1.147655537733020736e+02, 4.723619265327436700e-01, 4.328833764916104265e+05, 2.044776256835761014e+05, 1.889592501225948581e+03, 8.784756466743079528e+00, 2.630563280315223018e+00
1.282105501009355635e+02, 4.761962978421888648e-01, 5.040592659766039578e+05, 2.400311563511099957e+05, 2.472108117981925716e+03, 1.165197842811618756e+01, 3.824218901628492429e+00
1.432306525497589575e+02, 4.828041226667765251e-01, 5.738122219685802702e+05, 2.770389064030140289e+05, 3.272861760343160313e+03, 1.496069965022298476e+01, 4.333771986490480899e+00
1.600103877074003265e+02, 4.895401454092135340e-01, 6.376921304066291777e+05, 3.121758982455724035e+05, 4.421366703216861424e+03, 1.904446258915206158e+01, 5.533574028556442315e+00
1.787558997916165993e+02, 5.013180232685567894e-01, 6.908872207158983219e+05, 3.463542157908012741e+05, 5.409554705685236513e+03, 2.245472742265340926e+01, 5.862860323407789842e+00
1.996974831955403999e+02, 5.155380170425593045e-01, 7.393173850301173516e+05, 3.811462186435170006e+05, 7.414762149019204116e+03, 3.110251021547406935e+01, 1.002610620609868874e+01
2.230924117252739336e+02, 5.259441035938191567e-01, 8.135377309316293104e+05, 4.278753726345854229e+05, 9.465705128414316277e+03, 5.079606689013731113e+01, 1.721936253916102899e+01
2.492280992878862378e+02, 5.363294222471669537e-01, 9.035148681661669398e+05, 4.845816072352855699e+05, 1.229967677751580231e+04, 6.309801194121700263e+01, 2.071377392979299259e+01
2.784256308598396572e+02, 5.475679272554321297e-01, 1.004272736292232410e+06, 5.499075406106788432e+05, 1.586485202392710926e+04, 7.832328587470229309e+01, 3.193697109588296357e+01
3.110437071148807604e+02, 5.573062525211756046e-01, 1.108018706282682484e+06, 6.175057529217629926e+05, 1.971743451032123266e+04, 8.998866730117471491e+01, 3.448337694633490003e+01
3.474830511723650943e+02, 5.685584687765631307e-01, 1.228054417761426652e+06, 6.982207393367304467e+05, 2.570332699625168243e+04, 1.041059721223379881e+02, 3.915105370709590460e+01
3.881913316042777637e+02, 5.806994345892877440e-01, 1.354617265421174001e+06, 7.866254801149629056e+05, 3.207875319116882019e+04, 1.315581190405684993e+02, 5.010655171973841959e+01
4.336686621816065781e+02, 5.909104143297857492e-01, 1.498868191136542708e+06, 8.856968238502310123e+05, 4.230739250535966130e+04, 1.698355697328597387e+02, 7.184301440056016475e+01
4.844737459261492631e+02, 6.023437626276897383e-01, 1.649350087654998526e+06, 9.934757376884216210e+05, 5.380177274331668741e+04, 2.230018827191080391e+02, 1.022299339690037669e+02
5.412307389493225855e+02, 6.168654993467449499e-01, 1.815768385693070013e+06, 1.120084871938588563e+06, 6.980637863584407023e+04, 2.837515327607857785e+02, 1.376511033248077069e+02
6.046369184023494654e+02, 6.277723761938779345e-01, 1.997356657296897611e+06, 1.253885334857934620e+06, 9.211353134255443001e+04, 3.540437937468010432e+02, 1.747309858492018577e+02
6.754712487409561845e+02, 6.379136025383442821e-01, 2.184384417214844376e+06, 1.393448532914143056e+06, 1.171924871263384994e+05, 4.455717944013674128e+02, 2.227177431261667095e+02
7.546039515437796581e+02, 6.518209185084130608e-01, 2.406384565681749023e+06, 1.568531797887146240e+06, 1.509350871391828987e+05, 5.780954210554991732e+02, 2.981508950596113436e+02
8.430071964526541706e+02, 6.630099837684366726e-01, 2.641083438142382074e+06, 1.751064687453867635e+06, 1.933792981945890351e+05, 7.707771212572725972e+02, 4.258125778798138867e+02
9.417670445762749978e+02, 6.749152870589257835e-01, 2.887719196339951828e+06, 1.948965830343349138e+06, 2.496867499139539432e+05, 9.981395692459969951e+02, 5.642160406442203566e+02
1.052096791085630684e+03, 6.863104848443506434e-01, 3.165693246621338651e+06, 2.172648466957177501e+06, 3.228804628432261525e+05, 1.249906112089037379e+03, 7.016466094166833045e+02
1.175351870919105522e+03, 7.018472388984956511e-01, 3.439078525041291025e+06, 2.413707767155340873e+06, 4.131414284006498056e+05, 1.588388666446032403e+03, 9.381759066487301197e+02
1.313046510718427498e+03, 7.151298914815944485e-01, 3.744961034379162360e+06, 2.678133578118369915e+06, 5.251828983613537857e+05, 2.039164025502399909e+03, 1.251046090622135353e+03
1.466872331569631797e+03, 7.283027045438171809e-01, 4.065889708294396754e+06, 2.961198470927680843e+06, 6.711148141339885769e+05, 2.564723613842601935e+03, 1.588625753376720922e+03
1.638719131089444090e+03, 7.447806969609224170e-01, 4.394072890440385789e+06, 3.272620669839285314e+06, 8.532041069584214129e+05, 3.327032610511662824e+03, 2.216875200086522909e+03
1.830698100171417309e+03, 7.582884358182682139e-01, 4.738286749239780009e+06, 3.592988047539459541e+06, 1.064924565230415901e+06, 4.134704551139348951e+03, 2.830464002533235089e+03
2.045167759616708281e+03, 7.742261312720980504e-01, 5.125620758784446865e+06, 3.968389530441638082e+06, 1.345077174323592568e+06, 5.370446269729870437e+03, 3.805492979258934156e+03
2.284762935288990320e+03, 7.874908082617323446e-01, 5.512288153171570040e+06, 4.340876253112651408e+06, 1.662620541880779201e+06, 6.944473076440614932e+03, 5.184049251231998824e+03
2.552427127762217424e+03, 8.028959898534377970e-01, 5.927544006738674827e+06, 4.759201312690260820e+06, 2.022809778962639160e+06, 8.999182234299514676e+03, 6.929467738019469834e+03
2.851448674132330325e+03, 8.165462792966806660e-01, 6.329533117760096677e+06, 5.168356716992125846e+06, 2.442464843412059825e+06, 1.126471524123765812e+04, 8.958097621963026540e+03
3.185501146251913724e+03, 8.316984691238640259e-01, 6.750864728765704669e+06, 5.614683860176726244e+06, 2.915572025181153789e+06, 1.400603274229632916e+04, 1.147420234578405325e+04
3.558688481692563983e+03, 8.448226113668751980e-01, 7.158282170755533502e+06, 6.047478636398633942e+06, 3.435514368369332980e+06, 1.699466092123398630e+04, 1.437197842732336176e+04
3.975595401882746501e+03, 8.587566301003621838e-01, 7.575858055341489613e+06, 6.505818333723740652e+06, 4.016104653120012954e+06, 2.126762043810230534e+04, 1.848282752347696442e+04
4.441343736823509971e+03, 8.721818333147740576e-01, 7.994366516717124730e+06, 6.972541244740585797e+06, 4.618959980234847404e+06, 2.627300338780922539e+04, 2.339364938173680639e+04
4.961655348348546795e+03, 8.846958382450884617e-01, 8.394241289721900597e+06, 7.426350334242049605e+06, 5.237087984227447771e+06, 3.169501146384379535e+04, 2.882205203747545602e+04
5.542922424960239368e+03, 8.960070532439908808e-01, 8.787605601598083973e+06, 7.873756600158287212e+06, 5.855995696897557005e+06, 3.755661497728422546e+04, 3.461395028494236612e+04
6.192286011835419231e+03, 9.074714626588459288e-01, 9.153034955100568011e+06, 8.306118018472656608e+06, 6.499768358884251676e+06, 4.489402273256657645e+04, 4.203200598128269485e+04
6.917723740766163246e+03, 9.192384436928466851e-01, 9.502884289713080972e+06, 8.735416565069055185e+06, 7.140226104628930800e+06, 5.223565050779529702e+04, 4.950892408621522191e+04
7.728147837824985800e+03, 9.293411207159315568e-01, 9.791531086138829589e+06, 9.099672473117142916e+06, 7.721179597614165395e+06, 5.987848756558951573e+04, 5.736218409277595492e+04
8.633514612808796301e+03, 9.394241798602757099e-01, 1.010061016520597972e+07, 9.488757420536991209e+06, 8.320644410255338997e+06, 6.894748734737510676e+04, 6.670305226005772420e+04
9.644946775573191189e+03, 9.485234266885419485e-01, 1.035493501639471762e+07, 9.821898444887891412e+06, 8.841798458228532225e+06, 7.773432088720766478e+04, 7.566463247255560418e+04
1.077487008195092858e+04, 9.557904674590548266e-01, 1.055495236004357040e+07, 1.008832285021409765e+07, 9.288615551436400041e+06, 8.547555597105847846e+04, 8.359123023222811753e+04
1.203716598799184794e+04, 9.640136970381645298e-01, 1.068292137654319406e+07, 1.029848253136944212e+07, 9.652245437198530883e+06, 9.296521376933294232e+04, 9.133525883592879109e+04
1.344734218792855427e+04, 9.705775072886210220e-01, 1.076744437200069427e+07, 1.045063931844532490e+07, 9.931298570482404903e+06, 9.862852921558577509e+04, 9.732658196442044573e+04
1.502272313097934057e+04, 9.757121294720226823e-01, 1.079828753730718233e+07, 1.053602012767719477e+07, 1.012862884033198655e+07, 1.056724746665494895e+05, 1.045566060759521788e+05
1.678266285754611454e+04, 9.790990622189102988e-01, 1.080569298076123185e+07, 1.057984386408878304e+07, 1.027843514172430523e+07, 1.125424352808760887e+05, 1.116254705319456989e+05
1.874878276956548143e+04, 9.833672668601489697e-01, 1.072894996081656218e+07, 1.055049819924748503e+07, 1.032219067577444389e+07, 1.163837975877430290e+05, 1.157326177749880299e+05
2.094523725609495159e+04, 9.870227195307814672e-01, 1.064809357640075125e+07, 1.050991027959731407e+07, 1.034832789696842432e+07, 1.199942410199136793e+05, 1.194695532703156932e+05
2.339901043742664478e+04, 9.892656620425028802e-01, 1.052977383670492843e+07, 1.041674368572572619e+07, 1.030163617321611010e+07, 1.206435669244709134e+05, 1.202440404024219024e+05
2.614024767332138435e+04, 9.917693656336653563e-01, 1.029686610766199604e+07, 1.021211636761072651e+07, 1.013202487692562491e+07, 1.199210790731988236e+05, 1.196659765345800988e+05
2.920262590804389038e+04, 9.934278013628088377e-01, 1.005560228782589547e+07, 9.989514872173709795e+06, 9.930344377554755658e+06, 1.216742631042215216e+05, 1.215015639707499940e+05
3.262376740200186396e+04, 9.947953896729212486e-01, 9.780705170052502304e+06, 9.729800410918334499e+06, 9.688645013130666688e+06, 1.211976699945512955e+05, 1.210296145005061262e+05
3.644570193280985404e+04, 9.956970109791376533e-01, 9.515445384850267321e+06, 9.474500527830641717e+06, 9.446345754763441160e+06, 1.181085860724529630e+05, 1.179492599746508204e+05
4.071538314406054269e+04, 9.968350585788816609e-01, 9.090964013773586601e+06, 9.062191645208498463e+06, 9.043474831050792709e+06, 1.150810478157591861e+05, 1.149345829530878982e+05
4.548526538530696416e+04, 9.975432891612426856e-01, 8.619892766074337065e+06, 8.598716182086996734e+06, 8.586609605132466182e+06, 1.103443953052412980e+05, 1.101226232190112205e+05
5.081394812991248909e+04, 9.980102654746508817e-01, 8.054307827615813352e+06, 8.038281893253416754e+06, 8.030555106832798570e+06, 1.046183525205953338e+05, 1.045786482519537385e+05
5.676689588764085056e+04, 9.983825711029610250e-01, 7.371326055905715562e+06, 7.359403460133397020e+06, 7.354465988170906901e+06, 9.547045473197194224e+04, 9.543704130229180737e+04
