# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
5.284770204694519435e+01, 4.882606536215631787e-01, 1.077758113416087726e+05, 5.262268809024817892e+04, 2.495750224746697086e+02, 1.248191304500916310e+00, 2.206110395231491439e-01
5.903890782763249945e+01, 4.880617794013843436e-01, 1.343882834242687095e+05, 6.558978473874615156e+04, 3.467436191443810003e+02, 1.634386757262577872e+00, 2.886473710281868277e-01
6.595542478617888094e+01, 4.887468377497585226e-01, 1.661443280226214556e+05, 8.120251493111482705e+04, 4.688860738046639085e+02, 2.202476189105099014e+00, 5.357317708328026562e-01
7.368222446502095124e+01, 4.904309921678730033e-01, 2.048710014504452993e+05, 1.004750885077676357e+05, 6.434962462141065771e+02, 2.930298590648036772e+00, 7.536800872568405474e-01
8.231423297953507756e+01, 4.907019741415882264e-01, 2.505551837684970815e+05, 1.229479233066099405e+05, 7.898825404702757851e+02, 3.832647733525393896e+00, 1.101350245569404418e+00
9.195749721462016169e+01, 4.921638572121699307e-01, 3.036982010692502372e+05, 1.494692780666393519e+05, 1.055656049048301838e+03, 5.196441532703278909e+00, 1.624741101077567196e+00
1.027304876433610872e+02, 4.943880993053829109e-01, 3.638523272457575076e+05, 1.798842604948702501e+05, 1.406754006491807559e+03, 6.310057526004615447e+00, 1.796874277942409392e+00
1.147655537733020736e+02, 4.971766542553749946e-01, 4.309745260789826280e+05, 2.142704729452444299e+05, 1.856229797416296606e+03, 7.808160992758756080e+00, 2.207346062379240248e+00
1.282105501009355635e+02, 5.019967467262658189e-01, 5.018161137832116219e+05, 2.519100565739898884e+05, 2.478040813991692175e+03, 1.022970205476377359e+01, 2.929908993941600315e+00
1.432306525497589575e+02, 5.073032815241153015e-01, 5.734395089628922287e+05, 2.909077446524525876e+05, 3.271440888581813851e+03, 1.387712937488645260e+01, 4.469679762769374953e+00
1.600103877074003265e+02, 5.149500316827764212e-01, 6.384823645542607410e+05, 3.287865138561105705e+05, 4.269344649413676052e+03, 1.791863206646692674e+01, 6.355420250754155731e+00
1.787558997916165993e+02, 5.246712729970733902e-01, 6.916586350885323482e+05, 3.628934165513185435e+05, 5.579826665956325087e+03, 2.264139069519958980e+01, 8.024690816807304117e+00
1.996974831955403999e+02, 5.366770360966971465e-01, 7.377060781573855784e+05, 3.959099115360240685e+05, 7.238549428106277446e+03, 2.908145993581619138e+01, 1.045047205011426428e+01
2.230924117252739336e+02, 5.459943727653484569e-01, 8.138346728274715133e+05, 4.443491517251278856e+05, 9.425087128891002067e+03, 3.779893783865205847e+01, 1.408438573919003645e+01
2.492280992878862378e+02, 5.551480841964451241e-01, 9.018160254399555270e+05, 5.006414388206439326e+05, 1.214182108936469376e+04, 4.949449096430127071e+01, 1.998384440590760747e+01
2.784256308598396572e+02, 5.640195545360408014e-01, 1.001999843128484790e+06, 5.651475051665107021e+05, 1.556719660797712822e+04, 6.380901827108191071e+01, 2.709285928637742558e+01
