# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3]
5.284770204694519435e+01, 2.628766058363338765e-01, 1.077793038138593402e+05, 2.833265756599037559e+04, 1.694860304131580415e+04, 3.350147303810521393e+00
5.903890782763249945e+01, 2.639943603037382958e-01, 1.340405621228210512e+05, 3.538595245236763731e+04, 2.117207233341443862e+04, 4.162651162763422619e+00
6.595542478617888094e+01, 2.657009004266397412e-01, 1.663518708705944882e+05, 4.419984187797305640e+04, 2.657280385902953640e+04, 5.272388322143449990e+00
7.368222446502095124e+01, 2.679369285495182829e-01, 2.047618185882854159e+05, 5.486325275675885496e+04, 3.317756138357072632e+04, 6.601572068801940141e+00
8.231423297953507756e+01, 2.729999571964877858e-01, 2.505094615004505613e+05, 6.838907226693820849e+04, 4.138365808679264592e+04, 8.294524607039583941e+00
9.195749721462016169e+01, 2.787937489738036567e-01, 3.039023498383330298e+05, 8.472607543337727839e+04, 5.157303732119630877e+04, 1.029287144309312119e+01
1.027304876433610872e+02, 2.878189536387835146e-01, 3.638426916510274168e+05, 1.047208228001172683e+05, 6.435054796855870518e+04, 1.299484687995654753e+01
1.147655537733020736e+02, 2.987620248764231157e-01, 4.310920747394728241e+05, 1.287939411573432299e+05, 8.006956890706371632e+04, 1.623683405896302645e+01
1.282105501009355635e+02, 3.130503448968287583e-01, 5.018633244951482047e+05, 1.571084868242752273e+05, 9.903881534645953798e+04, 2.031504362526638729e+01
1.432306525497589575e+02, 3.342864594048974292e-01, 5.735596350468833698e+05, 1.917332196573877591e+05, 1.227832133001104667e+05, 2.536078582458757680e+01
1.600103877074003265e+02, 3.620522134589447827e-01, 6.383077089203620562e+05, 2.311007188825249032e+05, 1.506488200695776904e+05, 3.109528442719085461e+01
1.787558997916165993e+02, 4.003471780486236309e-01, 6.912692001379764406e+05, 2.767476735471680877e+05, 1.845480016927410907e+05, 3.881746089199521776e+01
1.996974831955403999e+02, 4.451049163246048601e-01, 7.379868467571720248e+05, 3.284815736745100585e+05, 2.245644188099767198e+05, 4.786657456605937000e+01
2.230924117252739336e+02, 4.808209648511641010e-01, 8.148362835522097303e+05, 3.917903680533102015e+05, 2.738677148742277059e+05, 5.831730880723722521e+01
2.492280992878862378e+02, 5.154536803883156271e-01, 9.029858493139380589e+05, 4.654473793674383196e+05, 3.322973519183916505e+05, 7.185402893336028285e+01
2.784256308598396572e+02, 5.506140756231910904e-01, 1.002857679965502233e+06, 5.521875544358229963e+05, 4.019949110237046843e+05, 8.824705739348404165e+01
3.110437071148807604e+02, 5.866638620169867258e-01, 1.106645137125582201e+06, 6.492287100284119369e+05, 4.824127717539220466e+05, 1.076742104997014309e+02
3.474830511723650943e+02, 6.211796750781909404e-01, 1.225915560301869642e+06, 7.615138294216137147e+05, 5.773911695891361451e+05, 1.302582278201650752e+02
3.881913316042777637e+02, 6.568047493144857363e-01, 1.354777409915757133e+06, 8.898242370966471499e+05, 6.887440001933579333e+05, 1.577224298960281885e+02
4.336686621816065781e+02, 6.907000759204318108e-01, 1.495252381175097078e+06, 1.032770933197846054e+06, 8.147213686157995835e+05, 1.896674685956292592e+02
4.844737459261492631e+02, 7.236058133822182992e-01, 1.647843910494449781e+06, 1.192389433180271648e+06, 9.588696096681419294e+05, 2.262608204323013581e+02
5.412307389493225855e+02, 7.562981536607545907e-01, 1.814034568258474814e+06, 1.371950994650668697e+06, 1.124207008996334160e+06, 2.707135716443377191e+02
6.046369184023494654e+02, 7.869666445199290372e-01, 1.997727968877683394e+06, 1.572145276331283618e+06, 1.311959175804561935e+06, 3.215718652161191358e+02
6.754712487409561845e+02, 8.157815402118895332e-01, 2.194974616651027929e+06, 1.790619773497577291e+06, 1.520679599411829840e+06, 3.790360333902026468e+02
7.546039515437796581e+02, 8.427357302688065488e-01, 2.410050808692014311e+06, 2.031035928247992415e+06, 1.753132271320525790e+06, 4.455722560368839140e+02
8.430071964526541706e+02, 8.672514422833854653e-01, 2.639621886705922429e+06, 2.289215888328502420e+06, 2.007570651236562524e+06, 5.143725243224375845e+02
9.417670445762749978e+02, 8.895584975050176979e-01, 2.887806031955373939e+06, 2.568872394872149453e+06, 2.288245644052572083e+06, 5.929897878325235752e+02
1.052096791085630684e+03, 9.092236916505185285e-01, 3.156978448864344973e+06, 2.870399599737567361e+06, 2.594157891701367684e+06, 6.816250941199526778e+02
1.175351870919105522e+03, 9.270542788186708627e-01, 3.441796959648636170e+06, 3.190732598267360590e+06, 2.923158899485007394e+06, 7.726116329637056879e+02
1.313046510718427498e+03, 9.418780273051408081e-01, 3.740263724893215578e+06, 3.522872218803399708e+06, 3.268099999317060225e+06, 8.742646972248729753e+02
1.466872331569631797e+03, 9.543191354083262468e-01, 4.062080875478398055e+06, 3.876521509045241866e+06, 3.639295288603480905e+06, 9.788113209630562324e+02
1.638719131089444090e+03, 9.646048005374844303e-01, 4.400523007841560990e+06, 4.244765618239619769e+06, 4.027247008673067205e+06, 1.085265784821481020e+03
1.830698100171417309e+03, 9.731758667731533752e-01, 4.757207710392980836e+06, 4.629599736981617287e+06, 4.433663111244305037e+06, 1.204891422599536781e+03
2.045167759616708281e+03, 9.798401028848687799e-01, 5.128375745253010653e+06, 5.024988217860975303e+06, 4.852399321801904589e+06, 1.318592763020755910e+03
2.284762935288990320e+03, 9.849912086530092648e-01, 5.516259207651819102e+06, 5.433466824188256636e+06, 5.283329473751207814e+06, 1.443299914601003593e+03
2.552427127762217424e+03, 9.889783611930382801e-01, 5.920469290031001903e+06, 5.855216015948571265e+06, 5.728272618714836426e+06, 1.573344846674355495e+03
2.851448674132330325e+03, 9.921150350756178238e-01, 6.329888855003535748e+06, 6.279977903406594880e+06, 6.174019789963603020e+06, 1.701078161050010749e+03
3.185501146251913724e+03, 9.943588438910403449e-01, 6.745800660120700486e+06, 6.707746545517036691e+06, 6.620860274017511867e+06, 1.822888516430694608e+03
3.558688481692563983e+03, 9.959930830922018030e-01, 7.165623904784973711e+06, 7.136911845205968246e+06, 7.066190584501725622e+06, 1.943080162896237425e+03
3.975595401882746501e+03, 9.971911126295203154e-01, 7.582528682812609710e+06, 7.561230213759157807e+06, 7.504801681579266675e+06, 2.050220633788540908e+03
4.441343736823509971e+03, 9.980176094797533759e-01, 7.980822731034932658e+06, 7.965001623709159903e+06, 7.919816504112263210e+06, 2.151284138733430609e+03
4.961655348348546795e+03, 9.986042725099144590e-01, 8.382292725470840000e+06, 8.370593329083955847e+06, 8.335596296307165176e+06, 2.257313944490707854e+03
5.542922424960239368e+03, 9.989580324613119844e-01, 8.771646225571906194e+06, 8.762506454944005236e+06, 8.735521323273157701e+06, 2.344455230724758167e+03
