# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
1.000000000000000000e+02, 8.822000000008560494e-02, 2.797599223187733442e+05, 2.468042034698613497e+04, 8.250120109188595961e+03, 8.858193590286838059e-01, 3.947752988327796198e-01
1.100000000000000000e+02, 1.041599999998074066e-01, 3.073563451586141600e+05, 3.201423691166205754e+04, 1.085275254753091940e+04, 1.307921067413129190e+00, 6.315308131723754714e-01
1.200000000000000000e+02, 1.218400000002346217e-01, 3.348845210048143636e+05, 4.080233003930515406e+04, 1.473157007902840087e+04, 1.939697410109818554e+00, 9.820676988084436898e-01
1.300000000000000000e+02, 1.453199999998194547e-01, 3.623446392243591254e+05, 5.265592297201845213e+04, 1.992533171092527482e+04, 2.704497510712459807e+00, 1.306323460978545237e+00
1.500000000000000000e+02, 1.701599999997953916e-01, 4.170614571179586346e+05, 7.096717754310650344e+04, 2.788055840831136084e+04, 3.945173781470738827e+00, 1.873645272230474612e+00
1.600000000000000000e+02, 1.957599999997350348e-01, 4.443185324184631463e+05, 8.697979590612062020e+04, 3.674958581626747764e+04, 5.104330693202673075e+00, 2.756394827390679314e+00
1.800000000000000000e+02, 2.259799999993837016e-01, 4.986309501734688529e+05, 1.126806221198931889e+05, 4.968857418465399678e+04, 7.554390913929904805e+00, 4.126994688768657049e+00
2.000000000000000000e+02, 2.619200000000933004e-01, 5.526756295935017988e+05, 1.447568009031815454e+05, 6.710587494530435652e+04, 1.025237142536724555e+01, 5.787504259008682261e+00
2.200000000000000000e+02, 2.961599999992148291e-01, 6.064540487352472264e+05, 1.796074310729546414e+05, 8.861506560096886824e+04, 1.368472165446325306e+01, 7.895948118069869182e+00
2.400000000000000000e+02, 3.344600000002332929e-01, 6.599676759915878065e+05, 2.207327889123004279e+05, 1.158507258437205164e+05, 1.939757853858362679e+01, 1.131842865636999740e+01
2.700000000000000000e+02, 3.756099999997953298e-01, 7.397448206783641363e+05, 2.778555520948489429e+05, 1.515589188603904622e+05, 2.424678609520388761e+01, 1.498987591075939818e+01
3.000000000000000000e+02, 4.135700000009320254e-01, 8.189343472628974123e+05, 3.386866779982797452e+05, 1.941611443929230445e+05, 3.295756234606655255e+01, 2.080572251024675623e+01
3.300000000000000000e+02, 4.553000000004115422e-01, 8.975410916965716751e+05, 4.086504590498184552e+05, 2.477482675414489640e+05, 4.289597968673905370e+01, 2.832850888246458965e+01
3.600000000000000000e+02, 4.981100000009772710e-01, 9.755698428978483425e+05, 4.859410944468006492e+05, 3.065533117341070902e+05, 5.509133834975671107e+01, 3.631960751658656505e+01
4.000000000000000000e+02, 5.402099999987987067e-01, 1.078717267417324241e+06, 5.827338550302168587e+05, 3.825023558524550172e+05, 7.263275466574785355e+01, 5.029361950934718095e+01
4.400000000000000000e+02, 5.825400000002255441e-01, 1.180856688554105349e+06, 6.878962553505748510e+05, 4.697211735734361573e+05, 8.658185603741534919e+01, 5.986655780834296792e+01
4.800000000000000000e+02, 6.181200000009781093e-01, 1.281999077703865478e+06, 7.924292699115673313e+05, 5.587977579904018203e+05, 1.126881555488564146e+02, 8.064643319402381394e+01
5.300000000000000000e+02, 6.640000000008817738e-01, 1.407041474182146369e+06, 9.342755388581858715e+05, 6.812754113845708780e+05, 1.322647172200106525e+02, 9.850123742098409707e+01
5.900000000000000000e+02, 7.017999999999808836e-01, 1.555087627516959794e+06, 1.091360496991372667e+06, 8.188935937741087982e+05, 1.707851502909588817e+02, 1.273405313953302880e+02
6.500000000000000000e+02, 7.443999999989889815e-01, 1.700980213277764153e+06, 1.266209670762247872e+06, 9.714127899984405376e+05, 2.067133987231760273e+02, 1.582109967318893098e+02
7.100000000000000000e+02, 7.846599999992373009e-01, 1.844753952993065119e+06, 1.447504636754131410e+06, 1.141441508411967894e+06, 2.631028481166085271e+02, 2.019933173800779116e+02
7.900000000000000000e+02, 8.199100000000327793e-01, 2.033215069771183655e+06, 1.667053367856157944e+06, 1.352372671507729217e+06, 3.154971589716793687e+02, 2.492435866708355263e+02
8.700000000000000000e+02, 8.505200000000697758e-01, 2.218048793916695751e+06, 1.886494860202182783e+06, 1.565210492403499549e+06, 3.856785692507381782e+02, 3.094843300280580252e+02
9.600000000000000000e+02, 8.826299999990344647e-01, 2.421746647338019218e+06, 2.137506243337617721e+06, 1.822606526784304297e+06, 4.640501853325043271e+02, 3.799368038292229244e+02
1.060000000000000000e+03, 9.089900000006286840e-01, 2.642937091942508239e+06, 2.402403387206482235e+06, 2.101372852436310146e+06, 5.480379442167094339e+02, 4.591256307181755005e+02
1.170000000000000000e+03, 9.299700000000776789e-01, 2.880160662162519060e+06, 2.678463010991501622e+06, 2.394853590588673018e+06, 6.582463141096046684e+02, 5.578520523726325564e+02
1.300000000000000000e+03, 9.471699999998014485e-01, 3.152538387418985832e+06, 2.985989784411014989e+06, 2.728049093551424332e+06, 7.369892866322309146e+02, 6.542191158403363715e+02
