# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
1.000000000000000000e+02, 8.960000000001186460e-02, 2.797599223190004705e+05, 2.506648903978575981e+04, 8.113037747252225927e+03, 9.939306622493051524e-01, 3.777221683493456328e-01
1.100000000000000000e+02, 1.014999999999825070e-01, 3.073563451581283007e+05, 3.119666903354464739e+04, 1.084967898407991197e+04, 1.259832499450104670e+00, 6.739676285491067453e-01
1.200000000000000000e+02, 1.211000000000017479e-01, 3.348845210054430645e+05, 4.055451549375973991e+04, 1.490236118474277282e+04, 1.992431034499752673e+00, 1.063295160151703334e+00
1.300000000000000000e+02, 1.433000000000216323e-01, 3.623446392238961998e+05, 5.192398680079216138e+04, 2.011012747692877019e+04, 2.018056587994799145e+00, 8.087131566744919509e-01
1.500000000000000000e+02, 1.665999999999826231e-01, 4.170614571176356985e+05, 6.948243875579086307e+04, 2.806823606401413053e+04, 3.605420465705792665e+00, 2.338562295145038217e+00
1.600000000000000000e+02, 1.924000000000333499e-01, 4.443185324176899157e+05, 8.548688563717836223e+04, 3.949991753193831391e+04, 5.005656799218679787e+00, 2.678928314662877064e+00
1.800000000000000000e+02, 2.264000000000176149e-01, 4.986309501721996348e+05, 1.128900471189947857e+05, 5.061104144248350349e+04, 7.506563318468735702e+00, 4.015752914537556784e+00
2.000000000000000000e+02, 2.602000000000030955e-01, 5.526756295939759584e+05, 1.438061988203542423e+05, 6.781329975117732829e+04, 8.597204870269326449e+00, 4.544499634045383374e+00
2.200000000000000000e+02, 2.939999999999204916e-01, 6.064540487340328982e+05, 1.782974903277574631e+05, 9.108939811982735409e+04, 1.294526592058526937e+01, 7.580273399567627024e+00
2.400000000000000000e+02, 3.327999999999389780e-01, 6.599676759924320504e+05, 2.196372425702410983e+05, 1.179362236998356384e+05, 1.469313578813258481e+01, 9.710968167103672499e+00
2.700000000000000000e+02, 3.740000000000011093e-01, 7.397448206774438731e+05, 2.766645629333648249e+05, 1.548285909677900199e+05, 2.060475811903827292e+01, 1.238164330683713921e+01
3.000000000000000000e+02, 4.152000000000523050e-01, 8.189343472643002169e+05, 3.400215409841802903e+05, 1.953977352572783129e+05, 3.097333036662892169e+01, 2.029692760913638949e+01
3.300000000000000000e+02, 4.520999999998910335e-01, 8.975410916979031172e+05, 4.057783275565241929e+05, 2.469135543260419508e+05, 3.388917822336166807e+01, 2.191813078945522975e+01
3.600000000000000000e+02, 4.935999999998967325e-01, 9.755698428987361258e+05, 4.815412744547154289e+05, 3.040851200314958696e+05, 4.180272897348724825e+01, 2.821784621347667255e+01
4.000000000000000000e+02, 5.393000000000747196e-01, 1.078717267414567759e+06, 5.817522223167569609e+05, 3.862886534612073447e+05, 5.766920722167626678e+01, 4.091904674202468328e+01
4.400000000000000000e+02, 5.764000000000698565e-01, 1.180856688555990579e+06, 6.806457952837554039e+05, 4.656117922977161361e+05, 8.018551807017860256e+01, 5.851168593744838375e+01
