# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
1.000000000000000000e+02, 8.805000000008539329e-02, 2.797599223187733442e+05, 2.463286116019188194e+04, 8.250120109188595961e+03, 8.552777652299999867e-01, 3.825123777997205265e-01
1.100000000000000000e+02, 1.030699999998094391e-01, 3.073563451586141600e+05, 3.167921849543979260e+04, 1.073288357291928332e+04, 1.141491821113579386e+00, 5.615951634638662870e-01
1.200000000000000000e+02, 1.212800000002330902e-01, 3.348845210048143636e+05, 4.061479470754194335e+04, 1.416561523852932623e+04, 1.675256357262624896e+00, 7.882507755875496347e-01
1.300000000000000000e+02, 1.425499999998242062e-01, 3.623446392243591254e+05, 5.165222832136869692e+04, 1.896511841698140415e+04, 2.404340164577495109e+00, 1.244608737680588328e+00
1.500000000000000000e+02, 1.701999999997953761e-01, 4.170614571179586346e+05, 7.098386000139122189e+04, 2.773041628374902575e+04, 3.729002176888555287e+00, 1.952410228934562841e+00
1.600000000000000000e+02, 1.940699999997352876e-01, 4.443185324184631463e+05, 8.622889758633352176e+04, 3.572321000638265104e+04, 4.486676660077389300e+00, 2.258064302249056521e+00
1.800000000000000000e+02, 2.259399999993838282e-01, 4.986309501734688529e+05, 1.126606768818863056e+05, 4.973843727967120503e+04, 6.406764525815435540e+00, 3.498446564054213059e+00
2.000000000000000000e+02, 2.594300000000935857e-01, 5.526756295935017988e+05, 1.433806385854938999e+05, 6.643161067720036954e+04, 8.941418690245756196e+00, 5.062387029491008050e+00
2.200000000000000000e+02, 2.974999999992111177e-01, 6.064540487352472264e+05, 1.804200794982576335e+05, 8.897287348972167820e+04, 1.145207583956016961e+01, 6.826207890509437881e+00
2.400000000000000000e+02, 3.308600000002345776e-01, 6.599676759915878065e+05, 2.183569052787315450e+05, 1.140292150579803565e+05, 1.604086560971080999e+01, 9.144844914869510788e+00
2.700000000000000000e+02, 3.755199999997952953e-01, 7.397448206783641363e+05, 2.777889750609878683e+05, 1.528386774001644517e+05, 2.147430748330819483e+01, 1.282854987725174567e+01
3.000000000000000000e+02, 4.169400000009413354e-01, 8.189343472628974123e+05, 3.414464867485633586e+05, 1.991894012851311709e+05, 2.867596363417988314e+01, 1.841858284227373233e+01
3.300000000000000000e+02, 4.561400000004108835e-01, 8.975410916965716751e+05, 4.094043935668430058e+05, 2.487176119204836723e+05, 3.904254314477231702e+01, 2.624526831565495399e+01
3.600000000000000000e+02, 4.982500000009777996e-01, 9.755698428978483425e+05, 4.860776742248068331e+05, 3.079386209110269556e+05, 4.677676756786342338e+01, 3.186803838803177413e+01
4.000000000000000000e+02, 5.440999999988088698e-01, 1.078717267417324241e+06, 5.869300652004812146e+05, 3.858895280721359886e+05, 6.208348299083872490e+01, 4.226220677512063872e+01
4.400000000000000000e+02, 5.819200000002258122e-01, 1.180856688554105349e+06, 6.871641242036717013e+05, 4.701344734144298709e+05, 7.703722760794235569e+01, 5.495355310593968312e+01
4.800000000000000000e+02, 6.196000000009808106e-01, 1.281999077703865478e+06, 7.943266285465724068e+05, 5.609643364317251835e+05, 9.688549551333123588e+01, 7.058009564666311064e+01
5.300000000000000000e+02, 6.615800000008729143e-01, 1.407041474182146369e+06, 9.308704984906526515e+05, 6.778140893580701668e+05, 1.198147419807756648e+02, 8.807796746405772126e+01
5.900000000000000000e+02, 7.049299999999810717e-01, 1.555087627516959794e+06, 1.096227921265501063e+06, 8.195622814539411338e+05, 1.481033397585712237e+02, 1.100377083926011039e+02
6.500000000000000000e+02, 7.427099999989822399e-01, 1.700980213277764153e+06, 1.263335014201797079e+06, 9.715488684155023657e+05, 1.864920184402539860e+02, 1.442018783582512924e+02
7.100000000000000000e+02, 7.808599999992238416e-01, 1.844753952993065119e+06, 1.440494571732732933e+06, 1.136294644883099012e+06, 2.262904226894082456e+02, 1.754213406772364863e+02
7.900000000000000000e+02, 8.175900000000332346e-01, 2.033215069771183655e+06, 1.662336308894289657e+06, 1.343141875090969726e+06, 2.805296642296250411e+02, 2.174477991724538413e+02
8.700000000000000000e+02, 8.526500000000687418e-01, 2.218048793916695751e+06, 1.891219304133223137e+06, 1.575480058319329051e+06, 3.392143563791536849e+02, 2.756204365619976784e+02
9.600000000000000000e+02, 8.822099999990310470e-01, 2.421746647338019218e+06, 2.136489109745727386e+06, 1.822097959988364018e+06, 4.089250437341358406e+02, 3.411677886909380391e+02
1.060000000000000000e+03, 9.082000000006341667e-01, 2.642937091942508239e+06, 2.400315466903862078e+06, 2.103407913997091819e+06, 4.741783732340892925e+02, 4.013414885019005283e+02
1.170000000000000000e+03, 9.295600000000781016e-01, 2.880160662162519060e+06, 2.677282145120016299e+06, 2.395631233967456035e+06, 5.625571578954733241e+02, 4.870060798286961585e+02
1.300000000000000000e+03, 9.463199999997983225e-01, 3.152538387418985832e+06, 2.983310126781698782e+06, 2.723856217496141326e+06, 6.489014126543210068e+02, 5.815687700873772883e+02
1.430000000000000000e+03, 9.616000000000302084e-01, 3.416549624132812954e+06, 3.285354118566215970e+06, 3.057401927644253708e+06, 7.332536092851505600e+02, 6.643139465101609176e+02
1.580000000000000000e+03, 9.713799999999235268e-01, 3.711146454223759938e+06, 3.604933442703592125e+06, 3.406349995937548112e+06, 8.231558233436657019e+02, 7.644084164654942697e+02
1.750000000000000000e+03, 9.791499999999992987e-01, 4.032525622751421295e+06, 3.948447463517051190e+06, 3.784646272720882669e+06, 9.389626303441928030e+02, 8.807889468404658828e+02
1.930000000000000000e+03, 9.858000000001094776e-01, 4.358944940973158926e+06, 4.297047922811817378e+06, 4.160961661755328998e+06, 1.012227264819022594e+03, 9.771765025567530074e+02
2.130000000000000000e+03, 9.894999999999946061e-01, 4.705673535445135087e+06, 4.656263963322935626e+06, 4.542763117647940293e+06, 1.114969580504469150e+03, 1.070486615975329187e+03
2.350000000000000000e+03, 9.927899999999890701e-01, 5.068630692541342229e+06, 5.032085865248063579e+06, 4.939938159257521853e+06, 1.169307383339973057e+03, 1.137680543612518022e+03
2.590000000000000000e+03, 9.941499999999692250e-01, 5.443731408165090717e+06, 5.411885579427157529e+06, 5.339266202441853471e+06, 1.292927945204301068e+03, 1.260419607284862877e+03
2.860000000000000000e+03, 9.965999999999841652e-01, 5.841237906991370954e+06, 5.821377698107508011e+06, 5.763198968553603627e+06, 1.347264141643631092e+03, 1.327909890973406618e+03
3.160000000000000000e+03, 9.975399999999877698e-01, 6.254463247178583406e+06, 6.239077267590447329e+06, 6.191480802279180847e+06, 1.494392612172194731e+03, 1.478974348545401654e+03
3.490000000000000000e+03, 9.981300000000081774e-01, 6.676857120386596769e+06, 6.664371397571528330e+06, 6.627581914838358760e+06, 1.547144157823308888e+03, 1.528535175959732442e+03
3.850000000000000000e+03, 9.986499999999987054e-01, 7.102160085731178522e+06, 7.092572169615432620e+06, 7.066223155697345734e+06, 1.649557475838893879e+03, 1.638226743845484634e+03
4.250000000000000000e+03, 9.989399999999966084e-01, 7.534867691503726877e+06, 7.526880731750707142e+06, 7.507666819137310609e+06, 1.779912758482743129e+03, 1.773818682606645098e+03
4.690000000000000000e+03, 9.993100000000004757e-01, 7.966717032256144099e+06, 7.961219997503891587e+06, 7.946800239675519057e+06, 1.876670614455279065e+03, 1.871406021139663380e+03
5.170000000000000000e+03, 9.994600000000014584e-01, 8.390176386408053339e+06, 8.385645691159404814e+06, 8.374738461857102811e+06, 2.004552654800991377e+03, 2.000111094455565080e+03
5.710000000000000000e+03, 9.995899999999999785e-01, 8.813335541075577959e+06, 8.809722073503736407e+06, 8.801701938161356375e+06, 2.078630059681027888e+03, 2.073301583827772902e+03
6.300000000000000000e+03, 9.997899999999985132e-01, 9.218495342071615160e+06, 9.216559458049766719e+06, 9.210843990937642753e+06, 2.229322520703410191e+03, 2.226346760286472545e+03
6.960000000000000000e+03, 9.998399999999999510e-01, 9.609618829375980422e+06, 9.608081290363280103e+06, 9.604141346643235534e+06, 2.298756740403760432e+03, 2.297335987255711188e+03
7.680000000000000000e+03, 9.998600000000000820e-01, 9.971329032075541094e+06, 9.969933046011051163e+06, 9.967938780204636976e+06, 2.355072697993346992e+03, 2.354061623862772649e+03
8.470000000000000000e+03, 9.999600000000000710e-01, 1.030121911765951663e+07, 1.030080706889481097e+07, 1.029936489821834117e+07, 2.396248319714514309e+03, 2.395637110857772313e+03
9.350000000000000000e+03, 9.999600000000002931e-01, 1.059867476232248545e+07, 1.059825081533199549e+07, 1.059750890809863806e+07, 2.517130553859045449e+03, 2.516162231950544538e+03
1.032000000000000000e+04, 9.999700000000002476e-01, 1.085499426971866004e+07, 1.085466861989057064e+07, 1.085412587017708831e+07, 2.611060072030782521e+03, 2.611059995502269885e+03
1.139000000000000000e+04, 9.999900000000000455e-01, 1.106597722843311355e+07, 1.106586656866082922e+07, 1.106586656866082922e+07, 2.637185083768871209e+03, 2.637185083768871209e+03
1.257000000000000000e+04, 9.999900000000000455e-01, 1.122781943145558983e+07, 1.122770715326127596e+07, 1.122759487506696209e+07, 2.653520726401234242e+03, 2.653520726401234242e+03
1.387000000000000000e+04, 9.999899999999999345e-01, 1.133753140269315429e+07, 1.133741802737912722e+07, 1.133730465206510015e+07, 2.652379052526625856e+03, 2.652379052526625856e+03
1.531000000000000000e+04, 1.000000000000000000e+00, 1.139343937299718522e+07, 1.139343937299718522e+07, 1.139343937299718522e+07, 2.776492661774802400e+03, 2.776492661774802400e+03
1.690000000000000000e+04, 1.000000000000000000e+00, 1.139395113705646619e+07, 1.139395113705646619e+07, 1.139395113705646619e+07, 2.753151041697237815e+03, 2.753151041697237815e+03
1.865000000000000000e+04, 1.000000000000000000e+00, 1.133926085272638500e+07, 1.133926085272638500e+07, 1.133926085272638500e+07, 2.670009258931109343e+03, 2.670009258931109343e+03
2.058000000000000000e+04, 1.000000000000000000e+00, 1.123058150952210277e+07, 1.123058150952210277e+07, 1.123058150952210277e+07, 2.630700255873986862e+03, 2.630700255873986862e+03
2.272000000000000000e+04, 1.000000000000000000e+00, 1.106911227944797277e+07, 1.106911227944797277e+07, 1.106911227944797277e+07, 2.611313624961262121e+03, 2.611313624961262121e+03
2.507000000000000000e+04, 1.000000000000000000e+00, 1.085945744440381601e+07, 1.085945744440381601e+07, 1.085945744440381601e+07, 2.488222053607594717e+03, 2.488222053607594717e+03
2.767000000000000000e+04, 1.000000000000000000e+00, 1.060404577268343978e+07, 1.060404577268343978e+07, 1.060404577268343978e+07, 2.484054758820832376e+03, 2.484054758820832376e+03
3.054000000000000000e+04, 1.000000000000000000e+00, 1.030783544946077466e+07, 1.030783544946077466e+07, 1.030783544946077466e+07, 2.415505090846110306e+03, 2.415505090846110306e+03
3.370000000000000000e+04, 1.000000000000000000e+00, 9.976696094624362886e+06, 9.976696094624362886e+06, 9.976696094624362886e+06, 2.298842320773116171e+03, 2.298842320773116171e+03
3.719000000000000000e+04, 1.000000000000000000e+00, 9.615021632359474897e+06, 9.615021632359474897e+06, 9.615021632359474897e+06, 2.272654220813498796e+03, 2.272654220813498796e+03
4.105000000000000000e+04, 1.000000000000000000e+00, 9.227758494206039235e+06, 9.227758494206039235e+06, 9.227758494206039235e+06, 2.144265847521707201e+03, 2.144265847521707201e+03
