# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
5.284770204694519435e+01, 2.610957189335683659e-01, 1.079747944792499475e+05, 2.819175659126405299e+04, 1.669234999771320508e+04, 2.520203072448249149e+00, 1.861605470484571478e+00
5.903890782763249945e+01, 2.598954089743293339e-01, 1.344468772563193925e+05, 3.494212614985258551e+04, 2.081924621227163516e+04, 3.408861365073365679e+00, 2.529365960960979098e+00
6.595542478617888094e+01, 2.633624992204275372e-01, 1.659663263764579897e+05, 4.370930650093714212e+04, 2.613731185271267168e+04, 4.359502814727058251e+00, 3.202037104485556895e+00
7.368222446502095124e+01, 2.655504538250388347e-01, 2.048812595140615886e+05, 5.440631144420461351e+04, 3.295545072060821258e+04, 5.511288272353943363e+00, 4.128564510284771671e+00
8.231423297953507756e+01, 2.724217853151852942e-01, 2.501846029772702022e+05, 6.815573620143877633e+04, 4.110779599344568851e+04, 7.364681554931273411e+00, 5.273538386207103024e+00
9.195749721462016169e+01, 2.777072797039553120e-01, 3.043720840869896347e+05, 8.452634348962143122e+04, 5.178757608176374197e+04, 9.776372686934237777e+00, 7.134673378928059861e+00
1.027304876433610872e+02, 2.847095303109967168e-01, 3.642942155855096644e+05, 1.037180350143634278e+05, 6.420670553967374872e+04, 1.129574254874937367e+01, 8.294194892967407640e+00
1.147655537733020736e+02, 2.959267029140296157e-01, 4.301568627530439990e+05, 1.272949021303510526e+05, 7.969992465857048228e+04, 1.388434671456021796e+01, 1.030633028111770599e+01
1.282105501009355635e+02, 3.113950627606422161e-01, 5.039004918562817038e+05, 1.569121252867053263e+05, 9.914384219915783615e+04, 1.707046831538078280e+01, 1.276396062600820969e+01
1.432306525497589575e+02, 3.307877141735267590e-01, 5.768072110513322987e+05, 1.908007388624772429e+05, 1.229553598335327988e+05, 2.192238264449308360e+01, 1.655392709660218031e+01
1.600103877074003265e+02, 3.587431830011575395e-01, 6.411068069233675487e+05, 2.299926965593974164e+05, 1.515288033689528238e+05, 2.796939530367548343e+01, 2.191187398758644278e+01
1.787558997916165993e+02, 3.974535239565223366e-01, 6.905235637624774827e+05, 2.744510237924130051e+05, 1.836892782792093931e+05, 3.338962869865410710e+01, 2.572344887623589216e+01
1.996974831955403999e+02, 4.403756758736851462e-01, 7.341642895452248631e+05, 3.233080952108022757e+05, 2.218643261989118473e+05, 4.119556806667409177e+01, 3.189276320524505337e+01
2.230924117252739336e+02, 4.752191905246813119e-01, 8.099705815469064983e+05, 3.849135641115262988e+05, 2.697414496453173924e+05, 5.224918922830136836e+01, 4.148605963843073141e+01
2.492280992878862378e+02, 5.119320500259826323e-01, 9.007860213848346611e+05, 4.611412345622870489e+05, 3.304120054858916556e+05, 6.434157472382302956e+01, 5.023811732600535152e+01
2.784256308598396572e+02, 5.470264816753517279e-01, 9.982348835736982292e+05, 5.460609162469245493e+05, 3.987619903289309586e+05, 7.855769977168243656e+01, 6.213785660850604131e+01
3.110437071148807604e+02, 5.836482832485916372e-01, 1.107613562915545423e+06, 6.464567544985139975e+05, 4.826527961558712414e+05, 9.432907139874457414e+01, 7.604414352703490465e+01
3.474830511723650943e+02, 6.185816352201981561e-01, 1.225120936890757177e+06, 7.578373124843857950e+05, 5.773095145839364268e+05, 1.162246193907581926e+02, 9.529100929572524592e+01
3.881913316042777637e+02, 6.523951622662935712e-01, 1.356832758756706025e+06, 8.851911278173039900e+05, 6.875953187460515182e+05, 1.390842776670436081e+02, 1.140253421137915240e+02
4.336686621816065781e+02, 6.894223002849650950e-01, 1.500638089630062692e+06, 1.034573363647993421e+06, 8.187222408431896474e+05, 1.690409295425649532e+02, 1.399625075132234997e+02
4.844737459261492631e+02, 7.213178559254757038e-01, 1.650406223340658238e+06, 1.190467478426145390e+06, 9.584714937912684400e+05, 1.985914504474170599e+02, 1.664859620017279553e+02
5.412307389493225855e+02, 7.550263344345687910e-01, 1.823632858749506297e+06, 1.376890832696073456e+06, 1.130593786616646219e+06, 2.412787511232255326e+02, 2.041470719649278180e+02
6.046369184023494654e+02, 7.850710676505762153e-01, 2.000232541217972524e+06, 1.570324696683418937e+06, 1.310262345792868407e+06, 2.884065281402409369e+02, 2.426436026210427599e+02
6.754712487409561845e+02, 8.147743439746940597e-01, 2.193177502163928002e+06, 1.786944760545672616e+06, 1.517123638255681144e+06, 3.424791208040305719e+02, 2.894023506011276936e+02
7.546039515437796581e+02, 8.419539971496445840e-01, 2.405228019860164728e+06, 2.025091345377590507e+06, 1.753373063424368855e+06, 4.127377038836670522e+02, 3.562296304493050343e+02
