# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
5.284770204694519435e+01, 2.619045144234548594e-01, 1.077279567419443774e+05, 2.821443820032989242e+04, 1.690705769201937801e+04, 2.924974533594580262e+00, 2.100464297240556277e+00
5.903890782763249945e+01, 2.627326465391652821e-01, 1.344445500697780226e+05, 3.532297245260010095e+04, 2.117431488892589550e+04, 3.632103322332401518e+00, 2.645375475444595281e+00
6.595542478617888094e+01, 2.650627072104265736e-01, 1.663949387307565194e+05, 4.410509292608738178e+04, 2.646316033856406648e+04, 4.664284423072195374e+00, 3.344430524086652756e+00
7.368222446502095124e+01, 2.674812270038438577e-01, 2.051561043120388349e+05, 5.487540650871272373e+04, 3.303869206511581433e+04, 5.819298126792535442e+00, 4.211542326211754173e+00
8.231423297953507756e+01, 2.720073018365949946e-01, 2.505722891772250005e+05, 6.815749229411600390e+04, 4.124445072749196697e+04, 7.427904560044694904e+00, 5.378452123227323689e+00
9.195749721462016169e+01, 2.788574921836926568e-01, 3.036978801816076157e+05, 8.468842924894667522e+04, 5.158028381412669114e+04, 9.092542355938732612e+00, 6.597304587437442080e+00
1.027304876433610872e+02, 2.874086418453204450e-01, 3.639505859958353103e+05, 1.046025436198715324e+05, 6.417317520863619575e+04, 1.127134801283746235e+01, 8.223961425245272849e+00
1.147655537733020736e+02, 2.988217732988511233e-01, 4.314508057020116830e+05, 1.289268948510931950e+05, 8.004472394932690077e+04, 1.409618575293497322e+01, 1.030371859153140512e+01
1.282105501009355635e+02, 3.131653284271423421e-01, 5.024830368866905919e+05, 1.573602652756883472e+05, 9.898829361026443075e+04, 1.752328221680188491e+01, 1.292114392533339640e+01
1.432306525497589575e+02, 3.329409283861171076e-01, 5.733337443545988062e+05, 1.908862691205088631e+05, 1.219079077428601886e+05, 2.207115010513929221e+01, 1.648022662544112649e+01
1.600103877074003265e+02, 3.615229137099456036e-01, 6.381259787953989580e+05, 2.306971631681236031e+05, 1.501029939229172014e+05, 2.732741104063069670e+01, 2.048946628266770276e+01
1.787558997916165993e+02, 3.994742165167051717e-01, 6.910402232219497673e+05, 2.760527517531174235e+05, 1.837817526462184906e+05, 3.392329595485014693e+01, 2.574122362614638249e+01
1.996974831955403999e+02, 4.444529406382170533e-01, 7.367242169486245839e+05, 3.274392446622040006e+05, 2.236003347221789300e+05, 4.142933305354985407e+01, 3.191946354793355667e+01
2.230924117252739336e+02, 4.801203268739593910e-01, 8.128720081122221891e+05, 3.902763742415318848e+05, 2.719059447912820615e+05, 5.116695879813752867e+01, 3.986248393914279831e+01
2.492280992878862378e+02, 5.151049524861522899e-01, 9.016339010065085022e+05, 4.644360877378616715e+05, 3.308091988134427229e+05, 6.280241635579130843e+01, 4.929668300950224591e+01
2.784256308598396572e+02, 5.487733821097227072e-01, 1.001720629220588366e+06, 5.497176176264617825e+05, 3.996311489613653976e+05, 7.761641351150805690e+01, 6.125017053929788347e+01
3.110437071148807604e+02, 5.848931362398640532e-01, 1.105665203284765128e+06, 6.466959883805131540e+05, 4.800671028134263470e+05, 9.458506448566498648e+01, 7.501069669855260713e+01
3.474830511723650943e+02, 6.206149857826062100e-01, 1.224194594985856907e+06, 7.597535111622909317e+05, 5.752921034072525799e+05, 1.141938207122705080e+02, 9.123751722669170761e+01
3.881913316042777637e+02, 6.560483239286849511e-01, 1.353386077888459200e+06, 8.878866680271403166e+05, 6.861050530255367048e+05, 1.386591155279992336e+02, 1.117958030324404746e+02
4.336686621816065781e+02, 6.907796509094713544e-01, 1.495308634093179600e+06, 1.032928776260804967e+06, 8.141403414973852923e+05, 1.667464100209691651e+02, 1.361970440431456097e+02
4.844737459261492631e+02, 7.240106880560940317e-01, 1.649589501120929141e+06, 1.194320429716672748e+06, 9.602426368255076231e+05, 2.008765518815081634e+02, 1.652544565312931297e+02
5.412307389493225855e+02, 7.560053660512552343e-01, 1.818439528091940330e+06, 1.374750041077219183e+06, 1.125821027100245701e+06, 2.389473437337262283e+02, 1.992324327004191389e+02
6.046369184023494654e+02, 7.868123917295362091e-01, 1.999244050713884644e+06, 1.573029993193237809e+06, 1.311959567490170710e+06, 2.836401296415448314e+02, 2.393866320997559001e+02
6.754712487409561845e+02, 8.160008034011557720e-01, 2.195347575669260230e+06, 1.791405385490895947e+06, 1.520539637125277426e+06, 3.331909454097602747e+02, 2.845369977822672354e+02
7.546039515437796581e+02, 8.430393109855313094e-01, 2.413848498459540773e+06, 2.034969174964790698e+06, 1.755597003459638217e+06, 3.915259593939153433e+02, 3.373637124083247727e+02
8.430071964526541706e+02, 8.678179791638057639e-01, 2.643470182973543648e+06, 2.294050952167876530e+06, 2.011792138184370473e+06, 4.552230644836802753e+02, 3.968541374802859991e+02
9.417670445762749978e+02, 8.902293812353128111e-01, 2.891910616634175181e+06, 2.574463798834073823e+06, 2.293364066092865076e+06, 5.195531072285604068e+02, 4.607884360016627170e+02
1.052096791085630684e+03, 9.095774233845329571e-01, 3.157012087103728205e+06, 2.871546919781635981e+06, 2.595568246875543147e+06, 5.969917019149196449e+02, 5.345621480317424812e+02
1.175351870919105522e+03, 9.270633291827102829e-01, 3.439809167483005673e+06, 3.188920938560002483e+06, 2.921954556530890986e+06, 6.768559422400797985e+02, 6.128683696978175703e+02
1.313046510718427498e+03, 9.420589927423654864e-01, 3.741292730103581212e+06, 3.524518460875714198e+06, 3.270055039449015167e+06, 7.645473079117749649e+02, 7.007411345109160266e+02
1.466872331569631797e+03, 9.545105615256682663e-01, 4.064955171341581736e+06, 3.880042643173922319e+06, 3.642415724081822205e+06, 8.548300208600270480e+02, 7.901706368218666512e+02
1.638719131089444090e+03, 9.649368104806256285e-01, 4.405603495114615187e+06, 4.251128984818193130e+06, 4.034003100385182537e+06, 9.516399809024140950e+02, 8.907369811874297056e+02
1.830698100171417309e+03, 9.729781783666768824e-01, 4.757531260734938085e+06, 4.628974099592399783e+06, 4.434148121079728939e+06, 1.053930078284959791e+03, 9.978854965685999332e+02
2.045167759616708281e+03, 9.796612059874559852e-01, 5.125671617964539677e+06, 5.021421638750815764e+06, 4.849339434246589430e+06, 1.156464574774115363e+03, 1.105158061902718828e+03
2.284762935288990320e+03, 9.851951473359705780e-01, 5.520192253772412427e+06, 5.438466620778195560e+06, 5.288045973959523253e+06, 1.262113504907254082e+03, 1.214407118073752599e+03
2.552427127762217424e+03, 9.891908483835982757e-01, 5.920913381453854032e+06, 5.856913331006137654e+06, 5.727997103006861173e+06, 1.365314868082242128e+03, 1.322948691114521807e+03
2.851448674132330325e+03, 9.920917407767094742e-01, 6.322220203005539253e+06, 6.272222446773447096e+06, 6.165782106003403664e+06, 1.465978134179845028e+03, 1.429929337918328201e+03
3.185501146251913724e+03, 9.943490576639955059e-01, 6.744208097792827524e+06, 6.706096966730185784e+06, 6.616857101574235596e+06, 1.569290531894366268e+03, 1.537508085458886399e+03
3.558688481692563983e+03, 9.959127288946224565e-01, 7.160392162432523444e+06, 7.131125698443841189e+06, 7.059626965013068169e+06, 1.686728835578139524e+03, 1.659442122727659353e+03
3.975595401882746501e+03, 9.970399466529469290e-01, 7.578584026336969808e+06, 7.556151013323888183e+06, 7.500943323830694892e+06, 1.785170336991279100e+03, 1.765193436284555219e+03
4.441343736823509971e+03, 9.979249081518636322e-01, 7.982360382022786885e+06, 7.965796251065164804e+06, 7.922477253128027543e+06, 1.873408821423416157e+03, 1.857520088053148356e+03
4.961655348348546795e+03, 9.984434925300931241e-01, 8.396030672622658312e+06, 8.382962188163153827e+06, 8.348772975324549712e+06, 1.978966926564267851e+03, 1.965993645549744542e+03
5.542922424960239368e+03, 9.989396031163233491e-01, 8.780046932433109730e+06, 8.770736598027423024e+06, 8.745260503701420501e+06, 2.069637391036111239e+03, 2.060137375323023662e+03
6.192286011835419231e+03, 9.992505885357132467e-01, 9.156236998158130795e+06, 9.149375209181984887e+06, 9.130314245822343975e+06, 2.158238752052848668e+03, 2.150251062008535428e+03
6.917723740766163246e+03, 9.994394549575997821e-01, 9.493976612044978887e+06, 9.488654810522433370e+06, 9.474129118053218350e+06, 2.226423227059526653e+03, 2.220125250517197401e+03
7.728147837824985800e+03, 9.995654286537870581e-01, 9.804300836416840553e+06, 9.800040168203681707e+06, 9.789580768715152517e+06, 2.305200688124061799e+03, 2.301877369659162923e+03
8.633514612808796301e+03, 9.996942854919514954e-01, 1.008030259890092537e+07, 1.007722090415092185e+07, 1.006967000320418365e+07, 2.360254178390883226e+03, 2.357541066427994792e+03
9.644946775573191189e+03, 9.997546892815158959e-01, 1.032119783378074132e+07, 1.031866593332451954e+07, 1.031304448089270666e+07, 2.407432568479748625e+03, 2.405083821845826606e+03
1.077487008195092858e+04, 9.998369657430508095e-01, 1.052589554024799354e+07, 1.052417945868986472e+07, 1.051992231259191968e+07, 2.464551856626541394e+03, 2.462658625669403591e+03
1.203716598799184794e+04, 9.998711724616905494e-01, 1.068322473254516907e+07, 1.068184843900166824e+07, 1.067863201307522878e+07, 2.498152887700959582e+03, 2.496454556873923138e+03
1.344734218792855427e+04, 9.998955980443037239e-01, 1.077923584802352637e+07, 1.077811047472008131e+07, 1.077571005498048104e+07, 2.502628964358864778e+03, 2.500646661255151230e+03
1.502272313097934057e+04, 9.999238127747329674e-01, 1.084039542725894973e+07, 1.083956952761054970e+07, 1.083789291916416213e+07, 2.513879355013719305e+03, 2.513157037451016549e+03
1.678266285754611454e+04, 9.999438708379984053e-01, 1.083390215838465281e+07, 1.083329406053529494e+07, 1.083208452133644000e+07, 2.518441083485585750e+03, 2.517841365789712199e+03
1.874878276956548143e+04, 9.999595940560659368e-01, 1.076368167457922921e+07, 1.076324675786096230e+07, 1.076233567296528630e+07, 2.516289604863689874e+03, 2.515994617585314245e+03
2.094523725609495159e+04, 9.999609574763189679e-01, 1.065277145576230250e+07, 1.065235554468047246e+07, 1.065159199322623573e+07, 2.484200601017189001e+03, 2.483931673693941775e+03
2.339901043742664478e+04, 9.999710434688064975e-01, 1.049093991140365973e+07, 1.049063613017486595e+07, 1.049021309421488456e+07, 2.440100619087750601e+03, 2.439861915557344219e+03
2.614024767332138435e+04, 9.999809868816577074e-01, 1.029211334116144106e+07, 1.029191765599249303e+07, 1.029161797417950258e+07, 2.414096043759185250e+03, 2.414085559274722073e+03
2.920262590804389038e+04, 9.999858055896655440e-01, 1.007269315074346215e+07, 1.007255017480370775e+07, 1.007229456882941537e+07, 2.361493575047904869e+03, 2.361480481172771761e+03
3.262376740200186396e+04, 9.999870423948188369e-01, 9.777588726806102321e+06, 9.777462032671757042e+06, 9.777269940610460937e+06, 2.294121995430919924e+03, 2.294105389047250355e+03
3.644570193280985404e+04, 9.999859162690224457e-01, 9.482888597672414035e+06, 9.482755043220514432e+06, 9.482657417947312817e+06, 2.219934758699820577e+03, 2.219927228580017982e+03
4.071538314406054269e+04, 9.999932323999023431e-01, 9.085674638523723930e+06, 9.085613150311153382e+06, 9.085562824388530105e+06, 2.136645609103092738e+03, 2.136642642581683958e+03
4.548526538530696416e+04, 9.999926909904309769e-01, 8.600259414540167898e+06, 8.600196555161811411e+06, 8.600152417191985995e+06, 2.004812657149443794e+03, 2.004807199828888542e+03
5.081394812991248909e+04, 9.999952813585529787e-01, 8.060086084626421332e+06, 8.060048051970155910e+06, 8.060024616389272735e+06, 1.889568340732172146e+03, 1.889565713564053112e+03
5.676689588764085056e+04, 9.999954677663452918e-01, 7.404637294883631170e+06, 7.404603735337282531e+06, 7.404581543925267644e+06, 1.739173956934273974e+03, 1.739173954411630802e+03
