# Columns: semi-major axis [pc], survival probability, survival probability for AMCs passing the AS cut
1.000000000000000000e+02, 4.494699999999999807e-01, 1.426946410920176839e-06
1.100000000000000000e+02, 4.570299999999999918e-01, 1.583526341400629545e-06
1.200000000000000000e+02, 4.624599999999999822e-01, 1.855776399967833953e-06
1.300000000000000000e+02, 4.635000000000000231e-01, 2.004311497389558615e-06
1.500000000000000000e+02, 4.725300000000000056e-01, 2.359045805033178513e-06
1.600000000000000000e+02, 4.786400000000000099e-01, 2.639942662501954989e-06
1.800000000000000000e+02, 4.876300000000000079e-01, 3.219113588472457161e-06
2.000000000000000000e+02, 4.902900000000000036e-01, 3.752766987899707050e-06
2.200000000000000000e+02, 4.991599999999999926e-01, 4.364780704611639532e-06
2.400000000000000000e+02, 5.066100000000000048e-01, 5.094018651620239723e-06
2.700000000000000000e+02, 5.139399999999999524e-01, 6.131729947209637678e-06
3.000000000000000000e+02, 5.225600000000000245e-01, 7.227455472116615354e-06
3.300000000000000000e+02, 5.301500000000000101e-01, 8.551143446827465228e-06
3.600000000000000000e+02, 5.384799999999999587e-01, 1.023951352696167135e-05
4.000000000000000000e+02, 5.461599999999999788e-01, 1.258509478491815379e-05
4.400000000000000000e+02, 5.557600000000000318e-01, 1.481272538491813738e-05
4.800000000000000000e+02, 5.646200000000000108e-01, 1.713468541284536562e-05
5.300000000000000000e+02, 5.750199999999999756e-01, 2.132208476682844774e-05
5.900000000000000000e+02, 5.824500000000000233e-01, 2.587294637552625676e-05
6.500000000000000000e+02, 5.951199999999999823e-01, 3.035440290029364451e-05
7.100000000000000000e+02, 6.008299999999999752e-01, 3.812751260952460046e-05
7.900000000000000000e+02, 6.114600000000000035e-01, 4.663586676718392939e-05
8.700000000000000000e+02, 6.241900000000000226e-01, 5.704360788976396674e-05
9.600000000000000000e+02, 6.345800000000000329e-01, 6.943272372891327415e-05
1.060000000000000000e+03, 6.453400000000000247e-01, 8.482717682260330504e-05
1.170000000000000000e+03, 6.596800000000000441e-01, 1.047404370865311974e-04
1.300000000000000000e+03, 6.711099999999999843e-01, 1.332021032582256356e-04
1.430000000000000000e+03, 6.831500000000000350e-01, 1.598119458638860401e-04
1.580000000000000000e+03, 6.942199999999999482e-01, 2.021618358808118508e-04
1.750000000000000000e+03, 7.082199999999999607e-01, 2.577920379300671421e-04
1.930000000000000000e+03, 7.209999999999999742e-01, 3.193139144502974368e-04
2.130000000000000000e+03, 7.365899999999999670e-01, 4.119001965658191061e-04
2.350000000000000000e+03, 7.526300000000000212e-01, 5.146244784871984151e-04
2.590000000000000000e+03, 7.662900000000000267e-01, 6.184355289000437400e-04
2.860000000000000000e+03, 7.803499999999999881e-01, 7.962333134328455735e-04
3.160000000000000000e+03, 7.953500000000000014e-01, 9.873116006046311812e-04
3.490000000000000000e+03, 8.104099999999999637e-01, 1.226613130587952656e-03
3.850000000000000000e+03, 8.246999999999999886e-01, 1.492349028828959855e-03
4.250000000000000000e+03, 8.405099999999999794e-01, 1.834747101255815435e-03
4.690000000000000000e+03, 8.548700000000000188e-01, 2.214743721456863788e-03
5.170000000000000000e+03, 8.663499999999999535e-01, 2.667568896631028474e-03
5.710000000000000000e+03, 8.834400000000000031e-01, 3.146828323311118714e-03
6.300000000000000000e+03, 8.942700000000000093e-01, 3.816490173650743598e-03
6.960000000000000000e+03, 9.083900000000000308e-01, 4.474569012382420032e-03
7.680000000000000000e+03, 9.195200000000000040e-01, 5.126944662402245501e-03
8.470000000000000000e+03, 9.307199999999999918e-01, 6.001342247035146467e-03
9.350000000000000000e+03, 9.422099999999999920e-01, 6.994812640515653962e-03
1.032000000000000000e+04, 9.509100000000000330e-01, 7.741136944584417652e-03
1.139000000000000000e+04, 9.606900000000000439e-01, 8.597007440088792057e-03
1.257000000000000000e+04, 9.672600000000000087e-01, 9.691425126781335470e-03
1.387000000000000000e+04, 9.738599999999999479e-01, 1.017418020247343353e-02
1.531000000000000000e+04, 9.799900000000000277e-01, 1.127538339045697051e-02
1.690000000000000000e+04, 9.841699999999999893e-01, 1.201605536706421874e-02
1.865000000000000000e+04, 9.876800000000000024e-01, 1.202060697128060768e-02
2.058000000000000000e+04, 9.905699999999999505e-01, 1.269556508868874105e-02
2.272000000000000000e+04, 9.923499999999999543e-01, 1.299801365301143062e-02
2.507000000000000000e+04, 9.944800000000000306e-01, 1.328659079614277760e-02
2.767000000000000000e+04, 9.958599999999999675e-01, 1.364935517482783814e-02
3.054000000000000000e+04, 9.970900000000000318e-01, 1.393257943214995347e-02
3.370000000000000000e+04, 9.975000000000000533e-01, 1.451661111366317133e-02
3.719000000000000000e+04, 9.982600000000000362e-01, 1.413176089627344277e-02
4.105000000000000000e+04, 9.988399999999999501e-01, 1.467963581341650593e-02
4.530000000000000000e+04, 9.990200000000000191e-01, 1.447319195533929362e-02
5.000000000000000000e+04, 9.992699999999999916e-01, 1.433109325748066314e-02
