# Columns: semi-major axis [pc], survival probability, survival probability for AMCs passing the AS cut
1.000000000000000000e+02, 4.091000000000000192e-01, 1.158993716804265311e-06
1.100000000000000000e+02, 4.177000000000000157e-01, 1.324005525455495331e-06
1.200000000000000000e+02, 4.192000000000000171e-01, 1.516997925347311707e-06
1.300000000000000000e+02, 4.284000000000000030e-01, 1.937900114348894881e-06
1.500000000000000000e+02, 4.414000000000000146e-01, 2.041902090172563532e-06
1.600000000000000000e+02, 4.490999999999999992e-01, 2.569045464325847277e-06
1.800000000000000000e+02, 4.620000000000000218e-01, 3.657010877719747883e-06
2.000000000000000000e+02, 4.590000000000000191e-01, 3.415132647871559715e-06
2.200000000000000000e+02, 4.691000000000000170e-01, 3.824292922041254223e-06
2.400000000000000000e+02, 4.718999999999999861e-01, 4.424516636421722825e-06
2.700000000000000000e+02, 4.938000000000000167e-01, 6.542442519828437190e-06
3.000000000000000000e+02, 4.924999999999999933e-01, 5.961174325809399830e-06
3.300000000000000000e+02, 5.141999999999999904e-01, 8.240601609751760950e-06
3.600000000000000000e+02, 5.108000000000000318e-01, 9.025287568046458505e-06
4.000000000000000000e+02, 5.309000000000000385e-01, 1.059459847993741078e-05
4.400000000000000000e+02, 5.382000000000000117e-01, 1.429462799154595583e-05
4.800000000000000000e+02, 5.525999999999999801e-01, 1.489273331303101134e-05
5.300000000000000000e+02, 5.646999999999999797e-01, 1.899843931697130366e-05
5.900000000000000000e+02, 5.696999999999999842e-01, 2.153676172306309586e-05
6.500000000000000000e+02, 5.826000000000000068e-01, 2.999972280635958077e-05
7.100000000000000000e+02, 5.847999999999999865e-01, 3.534897721333211918e-05
7.900000000000000000e+02, 6.076000000000000290e-01, 4.145871024939714602e-05
8.700000000000000000e+02, 6.079999999999999849e-01, 5.026791612016203603e-05
9.600000000000000000e+02, 6.231999999999999762e-01, 6.421694771875097998e-05
1.060000000000000000e+03, 6.392999999999999794e-01, 7.436824835904295679e-05
1.170000000000000000e+03, 6.453999999999999737e-01, 8.751670352308243527e-05
1.300000000000000000e+03, 6.615999999999999659e-01, 1.244878018343753209e-04
1.430000000000000000e+03, 6.787999999999999590e-01, 1.375032616741131788e-04
1.580000000000000000e+03, 6.885999999999999899e-01, 1.898337500580952878e-04
1.750000000000000000e+03, 7.079999999999999627e-01, 2.423071013994884519e-04
1.930000000000000000e+03, 7.272999999999999465e-01, 2.888433442804879065e-04
2.130000000000000000e+03, 7.298000000000000043e-01, 3.692463907293524594e-04
2.350000000000000000e+03, 7.481999999999999762e-01, 4.440128927754041993e-04
2.590000000000000000e+03, 7.600000000000000089e-01, 6.007816139297431903e-04
2.860000000000000000e+03, 7.863999999999999879e-01, 6.897408693258683370e-04
3.160000000000000000e+03, 7.935999999999999721e-01, 9.288381340180277678e-04
3.490000000000000000e+03, 8.092000000000000304e-01, 1.095990608717902067e-03
3.850000000000000000e+03, 8.248999999999999666e-01, 1.419419994712475472e-03
4.250000000000000000e+03, 8.463000000000000522e-01, 1.785794065357894280e-03
4.690000000000000000e+03, 8.508000000000000007e-01, 1.868550264367851033e-03
5.170000000000000000e+03, 8.678000000000000158e-01, 2.315936038046817209e-03
5.710000000000000000e+03, 8.837000000000000410e-01, 2.933207998844379345e-03
6.300000000000000000e+03, 8.887000000000000455e-01, 3.359459150179837719e-03
6.960000000000000000e+03, 9.028000000000000469e-01, 3.977709783391770136e-03
7.680000000000000000e+03, 9.225999999999999757e-01, 4.841425079508773592e-03
8.470000000000000000e+03, 9.305999999999999828e-01, 5.461665330117246135e-03
9.350000000000000000e+03, 9.417999999999999705e-01, 5.770042788316024837e-03
1.032000000000000000e+04, 9.526999999999999913e-01, 6.624933274022150841e-03
1.139000000000000000e+04, 9.627000000000000002e-01, 7.098511831746287352e-03
1.257000000000000000e+04, 9.660999999999999588e-01, 8.915235810456041340e-03
1.387000000000000000e+04, 9.725000000000000311e-01, 9.093301738533048767e-03
1.531000000000000000e+04, 9.816000000000000281e-01, 1.062133651590186668e-02
1.690000000000000000e+04, 9.839999999999999858e-01, 1.033205062217256408e-02
1.865000000000000000e+04, 9.862999999999999545e-01, 1.087673145207151970e-02
2.058000000000000000e+04, 9.896000000000000352e-01, 1.178302621701981037e-02
2.272000000000000000e+04, 9.916000000000000369e-01, 1.192097700371533980e-02
2.507000000000000000e+04, 9.942999999999999616e-01, 1.156419191540053286e-02
2.767000000000000000e+04, 9.951999999999999735e-01, 1.156737210425818306e-02
3.054000000000000000e+04, 9.971999999999999753e-01, 1.180653337802840298e-02
3.370000000000000000e+04, 9.971999999999999753e-01, 1.342340569691538067e-02
3.719000000000000000e+04, 9.980999999999999872e-01, 1.249049065843811125e-02
4.105000000000000000e+04, 9.989000000000000101e-01, 1.310886708209652550e-02
4.530000000000000000e+04, 9.987000000000000322e-01, 1.292886084787779437e-02
5.000000000000000000e+04, 9.988000000000000211e-01, 1.334134141298977221e-02
