# Columns: semi-major axis [pc], survival probability, survival probability for AMCs passing the AS cut
1.000000000000000000e+02, 4.427900000000000169e-01, 1.236397904479734421e-06
1.100000000000000000e+02, 4.482099999999999973e-01, 1.399157419488097122e-06
1.200000000000000000e+02, 4.547300000000000231e-01, 1.587996678406295340e-06
1.300000000000000000e+02, 4.627700000000000147e-01, 1.846474686241965650e-06
1.500000000000000000e+02, 4.712399999999999922e-01, 2.113835936578912194e-06
1.600000000000000000e+02, 4.739800000000000124e-01, 2.282380532570089230e-06
1.800000000000000000e+02, 4.811400000000000121e-01, 2.831372264269500349e-06
2.000000000000000000e+02, 4.900800000000000156e-01, 3.316022161770612702e-06
2.200000000000000000e+02, 4.974399999999999933e-01, 3.822185501724305749e-06
2.400000000000000000e+02, 5.036300000000000221e-01, 4.758470963693753936e-06
2.700000000000000000e+02, 5.097399999999999709e-01, 5.214445153944984046e-06
3.000000000000000000e+02, 5.180599999999999650e-01, 6.543200040901446793e-06
3.300000000000000000e+02, 5.278100000000000014e-01, 7.604786488270213381e-06
3.600000000000000000e+02, 5.376800000000000468e-01, 8.951806395341890455e-06
4.000000000000000000e+02, 5.458300000000000374e-01, 1.060225543917617856e-05
4.400000000000000000e+02, 5.543400000000000549e-01, 1.301681624493443456e-05
4.800000000000000000e+02, 5.627400000000000180e-01, 1.574418793653753159e-05
5.300000000000000000e+02, 5.733300000000000063e-01, 1.862164760613561150e-05
5.900000000000000000e+02, 5.843399999999999705e-01, 2.185036126225197147e-05
6.500000000000000000e+02, 5.915000000000000258e-01, 2.751119250390965466e-05
7.100000000000000000e+02, 6.041800000000000503e-01, 3.309388713457315519e-05
7.900000000000000000e+02, 6.142900000000000027e-01, 4.082650005760124181e-05
8.700000000000000000e+02, 6.258799999999999919e-01, 4.800853231561575903e-05
9.600000000000000000e+02, 6.312100000000000488e-01, 6.197292317925207398e-05
1.060000000000000000e+03, 6.449099999999999833e-01, 7.596395723463952626e-05
1.170000000000000000e+03, 6.594100000000000517e-01, 9.168584533626574970e-05
1.300000000000000000e+03, 6.705200000000000049e-01, 1.162445654780276644e-04
1.430000000000000000e+03, 6.834799999999999764e-01, 1.428152577865128873e-04
1.580000000000000000e+03, 6.955799999999999761e-01, 1.846133401462892571e-04
1.750000000000000000e+03, 7.107200000000000184e-01, 2.327183267096457773e-04
1.930000000000000000e+03, 7.223300000000000276e-01, 2.864266370419068543e-04
2.130000000000000000e+03, 7.379000000000000004e-01, 3.653006573640951672e-04
2.350000000000000000e+03, 7.541400000000000325e-01, 4.531160717778215234e-04
2.590000000000000000e+03, 7.641700000000000159e-01, 5.523368023959956269e-04
2.860000000000000000e+03, 7.810700000000000420e-01, 6.963000834417015306e-04
3.160000000000000000e+03, 7.952700000000000324e-01, 8.798286579709138980e-04
3.490000000000000000e+03, 8.124299999999999855e-01, 1.093335494397525273e-03
3.850000000000000000e+03, 8.251399999999999846e-01, 1.323844322612183081e-03
4.250000000000000000e+03, 8.399999999999999689e-01, 1.596663933891130996e-03
4.690000000000000000e+03, 8.529099999999999460e-01, 1.966468297857596956e-03
5.170000000000000000e+03, 8.677899999999999503e-01, 2.347153290515155595e-03
5.710000000000000000e+03, 8.813100000000000378e-01, 2.778654696455605620e-03
6.300000000000000000e+03, 8.954100000000000392e-01, 3.355606264425044487e-03
6.960000000000000000e+03, 9.091200000000000392e-01, 3.944112671772265905e-03
7.680000000000000000e+03, 9.181399999999999562e-01, 4.571578043401916362e-03
8.470000000000000000e+03, 9.335200000000000164e-01, 5.302911689555152124e-03
9.350000000000000000e+03, 9.418100000000000360e-01, 6.023836377834383866e-03
1.032000000000000000e+04, 9.503599999999999826e-01, 6.736105279102195392e-03
1.139000000000000000e+04, 9.604300000000000059e-01, 7.539320158257870746e-03
1.257000000000000000e+04, 9.674000000000000377e-01, 8.570781179055644849e-03
1.387000000000000000e+04, 9.741199999999999859e-01, 8.835889082027512803e-03
1.531000000000000000e+04, 9.796200000000000463e-01, 9.693381267553246097e-03
1.690000000000000000e+04, 9.835199999999999498e-01, 1.017377290413511333e-02
1.865000000000000000e+04, 9.874300000000000299e-01, 1.076549921964049805e-02
2.058000000000000000e+04, 9.901699999999999946e-01, 1.129262187179256270e-02
2.272000000000000000e+04, 9.929000000000000048e-01, 1.144168040582604559e-02
2.507000000000000000e+04, 9.944399999999999906e-01, 1.183308001887123546e-02
2.767000000000000000e+04, 9.958500000000000130e-01, 1.170352651528462802e-02
3.054000000000000000e+04, 9.970700000000000118e-01, 1.217838923879809021e-02
3.370000000000000000e+04, 9.976199999999999513e-01, 1.232066909763441034e-02
3.719000000000000000e+04, 9.979099999999999637e-01, 1.223659478108117538e-02
4.105000000000000000e+04, 9.985500000000000487e-01, 1.253269280915373859e-02
4.530000000000000000e+04, 9.989200000000000301e-01, 1.250788412857328433e-02
5.000000000000000000e+04, 9.992799999999999461e-01, 1.250371857146306137e-02
