# Columns: semi-major axis [pc], survival probability
1.000000000000000000e+02, 7.739999999999999658e-02
1.100000000000000000e+02, 9.009999999999999953e-02
1.200000000000000000e+02, 1.083999999999999964e-01
1.300000000000000000e+02, 1.218000000000000055e-01
1.500000000000000000e+02, 1.459999999999999909e-01
1.600000000000000000e+02, 1.748999999999999999e-01
1.800000000000000000e+02, 1.942000000000000115e-01
2.000000000000000000e+02, 2.112999999999999878e-01
2.200000000000000000e+02, 2.378000000000000114e-01
2.400000000000000000e+02, 2.788999999999999813e-01
2.700000000000000000e+02, 3.135000000000000009e-01
3.000000000000000000e+02, 3.431000000000000161e-01
3.300000000000000000e+02, 3.679999999999999938e-01
3.600000000000000000e+02, 4.136000000000000232e-01
4.000000000000000000e+02, 4.450000000000000067e-01
4.400000000000000000e+02, 4.897000000000000242e-01
4.800000000000000000e+02, 5.239000000000000323e-01
5.300000000000000000e+02, 5.586999999999999744e-01
5.900000000000000000e+02, 5.954000000000000403e-01
6.500000000000000000e+02, 6.340000000000000080e-01
7.100000000000000000e+02, 6.697999999999999510e-01
7.900000000000000000e+02, 7.079999999999999627e-01
8.700000000000000000e+02, 7.466000000000000414e-01
9.600000000000000000e+02, 7.831000000000000183e-01
1.060000000000000000e+03, 8.034999999999999920e-01
1.170000000000000000e+03, 8.370999999999999552e-01
1.300000000000000000e+03, 8.576000000000000290e-01
1.430000000000000000e+03, 8.762999999999999678e-01
1.580000000000000000e+03, 8.911000000000000032e-01
1.750000000000000000e+03, 9.092000000000000082e-01
1.930000000000000000e+03, 9.177999999999999492e-01
2.130000000000000000e+03, 9.234999999999999876e-01
2.350000000000000000e+03, 9.263000000000000123e-01
2.590000000000000000e+03, 9.383000000000000229e-01
2.860000000000000000e+03, 9.412000000000000366e-01
3.160000000000000000e+03, 9.445000000000000062e-01
3.490000000000000000e+03, 9.453000000000000291e-01
3.850000000000000000e+03, 9.467999999999999750e-01
4.250000000000000000e+03, 9.483000000000000318e-01
4.690000000000000000e+03, 9.469999999999999529e-01
5.170000000000000000e+03, 9.554000000000000270e-01
5.710000000000000000e+03, 9.565000000000000169e-01
6.300000000000000000e+03, 9.556000000000000050e-01
6.960000000000000000e+03, 9.556999999999999940e-01
7.680000000000000000e+03, 9.563000000000000389e-01
8.470000000000000000e+03, 9.640999999999999570e-01
9.350000000000000000e+03, 9.639999999999999680e-01
1.032000000000000000e+04, 9.724000000000000421e-01
1.139000000000000000e+04, 9.730999999999999650e-01
1.257000000000000000e+04, 9.777000000000000135e-01
1.387000000000000000e+04, 9.798000000000000043e-01
1.531000000000000000e+04, 9.834000000000000519e-01
1.690000000000000000e+04, 9.859999999999999876e-01
1.865000000000000000e+04, 9.906000000000000361e-01
2.058000000000000000e+04, 9.909999999999999920e-01
2.272000000000000000e+04, 9.939000000000000057e-01
2.507000000000000000e+04, 9.926000000000000378e-01
2.767000000000000000e+04, 9.962999999999999634e-01
3.054000000000000000e+04, 9.973999999999999533e-01
3.370000000000000000e+04, 9.959999999999999964e-01
3.719000000000000000e+04, 9.981999999999999762e-01
4.105000000000000000e+04, 9.980999999999999872e-01
4.530000000000000000e+04, 9.987000000000000322e-01
5.000000000000000000e+04, 9.989000000000000101e-01
