# Columns: semi-major axis [pc], survival probability, survival probability for AMCs passing the AS cut
1.000000000000000000e+02, 9.579999999999999627e-02, 3.084078222716291534e-06
1.100000000000000000e+02, 1.116999999999999937e-01, 5.863478367025951228e-06
1.200000000000000000e+02, 1.351999999999999869e-01, 4.254448190186017735e-06
1.300000000000000000e+02, 1.406999999999999917e-01, 7.752691049767047990e-06
1.500000000000000000e+02, 1.724999999999999867e-01, 9.744619037116028450e-06
1.600000000000000000e+02, 1.943999999999999895e-01, 9.765589662395109658e-06
1.800000000000000000e+02, 2.233999999999999875e-01, 1.588320358409858120e-05
2.000000000000000000e+02, 2.581999999999999851e-01, 1.476797724897879776e-05
2.200000000000000000e+02, 2.817000000000000060e-01, 1.837628786430562955e-05
2.400000000000000000e+02, 3.245000000000000107e-01, 2.097839343153389436e-05
2.700000000000000000e+02, 3.529999999999999805e-01, 3.296207851114164633e-05
3.000000000000000000e+02, 3.870999999999999996e-01, 2.856875712909013763e-05
3.300000000000000000e+02, 4.270999999999999797e-01, 3.844850999258129609e-05
3.600000000000000000e+02, 4.652999999999999914e-01, 4.759038287218372208e-05
4.000000000000000000e+02, 5.088000000000000300e-01, 5.521779806834929721e-05
4.400000000000000000e+02, 5.404999999999999805e-01, 6.272736072387417622e-05
4.800000000000000000e+02, 5.877999999999999892e-01, 6.495759632816704404e-05
5.300000000000000000e+02, 6.368000000000000327e-01, 7.466613537627736041e-05
5.900000000000000000e+02, 6.760000000000000453e-01, 9.806323283333916966e-05
6.500000000000000000e+02, 7.095000000000000195e-01, 9.874563633491801706e-05
7.100000000000000000e+02, 7.492999999999999661e-01, 1.149595968457906670e-04
7.900000000000000000e+02, 7.832999999999999963e-01, 1.310198327423243026e-04
8.700000000000000000e+02, 8.229999999999999538e-01, 1.453912810374561422e-04
9.600000000000000000e+02, 8.535000000000000364e-01, 1.730831072343657381e-04
1.060000000000000000e+03, 8.806000000000000494e-01, 1.713287731562691742e-04
1.170000000000000000e+03, 9.068000000000000504e-01, 1.738714463214338884e-04
1.300000000000000000e+03, 9.255999999999999783e-01, 1.917360290146158733e-04
1.430000000000000000e+03, 9.417999999999999705e-01, 2.026227509463594432e-04
1.580000000000000000e+03, 9.596999999999999975e-01, 2.157103603960700900e-04
1.750000000000000000e+03, 9.695000000000000284e-01, 2.352521815175135343e-04
1.930000000000000000e+03, 9.758999999999999897e-01, 2.513935683636833577e-04
2.130000000000000000e+03, 9.792999999999999483e-01, 2.166975356414615399e-04
2.350000000000000000e+03, 9.868999999999999995e-01, 2.378754265774176715e-04
2.590000000000000000e+03, 9.908000000000000140e-01, 2.520619599797919866e-04
2.860000000000000000e+03, 9.940999999999999837e-01, 2.464963106517107012e-04
3.160000000000000000e+03, 9.948000000000000176e-01, 2.409559380865123322e-04
3.490000000000000000e+03, 9.966000000000000414e-01, 2.479746616183921607e-04
3.850000000000000000e+03, 9.977000000000000313e-01, 2.666014615750111677e-04
4.250000000000000000e+03, 9.981999999999999762e-01, 2.405428865804492753e-04
4.690000000000000000e+03, 9.985000000000000542e-01, 2.418550574109323934e-04
5.170000000000000000e+03, 9.993999999999999551e-01, 2.548941165965461957e-04
5.710000000000000000e+03, 9.990999999999999881e-01, 2.346970320945856894e-04
6.300000000000000000e+03, 9.990999999999999881e-01, 2.295722192945271346e-04
6.960000000000000000e+03, 9.993999999999999551e-01, 2.345578442806570347e-04
7.680000000000000000e+03, 9.997000000000000330e-01, 2.311621073011128804e-04
8.470000000000000000e+03, 9.998000000000000220e-01, 2.365214560257828443e-04
9.350000000000000000e+03, 9.999000000000000110e-01, 2.584892546094116092e-04
1.032000000000000000e+04, 1.000000000000000000e+00, 2.282600291537042851e-04
1.139000000000000000e+04, 1.000000000000000000e+00, 2.351708016868833684e-04
1.257000000000000000e+04, 1.000000000000000000e+00, 2.417653464665118525e-04
1.387000000000000000e+04, 1.000000000000000000e+00, 2.408545737236888996e-04
1.531000000000000000e+04, 1.000000000000000000e+00, 2.366675985096395836e-04
1.690000000000000000e+04, 9.999000000000000110e-01, 2.525102796014717563e-04
1.865000000000000000e+04, 1.000000000000000000e+00, 2.303356796422877301e-04
2.058000000000000000e+04, 1.000000000000000000e+00, 2.339105314534754268e-04
2.272000000000000000e+04, 1.000000000000000000e+00, 2.300418502400945319e-04
2.507000000000000000e+04, 1.000000000000000000e+00, 2.205191717659465392e-04
2.767000000000000000e+04, 1.000000000000000000e+00, 2.372446537581172834e-04
3.054000000000000000e+04, 1.000000000000000000e+00, 2.311589714857945044e-04
3.370000000000000000e+04, 1.000000000000000000e+00, 2.287337955102653885e-04
3.719000000000000000e+04, 1.000000000000000000e+00, 2.321910954396207789e-04
4.105000000000000000e+04, 1.000000000000000000e+00, 2.335849795441176445e-04
4.530000000000000000e+04, 1.000000000000000000e+00, 2.352773702742248731e-04
5.000000000000000000e+04, 1.000000000000000000e+00, 2.335302318049824308e-04
