# Columns: semi-major axis [pc], survival probability, survival probability for AMCs passing the AS cut
1.000000000000000000e+02, 9.740000000000000047e-02, 3.888663918070978303e-06
1.100000000000000000e+02, 1.142299999999999982e-01, 5.133628952817669976e-06
1.200000000000000000e+02, 1.288300000000000001e-01, 6.261709159995063382e-06
1.300000000000000000e+02, 1.522499999999999964e-01, 8.168945110645037816e-06
1.500000000000000000e+02, 1.731399999999999884e-01, 9.967086637619378820e-06
1.600000000000000000e+02, 1.991900000000000059e-01, 1.307955792333639578e-05
1.800000000000000000e+02, 2.258000000000000007e-01, 1.453792895706855131e-05
2.000000000000000000e+02, 2.558199999999999918e-01, 1.803326178387849488e-05
2.200000000000000000e+02, 2.886400000000000077e-01, 2.186628905815123189e-05
2.400000000000000000e+02, 3.239199999999999857e-01, 2.735923558312600181e-05
2.700000000000000000e+02, 3.620099999999999985e-01, 3.141003737978825578e-05
3.000000000000000000e+02, 3.954199999999999937e-01, 3.760403177777634111e-05
3.300000000000000000e+02, 4.384000000000000119e-01, 4.631456106757394939e-05
3.600000000000000000e+02, 4.749900000000000233e-01, 5.298960630819548039e-05
4.000000000000000000e+02, 5.145199999999999774e-01, 6.065833121487566339e-05
4.400000000000000000e+02, 5.569600000000000106e-01, 6.794386657518365082e-05
4.800000000000000000e+02, 5.915399999999999547e-01, 7.874627809916521853e-05
5.300000000000000000e+02, 6.313400000000000123e-01, 8.911002044737646375e-05
5.900000000000000000e+02, 6.692599999999999660e-01, 9.718535711302212215e-05
6.500000000000000000e+02, 7.104800000000000004e-01, 1.117707882672310795e-04
7.100000000000000000e+02, 7.515500000000000513e-01, 1.304758457059065500e-04
7.900000000000000000e+02, 7.858000000000000540e-01, 1.465447365239620975e-04
8.700000000000000000e+02, 8.212199999999999500e-01, 1.618352321034327850e-04
9.600000000000000000e+02, 8.524500000000000410e-01, 1.804829869500815405e-04
1.060000000000000000e+03, 8.812100000000000488e-01, 1.921498429098427200e-04
1.170000000000000000e+03, 9.071700000000000319e-01, 2.080657642060648651e-04
1.300000000000000000e+03, 9.280300000000000216e-01, 2.161167405525195914e-04
1.430000000000000000e+03, 9.429600000000000204e-01, 2.309392554437017736e-04
1.580000000000000000e+03, 9.583800000000000097e-01, 2.400020514205745959e-04
1.750000000000000000e+03, 9.691199999999999815e-01, 2.574285959135303565e-04
1.930000000000000000e+03, 9.779400000000000315e-01, 2.587042090551175183e-04
2.130000000000000000e+03, 9.838900000000000423e-01, 2.615658413882685808e-04
2.350000000000000000e+03, 9.879400000000000404e-01, 2.714480047156599715e-04
2.590000000000000000e+03, 9.913800000000000390e-01, 2.680371858357541697e-04
2.860000000000000000e+03, 9.940499999999999892e-01, 2.718711177880818865e-04
3.160000000000000000e+03, 9.953999999999999515e-01, 2.708233523320167035e-04
3.490000000000000000e+03, 9.969700000000000228e-01, 2.708445081263653222e-04
3.850000000000000000e+03, 9.974699999999999678e-01, 2.669589473995797680e-04
4.250000000000000000e+03, 9.985199999999999632e-01, 2.761986137215931454e-04
4.690000000000000000e+03, 9.988500000000000156e-01, 2.691356606400033052e-04
5.170000000000000000e+03, 9.989099999999999646e-01, 2.729072124019174192e-04
5.710000000000000000e+03, 9.992699999999999916e-01, 2.668190192317886956e-04
6.300000000000000000e+03, 9.993999999999999551e-01, 2.675212118316344298e-04
6.960000000000000000e+03, 9.995000000000000551e-01, 2.666837480555999209e-04
7.680000000000000000e+03, 9.996599999999999930e-01, 2.673032066935281635e-04
8.470000000000000000e+03, 9.997899999999999565e-01, 2.643233277470555254e-04
9.350000000000000000e+03, 9.997599999999999820e-01, 2.694811989894619697e-04
1.032000000000000000e+04, 9.998700000000000365e-01, 2.637641043713664121e-04
1.139000000000000000e+04, 9.999400000000000510e-01, 2.686068615856353117e-04
1.257000000000000000e+04, 9.999299999999999855e-01, 2.730207938408697873e-04
1.387000000000000000e+04, 9.999599999999999600e-01, 2.691016380747724866e-04
1.531000000000000000e+04, 9.999599999999999600e-01, 2.689918947424419209e-04
1.690000000000000000e+04, 9.999299999999999855e-01, 2.710569890250256564e-04
1.865000000000000000e+04, 9.999700000000000255e-01, 2.669150152887545847e-04
2.058000000000000000e+04, 9.999799999999999800e-01, 2.664070173118420360e-04
2.272000000000000000e+04, 9.999799999999999800e-01, 2.701438459273135272e-04
2.507000000000000000e+04, 1.000000000000000000e+00, 2.715417243030727947e-04
2.767000000000000000e+04, 9.999799999999999800e-01, 2.681973415494382754e-04
3.054000000000000000e+04, 1.000000000000000000e+00, 2.714885729705787112e-04
3.370000000000000000e+04, 1.000000000000000000e+00, 2.677120804784477730e-04
3.719000000000000000e+04, 1.000000000000000000e+00, 2.690495060895023286e-04
4.105000000000000000e+04, 9.999900000000000455e-01, 2.700822227702163840e-04
4.530000000000000000e+04, 1.000000000000000000e+00, 2.669676999733569533e-04
5.000000000000000000e+04, 1.000000000000000000e+00, 2.670678974340255944e-04
