# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 4.412971214172336947e+19
4.164867986368243590e-22, 3.967047273660606874e+19
4.879443454781822347e-22, 3.624279279562522214e+19
5.716620192126315073e-22, 3.253624057601932902e+19
6.697433165046825470e-22, 2.929893658259685376e+19
7.846526355214260603e-22, 2.618655650223754445e+19
9.192771965891135454e-22, 2.403468359366087066e+19
1.076999586711594898e-21, 2.176995883175179878e+19
1.261782750709730719e-21, 1.947917265730343322e+19
1.478269564475659425e-21, 1.753169503926069658e+19
1.731899492227074708e-21, 1.598037004282437837e+19
2.029045258900605437e-21, 1.461283480501326643e+19
2.377172971725329711e-21, 1.322974612472851661e+19
2.785029714203261248e-21, 1.202239499817121997e+19
3.262863325997498860e-21, 1.093927464007442842e+19
3.822679890934355379e-21, 9.943451264999849984e+18
4.478545402782572019e-21, 9.031218963185053696e+18
5.246939188487060978e-21, 8.223357575513488384e+18
6.147167968996433368e-21, 7.468423467369981952e+18
7.201850961408169007e-21, 6.757441817423134720e+18
8.437488211144998925e-21, 6.152037109040354304e+18
9.885126434120334154e-21, 5.621484126208565248e+18
1.158113909889358002e-20, 5.075946703079391232e+18
1.356814034921921673e-20, 4.564085364735867392e+18
1.589605573027771623e-20, 4.140351065714851840e+18
1.862337662173687523e-20, 3.758553882805331456e+18
2.181862989662507000e-20, 3.420959544537933824e+18
2.556209973277687262e-20, 3.089436737471966208e+18
2.994784483921711958e-20, 2.800759914715945984e+18
3.508606178246820418e-20, 2.542326500266314752e+18
4.110585379389697468e-20, 2.318921276802911744e+18
4.815847462736724022e-20, 2.103941451833529088e+18
5.642112897261175748e-20, 1.905871324785025792e+18
6.610142491380065642e-20, 1.730696583954067456e+18
7.744259030612173168e-20, 1.570247828213860864e+18
9.072958413744709407e-20, 1.419196744617710336e+18
1.062962564296273862e-19, 1.276577906019756544e+18
1.245337365796392977e-19, 1.155732716058541568e+18
1.459002609066893339e-19, 1.040812973172582016e+18
