# M_f [M_sun], P(M_f) [M_sun^-1]
3.554939309087782630e-22, 9.153265475901367910e+19
4.164867986368243590e-22, 8.239685242786604646e+19
4.879443454781822347e-22, 7.535074330750712218e+19
5.716620192126315073e-22, 6.903323974922765926e+19
6.697433165046825470e-22, 5.975050597687583539e+19
7.846526355214260603e-22, 5.457363615356289024e+19
9.192771965891135454e-22, 4.848874831266630042e+19
1.076999586711594898e-21, 4.376772069040889856e+19
1.261782750709730719e-21, 3.995279079111174554e+19
1.478269564475659425e-21, 3.587895141346665677e+19
1.731899492227074708e-21, 3.184241676438376448e+19
2.029045258900605437e-21, 2.900027881314537472e+19
2.377172971725329711e-21, 2.615269545559150592e+19
2.785029714203261248e-21, 2.313275966270119526e+19
3.262863325997498860e-21, 2.091549453316854579e+19
3.822679890934355379e-21, 1.856510959319815373e+19
4.478545402782572019e-21, 1.674496735105956864e+19
5.246939188487060978e-21, 1.515422965389862093e+19
6.147167968996433368e-21, 1.328511659820082790e+19
7.201850961408169007e-21, 1.192838864224506266e+19
8.437488211144998925e-21, 1.062627224323758899e+19
9.885126434120334154e-21, 9.678189898806126592e+18
1.158113909889358002e-20, 8.689066530752474112e+18
1.356814034921921673e-20, 7.749525216752640000e+18
1.589605573027771623e-20, 6.932101931459889152e+18
1.862337662173687523e-20, 6.230377653015727104e+18
2.181862989662507000e-20, 5.571465513863636992e+18
2.556209973277687262e-20, 4.985119892450898944e+18
2.994784483921711958e-20, 4.421608694484245504e+18
3.508606178246820418e-20, 3.916284894235136512e+18
4.110585379389697468e-20, 3.491160371323293184e+18
4.815847462736724022e-20, 3.062155876874287104e+18
5.642112897261175748e-20, 2.701978221953063936e+18
6.610142491380065642e-20, 2.351626784933892096e+18
7.744259030612173168e-20, 2.040508384555163136e+18
9.072958413744709407e-20, 1.771056147830455040e+18
1.062962564296273862e-19, 1.547722713638600960e+18
1.245337365796392977e-19, 1.342380510985703936e+18
1.459002609066893339e-19, 1.164262119485267456e+18
1.709326863329692882e-19, 9.878117119644247040e+17
2.002599794916861493e-19, 8.409813069459457280e+17
2.346190201907295332e-19, 7.140844699902918400e+17
2.748731163110049905e-19, 6.040975853375289600e+17
3.220336953461912371e-19, 5.698272961566539520e+17
3.772857176071966462e-19, 4.925935121840721280e+17
