# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 2.221804904818623600e+16
4.143897244964681628e-25, 2.392423604482305600e+16
4.838564324307219260e-25, 2.277083355488056400e+16
5.649682734992169490e-25, 1.737744099923518600e+16
6.596773932655885372e-25, 1.886889241980046000e+16
7.702631875067320117e-25, 2.045724786286492800e+16
8.993871611864740876e-25, 1.958637394477343200e+16
1.050156983777701776e-24, 2.021222645974465200e+16
1.226201282573591067e-24, 1.553071089869969600e+16
1.431756974063410238e-24, 1.836552176757266000e+16
1.671771235205982412e-24, 1.411173626240632200e+16
1.952020568777308980e-24, 1.393859618670847800e+16
2.279249828377506683e-24, 1.374981307093758600e+16
2.661334549057996954e-24, 1.094534821416396600e+16
3.107470490433956329e-24, 1.082068841932529400e+16
3.628394954078874531e-24, 9.017075530545632000e+15
4.236645201720489617e-24, 1.191577790286309200e+16
4.946860193674237954e-24, 9.720783989966784000e+15
5.776132909553281211e-24, 9.606621054670188000e+15
6.744421730674377979e-24, 8.847446398015787000e+15
7.875030785036159497e-24, 9.186472179152772000e+15
9.195170815492024403e-24, 1.498943578932799400e+16
1.073661406971731716e-23, 1.346106217427085400e+16
1.253645897342513110e-23, 1.103331539695113200e+16
1.463802299047425984e-23, 1.359756019007482800e+16
1.709188515862952929e-23, 1.533435194202030000e+16
1.995710339202826004e-23, 1.414165052675015000e+16
2.330263584757434168e-23, 1.341977391612002800e+16
2.720900056375714993e-23, 1.349235195291695400e+16
3.177021331497144511e-23, 1.194069551949324600e+16
3.709605032032140160e-23, 9.522530930529654000e+15
4.331469026427151886e-23, 9.731379612371906000e+15
5.057579921552993781e-23, 9.841826769944388000e+15
5.905413268993206007e-23, 1.056272082680264200e+16
6.895374154936251738e-23, 9.702108176290970000e+15
8.051288296148122256e-23, 1.088629625956919600e+16
9.400975461394818512e-23, 1.023819240608626600e+16
1.097691901903814394e-22, 1.313401930921466200e+16
1.281704772502877614e-22, 1.190781684508783000e+16
1.496564856684707842e-22, 9.485845770321208000e+15
1.747443263311006971e-22, 8.925764898805734000e+15
2.040377966148069427e-22, 1.001859270176869800e+16
2.382419121782715813e-22, 9.532277351728864000e+15
2.781798748077653061e-22, 7.453674826156547000e+15
3.248128846873889935e-22, 7.297505142884963000e+15
3.792632739224971983e-22, 7.680909266222228000e+15
4.428415180784706451e-22, 8.050167567865486000e+15
5.170777758305154950e-22, 8.234514039172601000e+15
6.037587157996679498e-22, 7.775937678811444000e+15
7.049705168986915043e-22, 6.775951069787081000e+15
8.231490770914376496e-22, 7.097110179802319000e+15
9.611386389565238025e-22, 1.332820776051112800e+16
1.122260243016206653e-21, 1.050512322923514000e+16
1.310391656319376225e-21, 8.071850301782198000e+15
1.530060699946438888e-21, 7.993565467915622000e+15
1.786554221579997443e-21, 9.203436313044638000e+15
2.086045335820364214e-21, 7.905911397387425000e+15
2.435741994580735524e-21, 6.854836782720718000e+15
2.844060463254972146e-21, 6.470029621407778000e+15
3.320827877766432378e-21, 6.135144800582423000e+15
3.877518757505402961e-21, 5.598438474952019000e+15
4.527531166390591196e-21, 5.828710503576679000e+15
5.286509168514232234e-21, 5.102188083963130000e+15
6.172719339017780476e-21, 4.542975153275247000e+15
7.207490391810404495e-21, 4.490288145764805500e+15
8.415726504796120160e-21, 4.532227516571795000e+15
9.826506696977815998e-21, 4.538198425096730000e+15
1.147378468284583961e-20, 4.071580208956348000e+15
1.339720604767883656e-20, 4.360359701601728000e+15
1.564306241098517039e-20, 4.073458519403685500e+15
1.826540554225283020e-20, 3.848246239587847500e+15
2.132734824280151716e-20, 3.581608061252957000e+15
2.490258330249094031e-20, 3.585602381182221500e+15
2.907715708851964547e-20, 3.361756411057339000e+15
3.395154045186442600e-20, 3.396659695273959000e+15
3.964304679255259240e-20, 3.363274724650942500e+15
4.628865548014387372e-20, 3.194868697091658000e+15
5.404830858161902066e-20, 2.821171470776998500e+15
6.310876024011991138e-20, 3.635115860859488500e+15
7.368807134881180046e-20, 3.066594792520392000e+15
8.604085769467593336e-20, 2.931856687683625500e+15
1.004644178810475172e-19, 2.821682077360404000e+15
1.173058885116423403e-19, 2.501151492540354000e+15
1.369705988422578918e-19, 2.281848077398718500e+15
1.599318259743174272e-19, 2.404525840402810000e+15
1.867421853717413878e-19, 2.472887971663614500e+15
2.180469308404809387e-19, 2.203429093943279750e+15
2.545994840657364937e-19, 1.971648321576251750e+15
2.972795674613780767e-19, 1.735853550876187250e+15
3.471143767408655819e-19, 1.558945988568926250e+15
4.053033027769513840e-19, 1.531111618789232500e+15
4.732467977393484649e-19, 1.332291766518440250e+15
5.525800802412904732e-19, 1.299107256005856000e+15
6.452124906878854795e-19, 1.084408336586640500e+15
7.533734440045013057e-19, 1.244322509179412000e+15
8.796660857047170922e-19, 1.513863163243100500e+15
1.027129942656215233e-18, 1.343515896882541000e+15
1.199314076381365808e-18, 1.209794938703966000e+15
1.400362499497209111e-18, 1.144664622191702000e+15
1.635113911040676270e-18, 1.076300888513160750e+15
1.909218151042094247e-18, 9.290644394418812500e+14
2.229272177097818710e-18, 8.324563076300803750e+14
2.602978835535310412e-18, 7.922764489804962500e+14
3.039332248368829520e-18, 7.210887020991575000e+14
3.548834277815029616e-18, 6.553963152797056250e+14
4.143747278091769203e-18, 6.613219453219350000e+14
4.838389217561514039e-18, 5.757642553819035000e+14
5.649478274021606592e-18, 5.621923890592990000e+14
6.596535196630497956e-18, 5.165349933423755000e+14
7.702353118248023089e-18, 4.356154525889160000e+14
8.993546125318797605e-18, 3.928386435948422500e+14
1.050118978791184392e-17, 3.900559640833099375e+14
1.226156906576543473e-17, 3.590340162369403125e+14
1.431705159044002820e-17, 3.635934799166276250e+14
1.671710734114975772e-17, 3.167311476663815000e+14
1.951949925514886663e-17, 2.926196400209221875e+14
2.279167342748857588e-17, 2.775002956953639375e+14
2.661238235854156293e-17, 2.672845472481858125e+14
3.107358031653111131e-17, 2.670120626306933125e+14
3.628263643138282592e-17, 2.414414567351854375e+14
4.236491878316220397e-17, 2.278057338349665938e+14
4.946681167721122281e-17, 2.032101173921568125e+14
5.775923872374348195e-17, 1.793722038947040625e+14
6.744177651302501599e-17, 1.573780134542239375e+14
7.874745789132278381e-17, 1.603134832081978125e+14
9.194838043965264702e-17, 1.575959267337145312e+14
1.073622551364499575e-16, 1.442951050773225625e+14
1.253600528129948575e-16, 1.323288402203541250e+14
1.463749324313652303e-16, 1.277072190237472031e+14
1.709126660647493911e-16, 1.128536311732371875e+14
1.995638114815701302e-16, 9.994841343456457812e+13
2.330179252950391720e-16, 9.014267724071135938e+13
2.720801587507204238e-16, 7.876574251840600000e+13
3.176906355684263719e-16, 7.076873261481917188e+13
3.709470782113892190e-16, 6.721865090596250781e+13
4.331312271366239694e-16, 5.931395307150695312e+13
5.057396888673425339e-16, 5.560660328605015625e+13
5.905199553182014303e-16, 5.113505501317554688e+13
6.895124612624175452e-16, 4.568244113341215625e+13
8.050996921517614587e-16, 4.099121780908492188e+13
9.400635241836067561e-16, 3.789552104413999219e+13
1.097652176637426354e-15, 3.413060005896488281e+13
1.281658387844818299e-15, 3.162455592770092188e+13
1.496510696280042197e-15, 2.978030109079053516e+13
1.747380023663327855e-15, 2.755461743717367188e+13
2.040304125247816402e-15, 2.557716644287856641e+13
2.382332902476464009e-15, 2.298981660063724219e+13
2.781698075296781474e-15, 2.104064509902731250e+13
3.248011297693212803e-15, 1.933251148706246094e+13
3.792495484549381372e-15, 1.723520401264300195e+13
4.428254917260453338e-15, 1.596080842126769727e+13
5.170590628816885501e-15, 1.476720679878289453e+13
6.037368658836964984e-15, 1.366513559196933984e+13
7.049450041464057396e-15, 1.246948741642003711e+13
8.231192874789720272e-15, 1.130497728253295312e+13
9.611038555274013536e-15, 1.028302649180014844e+13
1.122219628626107451e-14, 9.329825070140960938e+12
1.310344233488316355e-14, 8.500153041504134766e+12
1.530005327333422790e-14, 7.699800963527327148e+12
1.786489566513994436e-14, 6.844056891743324219e+12
2.085969842226470568e-14, 6.156187928126958984e+12
2.435653845529604593e-14, 5.509889972125422852e+12
2.843957537234173260e-14, 4.884838106400370117e+12
3.320707697621301066e-14, 4.331737760047104492e+12
3.877378430820567309e-14, 3.878892012166994629e+12
4.527367315877207227e-14, 3.402803550066434082e+12
5.286317850727665526e-14, 2.980708634983828613e+12
6.172495949449466709e-14, 2.634752280897273438e+12
7.207229554069590400e-14, 2.281004633644968262e+12
8.415421941214433446e-14, 1.987201395578104980e+12
