# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 1.167880289717282302e+23
4.143897244964681628e-25, 1.061073707352736724e+23
4.838564324307219260e-25, 9.576547939191125914e+22
5.649682734992169490e-25, 8.600025182247757388e+22
6.596773932655885372e-25, 7.721713498764996300e+22
7.702631875067320117e-25, 6.994363502574264386e+22
8.993871611864740876e-25, 6.353895878452426519e+22
1.050156983777701776e-24, 5.835021294595584557e+22
1.226201282573591067e-24, 5.238169808978618142e+22
1.431756974063410238e-24, 4.726380783024756438e+22
1.671771235205982412e-24, 4.314740593780800776e+22
1.952020568777308980e-24, 3.896237096495161226e+22
2.279249828377506683e-24, 3.549601327236669401e+22
2.661334549057996954e-24, 3.217636650833179312e+22
3.107470490433956329e-24, 2.879637483678446544e+22
3.628394954078874531e-24, 2.586699495223546872e+22
4.236645201720489617e-24, 2.306401415450923421e+22
4.946860193674237954e-24, 2.069814841920244102e+22
5.776132909553281211e-24, 1.832779700227222903e+22
6.744421730674377979e-24, 1.619938681345036780e+22
7.875030785036159497e-24, 1.438232945513349304e+22
9.195170815492024403e-24, 1.267011997157195933e+22
1.073661406971731716e-23, 1.129875472504579949e+22
1.253645897342513110e-23, 9.987295690538400874e+21
1.463802299047425984e-23, 8.838927880645675844e+21
1.709188515862952929e-23, 7.786713451032839455e+21
1.995710339202826004e-23, 6.790959750629987189e+21
2.330263584757434168e-23, 5.966758497660246688e+21
2.720900056375714993e-23, 5.188726239433709322e+21
3.177021331497144511e-23, 4.511846612041797206e+21
3.709605032032140160e-23, 3.920780565007140127e+21
4.331469026427151886e-23, 3.409507337267778683e+21
5.057579921552993781e-23, 2.939535784487826751e+21
5.905413268993206007e-23, 2.526147151184786883e+21
6.895374154936251738e-23, 2.174148860551987724e+21
8.051288296148122256e-23, 1.846537902584137253e+21
9.400975461394818512e-23, 1.574665848908336595e+21
1.097691901903814394e-22, 1.335120111844143923e+21
1.281704772502877614e-22, 1.123886779854369980e+21
1.496564856684707842e-22, 9.481900555889403494e+20
1.747443263311006971e-22, 7.934754417245004759e+20
2.040377966148069427e-22, 6.636511293185979843e+20
2.382419121782715813e-22, 5.543822281502743593e+20
2.781798748077653061e-22, 4.597501632431527035e+20
3.248128846873889935e-22, 3.788132046285746340e+20
3.792632739224971983e-22, 3.120108889933901988e+20
4.428415180784706451e-22, 2.550037594363267973e+20
5.170777758305154950e-22, 2.064411055492857201e+20
6.037587157996679498e-22, 1.666543752274749358e+20
7.049705168986915043e-22, 1.333568561726264771e+20
8.231490770914376496e-22, 1.072605934028168397e+20
9.611386389565238025e-22, 8.584804487569417830e+19
1.122260243016206653e-21, 6.820539273746801459e+19
1.310391656319376225e-21, 5.401521134081315635e+19
1.530060699946438888e-21, 4.281076079848123597e+19
1.786554221579997443e-21, 3.381210448767088230e+19
2.086045335820364214e-21, 2.650497178419170509e+19
2.435741994580735524e-21, 2.080665053847017882e+19
2.844060463254972146e-21, 1.636179762584240947e+19
3.320827877766432378e-21, 1.285850834992588595e+19
3.877518757505402961e-21, 1.002349140676789248e+19
4.527531166390591196e-21, 7.838285676400599040e+18
5.286509168514232234e-21, 6.088007701784684544e+18
6.172719339017780476e-21, 4.723867663200209920e+18
7.207490391810404495e-21, 3.650324395330081280e+18
8.415726504796120160e-21, 2.836601493564455936e+18
9.826506696977815998e-21, 2.188849645322894080e+18
1.147378468284583961e-20, 1.688462837636730880e+18
1.339720604767883656e-20, 1.301973506085521920e+18
1.564306241098517039e-20, 1.008940448089112960e+18
1.826540554225283020e-20, 7.794229049087335680e+17
2.132734824280151716e-20, 6.009764680210081280e+17
2.490258330249094031e-20, 4.636217249473148800e+17
2.907715708851964547e-20, 3.572875768035086720e+17
3.395154045186442600e-20, 2.745333411974028800e+17
3.964304679255259240e-20, 2.120857375319951680e+17
4.628865548014387372e-20, 1.629628622015997760e+17
5.404830858161902066e-20, 1.252177292352411040e+17
6.310876024011991138e-20, 9.621504864975443200e+16
7.368807134881180046e-20, 7.392991106940822400e+16
8.604085769467593336e-20, 5.680641258756520000e+16
1.004644178810475172e-19, 4.364902465578627200e+16
1.173058885116423403e-19, 3.353912466244374000e+16
1.369705988422578918e-19, 2.577085953223776800e+16
1.599318259743174272e-19, 1.980186447066159600e+16
1.867421853717413878e-19, 1.521539613468084600e+16
2.180469308404809387e-19, 1.169123644283106200e+16
2.545994840657364937e-19, 8.983335586684557000e+15
2.972795674613780767e-19, 6.902633323482030000e+15
3.471143767408655819e-19, 5.303859166635489000e+15
4.053033027769513840e-19, 4.075389889802081000e+15
4.732467977393484649e-19, 3.131456215576130500e+15
5.525800802412904732e-19, 2.406154575445197500e+15
6.452124906878854795e-19, 1.848845853931470000e+15
7.533734440045013057e-19, 1.420619866436257000e+15
8.796660857047170922e-19, 1.091578727683106000e+15
1.027129942656215233e-18, 8.387494409161155000e+14
1.199314076381365808e-18, 6.444799690537945000e+14
1.400362499497209111e-18, 4.952068046183489375e+14
1.635113911040676270e-18, 3.805079926703730000e+14
1.909218151042094247e-18, 2.923754906752969375e+14
2.229272177097818710e-18, 2.246560629323599062e+14
2.602978835535310412e-18, 1.726216739142574062e+14
3.039332248368829520e-18, 1.326393862522461875e+14
3.548834277815029616e-18, 1.019177162776855156e+14
4.143747278091769203e-18, 7.831173820004820312e+13
4.838389217561514039e-18, 6.017332966137731250e+13
5.649478274021606592e-18, 4.623610311532209375e+13
6.596535196630497956e-18, 3.552698917094546875e+13
7.702353118248023089e-18, 2.729829882987383984e+13
8.993546125318797605e-18, 2.097552132583501172e+13
1.050118978791184392e-17, 1.611721293098785156e+13
1.226156906576543473e-17, 1.238417623226644141e+13
1.431705159044002820e-17, 9.515778044657548828e+12
1.671710734114975772e-17, 7.311752521677133789e+12
1.951949925514886663e-17, 5.618218992333725586e+12
2.279167342748857588e-17, 4.316938319873992676e+12
2.661238235854156293e-17, 3.317057680194232422e+12
3.107358031653111131e-17, 2.548767399005352051e+12
3.628263643138282592e-17, 1.958426979821119141e+12
4.236491878316220397e-17, 1.504820030526209961e+12
4.946681167721122281e-17, 1.156276617779894775e+12
5.775923872374348195e-17, 8.884621346863964844e+11
6.744177651302501599e-17, 6.826783078649427490e+11
7.874745789132278381e-17, 5.245577203701510010e+11
9.194838043965264702e-17, 4.030607078063037720e+11
1.073622551364499575e-16, 3.097045908851566162e+11
1.253600528129948575e-16, 2.379714315154173889e+11
1.463749324313652303e-16, 1.828529633497556458e+11
1.709126660647493911e-16, 1.405009247929185791e+11
1.995638114815701302e-16, 1.079583809132420807e+11
