# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 5.094940711185086310e+22
4.143897244964681628e-25, 4.630420576780345252e+22
4.838564324307219260e-25, 4.211949548509059246e+22
5.649682734992169490e-25, 3.819791819611892718e+22
6.596773932655885372e-25, 3.478257066361779284e+22
7.702631875067320117e-25, 3.172846386984813750e+22
8.993871611864740876e-25, 2.881099230774958018e+22
1.050156983777701776e-24, 2.621320655840144156e+22
1.226201282573591067e-24, 2.396384996228058422e+22
1.431756974063410238e-24, 2.180497544875674803e+22
1.671771235205982412e-24, 1.990731138617937442e+22
1.952020568777308980e-24, 1.817464251056062149e+22
2.279249828377506683e-24, 1.652749708019450354e+22
2.661334549057996954e-24, 1.493815385347671772e+22
3.107470490433956329e-24, 1.356744535127612824e+22
3.628394954078874531e-24, 1.228155781548033966e+22
4.236645201720489617e-24, 1.112654069406755717e+22
4.946860193674237954e-24, 1.007616629459505696e+22
5.776132909553281211e-24, 9.101788301268726317e+21
6.744421730674377979e-24, 8.251776297407276384e+21
7.875030785036159497e-24, 7.463342568602184188e+21
9.195170815492024403e-24, 6.741738390582089220e+21
1.073661406971731716e-23, 6.070247484973573472e+21
1.253645897342513110e-23, 5.449840059889729143e+21
1.463802299047425984e-23, 4.893595900399804482e+21
1.709188515862952929e-23, 4.390258892499446661e+21
1.995710339202826004e-23, 3.924891808278462333e+21
2.330263584757434168e-23, 3.507396609173702574e+21
2.720900056375714993e-23, 3.123227464321791951e+21
3.177021331497144511e-23, 2.781125784616673214e+21
3.709605032032140160e-23, 2.466640754462514741e+21
4.331469026427151886e-23, 2.189509883214768374e+21
5.057579921552993781e-23, 1.939451297076813234e+21
5.905413268993206007e-23, 1.712719646445834600e+21
6.895374154936251738e-23, 1.510767848065926693e+21
8.051288296148122256e-23, 1.327736418260911915e+21
9.400975461394818512e-23, 1.166075845715572425e+21
1.097691901903814394e-22, 1.019500679972036280e+21
1.281704772502877614e-22, 8.902198566105882296e+20
1.496564856684707842e-22, 7.745940983229875487e+20
1.747443263311006971e-22, 6.726388191390125261e+20
2.040377966148069427e-22, 5.839072191983182152e+20
2.382419121782715813e-22, 5.039521396898891694e+20
2.781798748077653061e-22, 4.349246709206722150e+20
3.248128846873889935e-22, 3.744191636187179254e+20
3.792632739224971983e-22, 3.218071271775120916e+20
4.428415180784706451e-22, 2.760430192514585068e+20
5.170777758305154950e-22, 2.358479582349919519e+20
6.037587157996679498e-22, 2.007454484686254899e+20
7.049705168986915043e-22, 1.708297398365845258e+20
8.231490770914376496e-22, 1.448361757629942006e+20
9.611386389565238025e-22, 1.225760267779151790e+20
1.122260243016206653e-21, 1.034664030606465434e+20
1.310391656319376225e-21, 8.704235925592417894e+19
1.530060699946438888e-21, 7.308956531149740442e+19
1.786554221579997443e-21, 6.124723966129325670e+19
2.086045335820364214e-21, 5.116852167092662272e+19
2.435741994580735524e-21, 4.267356331132070298e+19
2.844060463254972146e-21, 3.543143945142832333e+19
3.320827877766432378e-21, 2.937910293966532608e+19
3.877518757505402961e-21, 2.432353272216130765e+19
4.527531166390591196e-21, 2.014891162058000384e+19
5.286509168514232234e-21, 1.660006623460201062e+19
6.172719339017780476e-21, 1.364209439473724416e+19
7.207490391810404495e-21, 1.119313374717748838e+19
8.415726504796120160e-21, 9.172022712889465856e+18
9.826506696977815998e-21, 7.506898150534885376e+18
1.147378468284583961e-20, 6.138411179951171584e+18
1.339720604767883656e-20, 5.013249645576514560e+18
1.564306241098517039e-20, 4.081667313095331840e+18
1.826540554225283020e-20, 3.322584917388531712e+18
2.132734824280151716e-20, 2.697139238195600384e+18
2.490258330249094031e-20, 2.189366281968718592e+18
2.907715708851964547e-20, 1.775379639369465344e+18
3.395154045186442600e-20, 1.436598205837823232e+18
3.964304679255259240e-20, 1.162048547621464576e+18
4.628865548014387372e-20, 9.360721973799028480e+17
5.404830858161902066e-20, 7.555268041852515840e+17
6.310876024011991138e-20, 6.085862265931023360e+17
7.368807134881180046e-20, 4.901776485514627840e+17
8.604085769467593336e-20, 3.938152134628542720e+17
1.004644178810475172e-19, 3.150764023212642560e+17
1.173058885116423403e-19, 2.522156693523558400e+17
1.369705988422578918e-19, 2.009560123729933440e+17
1.599318259743174272e-19, 1.602957321770247040e+17
1.867421853717413878e-19, 1.273936093087746880e+17
2.180469308404809387e-19, 1.008357715954005920e+17
2.545994840657364937e-19, 7.980107787279456000e+16
2.972795674613780767e-19, 6.284901770076293600e+16
3.471143767408655819e-19, 4.959181278609933600e+16
4.053033027769513840e-19, 3.810545606429277600e+16
4.732467977393484649e-19, 2.927954636646735200e+16
5.525800802412904732e-19, 2.249787626159434000e+16
6.452124906878854795e-19, 1.728696305424010800e+16
7.533734440045013057e-19, 1.328299116609494000e+16
8.796660857047170922e-19, 1.020641125713978400e+16
1.027129942656215233e-18, 7.842422647676544000e+15
1.199314076381365808e-18, 6.025976362824189000e+15
1.400362499497209111e-18, 4.630251741925112000e+15
1.635113911040676270e-18, 3.557802072683665500e+15
1.909218151042094247e-18, 2.733751055861465000e+15
2.229272177097818710e-18, 2.100565091241045500e+15
2.602978835535310412e-18, 1.614036396283983750e+15
3.039332248368829520e-18, 1.240196506831518000e+15
3.548834277815029616e-18, 9.529446666124226250e+14
4.143747278091769203e-18, 7.322255244412808750e+14
4.838389217561514039e-18, 5.626289095559719375e+14
5.649478274021606592e-18, 4.323139241966527500e+14
6.596535196630497956e-18, 3.321822357151612500e+14
7.702353118248023089e-18, 2.552428491165081875e+14
8.993546125318797605e-18, 1.961240097167183750e+14
1.050118978791184392e-17, 1.506981579327330625e+14
1.226156906576543473e-17, 1.157937512959937188e+14
1.431705159044002820e-17, 8.897383367605453125e+13
1.671710734114975772e-17, 6.836589185873867969e+13
1.951949925514886663e-17, 5.253112040394050781e+13
2.279167342748857588e-17, 4.036396711674275000e+13
2.661238235854156293e-17, 3.101494559552151172e+13
3.107358031653111131e-17, 2.383132578400865625e+13
3.628263643138282592e-17, 1.831156165900711719e+13
4.236491878316220397e-17, 1.407027428649057031e+13
4.946681167721122281e-17, 1.081134543210883594e+13
5.775923872374348195e-17, 8.307243176103225586e+12
6.744177651302501599e-17, 6.383136087934584961e+12
7.874745789132278381e-17, 4.904686844155841797e+12
9.194838043965264702e-17, 3.768673064125349121e+12
1.073622551364499575e-16, 2.895780529018671875e+12
1.253600528129948575e-16, 2.225065621121988770e+12
1.463749324313652303e-16, 1.709700361848320801e+12
1.709126660647493911e-16, 1.313702975567765137e+12
1.995638114815701302e-16, 1.009425713722275269e+12
2.330179252950391720e-16, 7.756245441060001221e+11
2.720801587507204238e-16, 5.959759348764190674e+11
3.176906355684263719e-16, 4.579371780415366211e+11
3.709470782113892190e-16, 3.518706826256224365e+11
4.331312271366239694e-16, 2.703710972301566467e+11
5.057396888673425339e-16, 2.077482831812540588e+11
5.905199553182014303e-16, 1.596300403657116089e+11
6.895124612624175452e-16, 1.226568489370583344e+11
8.050996921517614587e-16, 9.424731432896594238e+10
9.400635241836067561e-16, 7.241793944022042847e+10
1.097652176637426354e-15, 5.564464080585637665e+10
1.281658387844818299e-15, 4.275634013061198425e+10
1.496510696280042197e-15, 3.285320194167763519e+10
1.747380023663327855e-15, 2.524380885979855728e+10
2.040304125247816402e-15, 1.939688822042121887e+10
2.382332902476464009e-15, 1.490421967194981766e+10
2.781698075296781474e-15, 1.145213404899128151e+10
3.248011297693212803e-15, 8.799613609856807709e+09
3.792495484549381372e-15, 6.761464662397044182e+09
4.428254917260453338e-15, 5.195387706780145645e+09
5.170590628816885501e-15, 3.992042371244362354e+09
6.037368658836964984e-15, 3.067413481114588261e+09
7.049450041464057396e-15, 2.356945289781689644e+09
8.231192874789720272e-15, 1.811034323389524460e+09
9.611038555274013536e-15, 1.391566165969320774e+09
1.122219628626107451e-14, 1.069254386178325891e+09
1.310344233488316355e-14, 8.215958177511833906e+08
1.530005327333422790e-14, 6.312994328845809698e+08
1.786489566513994436e-14, 4.850791171058873534e+08
2.085969842226470568e-14, 3.727260591430320144e+08
2.435653845529604593e-14, 2.863959923302986622e+08
2.843957537234173260e-14, 2.200615234070548713e+08
3.320707697621301066e-14, 1.690913118636714518e+08
3.877378430820567309e-14, 1.299267190733439922e+08
4.527367315877207227e-14, 9.983335115034103394e+07
5.286317850727665526e-14, 7.671014910120432079e+07
6.172495949449466709e-14, 5.894269703790156543e+07
7.207229554069590400e-14, 4.529050682066065073e+07
8.415421941214433446e-14, 3.480040967136535794e+07
9.826151077522554733e-14, 2.674000794303582609e+07
1.147336944870571982e-13, 2.054654039078197256e+07
1.339672120527618000e-13, 1.578759147434175014e+07
1.564249629145710343e-13, 1.213090081203600392e+07
1.826474452061308525e-13, 9.321165555686518550e+06
2.132657641002332364e-13, 7.162215622077631764e+06
2.490168208261894248e-13, 5.503317360377360135e+06
2.907610479159630927e-13, 4.228649830758869648e+06
3.395031175191101639e-13, 3.249218258915824350e+06
3.964161211804007018e-13, 2.496640684736290947e+06
4.628698030228503768e-13, 1.918373651355352718e+06
5.404635258335326130e-13, 1.474043676858219085e+06
6.310647634578878334e-13, 1.132628529421077576e+06
7.368540459117346958e-13, 8.702912862304847222e+05
8.603774389199028282e-13, 6.687160754567494150e+05
1.004607820923932483e-12, 5.138293227270814823e+05
1.173016432332888215e-12, 3.948171446270938613e+05
1.369656419016833193e-12, 3.033703330898191198e+05
1.599260380711907916e-12, 2.331042525477320305e+05
1.867354272066798725e-12, 1.791130633612449456e+05
2.180390397624856683e-12, 1.376272093736463285e+05
2.545902701576178349e-12, 1.057502336183955194e+05
2.972688089689554387e-12, 8.125654056527657667e+04
3.471018147359357998e-12, 6.243603172216009261e+04
4.052886349255764866e-12, 4.797469406869779050e+04
4.732296710254901824e-12, 3.686286565313336905e+04
5.525600824706499793e-12, 2.832473873040859689e+04
6.451891405674874902e-12, 2.176419866275029563e+04
7.533461795592588149e-12, 1.672319785562031029e+04
8.796342507521895701e-12, 1.284978569365378098e+04
1.027092771014048268e-11, 9.873526960441482515e+03
1.199270673427324702e-11, 7.586625341940630278e+03
1.400311820638017854e-11, 5.829412550606293735e+03
1.635054736571430363e-11, 4.479203297783172275e+03
1.909149056791221305e-11, 3.441727451369976279e+03
2.229191500151088592e-11, 2.644551062657359580e+03
2.602884634213915806e-11, 2.032016037513368474e+03
3.039222255498335907e-11, 1.561355947006686165e+03
3.548705846160559437e-11, 1.199710018711105931e+03
4.143597316646138997e-11, 9.218286184200335356e+02
4.838214117152900590e-11, 7.083101611893571317e+02
5.649273820450414145e-11, 5.442469116262238913e+02
6.596296469244882950e-11, 4.181842777852305062e+02
7.702074371516900180e-11, 3.213205221830736491e+02
8.993220650552190613e-11, 2.468924804739225749e+02
1.050080975180062726e-10, 1.897037735853108416e+02
1.226112532185457416e-10, 1.457612912135237480e+02
1.431653345899774112e-10, 1.119970666223796769e+02
1.671650235213482158e-10, 8.605352707406638046e+01
1.951879284809018891e-10, 6.611915314386678233e+01
2.279084860105338701e-10, 5.080226536851499475e+01
2.661141926135866703e-10, 3.903322733493975960e+01
3.107245576942134500e-10, 2.999031599615742394e+01
3.628132336949815997e-10, 2.304213224132526250e+01
4.236338560460705138e-10, 1.770350828141464561e+01
4.946502148246891704e-10, 1.360153382561967206e+01
5.775714842760397404e-10, 1.044979392299127063e+01
6.743933580763869986e-10, 8.028196454284222128e+00
7.874460803542362888e-10, 6.167594488121091345e+00
9.194505284481391166e-10, 4.738060467492075212e+00
1.073583697163442448e-09, 3.639717955014444062e+00
1.253555160559284636e-09, 2.795871741462934157e+00
1.463696351497021232e-09, 2.147560612056713669e+00
1.709064807670563662e-09, 1.649490579685066516e+00
1.995565893042375731e-09, 1.266862473589611904e+00
2.330094924195305965e-09, 9.729161141396028833e-01
2.720703122202257710e-09, 7.471087962079544509e-01
3.176791384032336837e-09, 5.736616342297328197e-01
3.709336537054124696e-09, 4.404299943008707086e-01
4.331155521978282322e-09, 3.381036905982844343e-01
5.057213862417803832e-09, 2.595140279744027056e-01
5.904985845105158122e-09, 1.991632298464246498e-01
6.894875079342960596e-09, 1.528175336567888787e-01
8.050705557431865460e-09, 1.172356034164782623e-01
9.400295034589802586e-09, 8.991818469432591443e-02
1.097612452808688640e-08, 6.894922501918435143e-02
1.281612004865416702e-08, 5.285647490608770538e-02
1.496456537835437654e-08, 4.050786315853924235e-02
1.747316786304279705e-08, 3.103583296283613305e-02
2.040230287019851416e-08, 2.376947295068835772e-02
2.382246686290472952e-08, 1.819781474631133877e-02
2.781597406159238859e-08, 1.392580381722547181e-02
3.247893752766619457e-08, 1.065147856949935461e-02
3.792358234841027568e-08, 8.143914036462761991e-03
4.428094659536107595e-08, 6.223079595918195282e-03
5.170403506100775866e-08, 4.752335097484282692e-03
6.037150167584694934e-08, 3.626649604943576154e-03
7.049194923174215987e-08, 2.765816551946816745e-03
8.230894989445869222e-08, 2.107949965476579347e-03
9.610690733570848061e-08, 1.605385281259561186e-03
1.122179015705835130e-07, 1.221649666862940301e-03
1.310296812373474564e-07, 9.288021200302568406e-04
