# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 0.000000000000000000e+00
4.143897244964681628e-25, 0.000000000000000000e+00
4.838564324307219260e-25, 0.000000000000000000e+00
5.649682734992169490e-25, 0.000000000000000000e+00
6.596773932655885372e-25, 0.000000000000000000e+00
7.702631875067320117e-25, 0.000000000000000000e+00
8.993871611864740876e-25, 0.000000000000000000e+00
1.050156983777701776e-24, 0.000000000000000000e+00
1.226201282573591067e-24, 0.000000000000000000e+00
1.431756974063410238e-24, 0.000000000000000000e+00
1.671771235205982412e-24, 0.000000000000000000e+00
1.952020568777308980e-24, 0.000000000000000000e+00
2.279249828377506683e-24, 0.000000000000000000e+00
2.661334549057996954e-24, 0.000000000000000000e+00
3.107470490433956329e-24, 0.000000000000000000e+00
3.628394954078874531e-24, 0.000000000000000000e+00
4.236645201720489617e-24, 0.000000000000000000e+00
4.946860193674237954e-24, 0.000000000000000000e+00
5.776132909553281211e-24, 0.000000000000000000e+00
6.744421730674377979e-24, 0.000000000000000000e+00
7.875030785036159497e-24, 0.000000000000000000e+00
9.195170815492024403e-24, 0.000000000000000000e+00
1.073661406971731716e-23, 0.000000000000000000e+00
1.253645897342513110e-23, 0.000000000000000000e+00
1.463802299047425984e-23, 0.000000000000000000e+00
1.709188515862952929e-23, 0.000000000000000000e+00
1.995710339202826004e-23, 0.000000000000000000e+00
2.330263584757434168e-23, 0.000000000000000000e+00
2.720900056375714993e-23, 0.000000000000000000e+00
3.177021331497144511e-23, 0.000000000000000000e+00
3.709605032032140160e-23, 0.000000000000000000e+00
4.331469026427151886e-23, 0.000000000000000000e+00
5.057579921552993781e-23, 0.000000000000000000e+00
5.905413268993206007e-23, 0.000000000000000000e+00
6.895374154936251738e-23, 0.000000000000000000e+00
8.051288296148122256e-23, 0.000000000000000000e+00
9.400975461394818512e-23, 0.000000000000000000e+00
1.097691901903814394e-22, 0.000000000000000000e+00
1.281704772502877614e-22, 0.000000000000000000e+00
1.496564856684707842e-22, 0.000000000000000000e+00
1.747443263311006971e-22, 0.000000000000000000e+00
2.040377966148069427e-22, 3.306892266251822266e+12
2.382419121782715813e-22, 3.057491906909140137e+12
2.781798748077653061e-22, 5.978053634585495117e+12
3.248128846873889935e-22, 4.619945753599739258e+12
3.792632739224971983e-22, 3.549883136809995117e+12
4.428415180784706451e-22, 2.755506758213581055e+12
5.170777758305154950e-22, 3.898601303390063477e+12
6.037587157996679498e-22, 3.047362157663587891e+12
7.049705168986915043e-22, 2.887501834892350098e+12
8.231490770914376496e-22, 2.537005437503083008e+12
9.611386389565238025e-22, 1.086696871787260547e+13
1.122260243016206653e-21, 8.581015786409061523e+12
1.310391656319376225e-21, 6.650781732499008789e+12
1.530060699946438888e-21, 7.637626550900766602e+12
1.786554221579997443e-21, 6.769745895473606445e+12
2.086045335820364214e-21, 1.657503164524821680e+13
2.435741994580735524e-21, 1.280305354407266992e+13
2.844060463254972146e-21, 9.885978138871332031e+12
3.320827877766432378e-21, 2.200717106515420312e+13
3.877518757505402961e-21, 1.767670634917173438e+13
4.527531166390591196e-21, 1.593894029750656641e+13
5.286509168514232234e-21, 1.306763540258887695e+13
6.172719339017780476e-21, 1.164787421957811914e+13
7.207490391810404495e-21, 9.143935413832533203e+12
8.415726504796120160e-21, 7.592525597424803711e+12
9.826506696977815998e-21, 7.169563998401892578e+12
1.147378468284583961e-20, 6.423049472720916992e+12
1.339720604767883656e-20, 2.526096931404647266e+13
1.564306241098517039e-20, 2.909545031343080078e+13
1.826540554225283020e-20, 2.311367963341817578e+13
2.132734824280151716e-20, 9.031300808964008750e+14
2.490258330249094031e-20, 6.957726454942438750e+14
2.907715708851964547e-20, 5.351782342760666875e+14
3.395154045186442600e-20, 5.145149943465108750e+14
3.964304679255259240e-20, 3.971099758738746875e+14
4.628865548014387372e-20, 3.098601353057087500e+14
5.404830858161902066e-20, 3.657113928853538125e+14
6.310876024011991138e-20, 2.823517665876700000e+14
7.368807134881180046e-20, 2.325280698372744688e+14
8.604085769467593336e-20, 2.125733588337129688e+14
1.004644178810475172e-19, 2.095824744639770938e+14
1.173058885116423403e-19, 4.441968948325983750e+14
1.369705988422578918e-19, 3.548973003061415000e+14
1.599318259743174272e-19, 2.870825914489621250e+14
1.867421853717413878e-19, 2.281697795541629062e+14
2.180469308404809387e-19, 2.520337723292205938e+14
2.545994840657364937e-19, 3.066974448244471250e+14
2.972795674613780767e-19, 2.821795160545930000e+14
3.471143767408655819e-19, 2.433072690128328750e+14
4.053033027769513840e-19, 2.730626810157719062e+14
4.732467977393484649e-19, 2.525818990234337812e+14
5.525800802412904732e-19, 2.248193519430880312e+14
6.452124906878854795e-19, 4.982305323237440000e+14
7.533734440045013057e-19, 4.678338666902801250e+14
8.796660857047170922e-19, 3.794689218952372500e+14
1.027129942656215233e-18, 3.588828588541768125e+14
1.199314076381365808e-18, 3.240399864860888750e+14
1.400362499497209111e-18, 3.451203023183449375e+14
1.635113911040676270e-18, 2.971138307874785000e+14
1.909218151042094247e-18, 2.651352823055834688e+14
2.229272177097818710e-18, 2.859835759485690625e+14
2.602978835535310412e-18, 2.874243935440896250e+14
3.039332248368829520e-18, 2.688367972263306562e+14
3.548834277815029616e-18, 2.423031547210958125e+14
4.143747278091769203e-18, 2.344074854172485312e+14
4.838389217561514039e-18, 2.318676264675735938e+14
5.649478274021606592e-18, 2.283949871679625312e+14
6.596535196630497956e-18, 2.170434511582943750e+14
7.702353118248023089e-18, 2.223862397409711562e+14
8.993546125318797605e-18, 2.536218641035822500e+14
1.050118978791184392e-17, 2.498747859601095625e+14
1.226156906576543473e-17, 2.437154981089208750e+14
1.431705159044002820e-17, 2.317463500862937812e+14
1.671710734114975772e-17, 2.450983474196783438e+14
1.951949925514886663e-17, 2.868237726004526875e+14
2.279167342748857588e-17, 3.009128081661574375e+14
2.661238235854156293e-17, 2.980136071559294375e+14
3.107358031653111131e-17, 3.171130111166303125e+14
3.628263643138282592e-17, 3.303410442884551875e+14
4.236491878316220397e-17, 3.621330263962790625e+14
4.946681167721122281e-17, 3.996654810805435000e+14
5.775923872374348195e-17, 4.285917549909013125e+14
6.744177651302501599e-17, 4.806435362441065000e+14
7.874745789132278381e-17, 5.128415225869265625e+14
9.194838043965264702e-17, 5.404004533478001250e+14
1.073622551364499575e-16, 5.678600654316381250e+14
1.253600528129948575e-16, 5.749745382757611250e+14
1.463749324313652303e-16, 5.817371117627562500e+14
1.709126660647493911e-16, 5.864006101052140000e+14
1.995638114815701302e-16, 5.870711785892956250e+14
2.330179252950391720e-16, 5.752590488897836250e+14
2.720801587507204238e-16, 5.493888489893734375e+14
3.176906355684263719e-16, 5.269376602762338125e+14
3.709470782113892190e-16, 5.065414439862254375e+14
4.331312271366239694e-16, 4.736311492948067500e+14
5.057396888673425339e-16, 4.376012585963737500e+14
5.905199553182014303e-16, 3.994451700749797500e+14
6.895124612624175452e-16, 3.590861968384100000e+14
8.050996921517614587e-16, 3.169499171479206875e+14
9.400635241836067561e-16, 2.762995657206963750e+14
1.097652176637426354e-15, 2.374463818637835312e+14
1.281658387844818299e-15, 2.006126215094873750e+14
1.496510696280042197e-15, 1.683840674656532812e+14
1.747380023663327855e-15, 1.386690362667845469e+14
2.040304125247816402e-15, 1.132784479681616719e+14
2.382332902476464009e-15, 9.164784937071232812e+13
2.781698075296781474e-15, 7.343747278757270312e+13
3.248011297693212803e-15, 5.841009798285357812e+13
3.792495484549381372e-15, 4.612118743274506250e+13
4.428254917260453338e-15, 3.624390067580904688e+13
5.170590628816885501e-15, 2.832352373550556250e+13
6.037368658836964984e-15, 2.204558005820433594e+13
7.049450041464057396e-15, 1.712972389512909375e+13
8.231192874789720272e-15, 1.327742249916590039e+13
9.611038555274013536e-15, 1.027077030909735156e+13
1.122219628626107451e-14, 7.932521622701567383e+12
1.310344233488316355e-14, 6.121525961586912109e+12
