# M_f [M_sun], P(M_f) [M_sun^-1]
3.355426787857400234e-25, 6.596210264208865178e+22
3.911652505143758048e-25, 5.987525790512539343e+22
4.560083199063886726e-25, 5.400871526205080627e+22
5.316003595677380045e-25, 4.822080385728922832e+22
6.197232154680015557e-25, 4.377377332475509028e+22
7.224541083875303900e-25, 3.969778334325395790e+22
8.422145979021678346e-25, 3.710632742072807850e+22
9.818276630783892592e-25, 3.383315285393421212e+22
1.144584245377741764e-24, 3.121315417863788639e+22
1.334320822311494521e-24, 2.899479089222809498e+22
1.555509840401867446e-24, 2.681501827024819533e+22
1.813365139124089360e-24, 2.415059053312838782e+22
2.113964850869085172e-24, 2.185171485666298770e+22
2.464394673909162856e-24, 1.990893330075763081e+22
2.872914895578817388e-24, 1.812759559178563879e+22
3.349155102719898938e-24, 1.661096746982591116e+22
3.904341169081111135e-24, 1.529429181658858678e+22
4.551559870189927640e-24, 1.386566848269602783e+22
5.306067363165150690e-24, 1.254780957442274073e+22
6.185648802917218596e-24, 1.138035432762672100e+22
7.211037571563583870e-24, 1.038753201827066203e+22
8.406404003081794177e-24, 9.435105378052668916e+21
9.799925123355945559e-24, 8.470611909856019350e+21
1.142444883545635492e-23, 7.622214238698085548e+21
1.331826820624366865e-23, 6.884462159477313896e+21
1.552602410568330836e-23, 6.202882579661044318e+21
1.809975747576928262e-23, 5.575766513724791194e+21
2.110013603300706197e-23, 4.980985063162918207e+21
2.459788432013121776e-23, 4.463653481031101055e+21
2.867545081605480075e-23, 3.970446327655823835e+21
3.342895140095494358e-23, 3.508700220039959675e+21
3.897043498760775480e-23, 3.105359704494198751e+21
4.543052472414611801e-23, 2.755682058778416513e+21
5.296149702633689900e-23, 2.429798644253141762e+21
6.174087101793673643e-23, 2.130873365115915993e+21
7.197559298895767048e-23, 1.861055654726740476e+21
8.390691450736218015e-23, 1.628503549955679191e+21
9.781607917041964598e-23, 1.426929990929761698e+21
1.140309520431035390e-22, 1.240023088419783311e+21
1.329337480518106140e-22, 1.076468804118259565e+21
1.549700415061211373e-22, 9.316888564642414592e+20
1.806592691198997314e-22, 8.035142162133212201e+20
2.106069741076194141e-22, 6.903698388224241828e+20
2.455190799721978298e-22, 5.926839555293596877e+20
2.862185304442568804e-22, 5.056298307262712381e+20
3.336646878073451126e-22, 4.326368478615538237e+20
3.889759468639831932e-22, 3.679599714381230244e+20
4.534560975960776476e-22, 3.093844386431694275e+20
5.286250579369789952e-22, 2.607285154398643814e+20
6.162547010841906233e-22, 2.197254453594764083e+20
7.184106218696126315e-22, 1.835315004823912448e+20
8.375008266988809979e-22, 1.531079764094874092e+20
9.763324947728996466e-22, 1.263915418370146632e+20
1.138178148559852146e-21, 1.040473578316032737e+20
1.326852793279672222e-21, 8.523139975276275302e+19
1.546803843723141989e-21, 6.982351511350891315e+19
1.803215958149154218e-21, 5.666914357441911194e+19
2.102133250391486635e-21, 4.573217372519713997e+19
2.450601760943344245e-21, 3.664449413946230374e+19
2.856835545330063135e-21, 2.931574196811913216e+19
3.330410294783934036e-21, 2.338056220649728000e+19
3.882489053223168623e-21, 1.857222799728736666e+19
4.526085351107068555e-21, 1.469359273612440781e+19
5.276369958725133131e-21, 1.163178787722505011e+19
6.151028489669875711e-21, 9.168351575663456256e+18
7.170678283876874558e-21, 7.199602037284072448e+18
8.359354396946227458e-21, 5.647801187204683776e+18
9.745076151424240088e-21, 4.420268955157283840e+18
1.136050760472003545e-20, 3.464552764712580096e+18
1.324372750212316441e-20, 2.702769695793337344e+18
1.543912686415697727e-20, 2.106759664538928128e+18
1.799845536608330213e-20, 1.638517477195520768e+18
2.098204117468286909e-20, 1.276250350857104896e+18
2.446021299614948793e-20, 9.930059359946563840e+17
2.851495785543101578e-20, 7.701575433564791040e+17
3.324185368398067586e-20, 5.957917204050999040e+17
3.875232227063295273e-20, 4.618590796366538880e+17
4.517625568187534888e-20, 3.582744025986417920e+17
5.266507806116157543e-20, 2.769191607249068800e+17
6.139531497961241988e-20, 2.141088830384901440e+17
7.157275447438468443e-20, 1.652345705379215680e+17
8.343729785817758715e-20, 1.277145778061547040e+17
9.726861464254266209e-20, 9.861996526337742400e+16
1.133927348721318637e-19, 7.594419883916652800e+16
1.321897342635523437e-19, 5.848195086907183200e+16
1.541026933019428484e-19, 4.503463490730866400e+16
1.796481414779605106e-19, 3.467918819060860000e+16
2.094282328554104639e-19, 2.670475715548246800e+16
2.441449399704524831e-19, 2.056390916841744000e+16
2.846166006391730325e-19, 1.583507494067607000e+16
3.317972077127720990e-19, 1.219360056714876200e+16
3.867988964760348480e-19, 9.389470468313588000e+15
4.509181597591821492e-19, 7.230153705147731000e+15
5.256664087023966689e-19, 5.567384157649216000e+15
6.128055995474868387e-19, 4.286986113531892000e+15
7.143897662469015009e-19, 3.301035996522485500e+15
8.328134378914969703e-19, 2.541824609450808500e+15
9.708680822465035426e-19, 1.957212482174933750e+15
1.131807905875562876e-18, 1.507049329487607250e+15
1.319426561885035469e-18, 1.160417017635897000e+15
1.538146573433785306e-18, 8.935067137091106250e+14
1.793123580888051368e-18, 6.879842900709116250e+14
2.090367869922119062e-18, 5.297319485340162500e+14
2.436886045209810308e-18, 4.078784268919360000e+14
2.840846189221018720e-18, 3.140525017019681875e+14
3.311770399225516642e-18, 2.418080202883519688e+14
3.860759240961861678e-18, 1.861812560314781875e+14
4.500753409764791366e-18, 1.433501213327403438e+14
5.246838766994097329e-18, 1.103714713096812969e+14
6.116601942044836815e-18, 8.497915938576979688e+13
7.130544882144415247e-18, 6.542816275611613281e+13
8.312568121651848918e-18, 5.037484344018241406e+13
9.690534162421824033e-18, 3.878460396297939844e+13
1.129692424516384167e-17, 2.986080568158847266e+13
1.316960399312767720e-17, 2.299006754396321875e+13
1.535271597577124804e-17, 1.770009203531587500e+13
1.789772023180807986e-17, 1.362722466205001758e+13
2.086460727871183662e-17, 1.049145206488036328e+13
2.432331220158403752e-17, 8.077186466816449219e+12
2.835536315410825541e-17, 6.218435653753353516e+12
3.305580312984669861e-17, 4.787387243699845703e+12
3.853543030362754872e-17, 3.685633117906104492e+12
4.492340975206621965e-17, 2.837408933731619141e+12
5.237031811636613227e-17, 2.184378993911505859e+12
6.105169297580401090e-17, 1.681629200439230469e+12
7.117217059728034926e-17, 1.294579074227054688e+12
8.297030959544278084e-17, 9.966049269693306885e+11
9.672421420608857528e-17, 7.672088029800292969e+11
1.127580897239314514e-16, 5.906088297114638672e+11
1.314498846286807483e-16, 4.546554758704319458e+11
1.532401995386608697e-16, 3.499940811786087646e+11
1.786426729926930790e-16, 2.694231521580421753e+11
2.082560888725732025e-16, 2.073981831439605408e+11
2.427784908607758797e-16, 1.596506126780007019e+11
2.830236366375858989e-16, 1.228944207051232452e+11
3.299401796739057673e-16, 9.459961969946487427e+10
3.846340307705324759e-16, 7.281855604318373108e+10
4.483944264472611447e-16, 5.605192809472061157e+10
5.227243186625783884e-16, 4.314539153604395294e+10
6.093758022065750218e-16, 3.321037825079891586e+10
7.103914148570712565e-16, 2.556281625847306824e+10
8.281522838210022540e-16, 1.967609599778229523e+10
9.654342533628874298e-16, 1.514483115059152031e+10
1.125473316653697713e-15, 1.165695928867491531e+10
1.312041894191368240e-15, 8.972249460323888779e+09
1.529537756818232692e-15, 6.905777909341634750e+09
1.783087689417430532e-15, 5.315192004168423653e+09
2.078668338835796133e-15, 4.090914260051599503e+09
2.423247094645175308e-15, 3.148595067087208748e+09
2.824946323565552047e-15, 2.423306155927033901e+09
3.293234828862978084e-15, 1.865067755937521458e+09
3.839151047779015648e-15, 1.435409493214844704e+09
4.475563248173091922e-15, 1.104718761472498417e+09
5.217472857700026563e-15, 8.502026212682371140e+08
6.082368075559743966e-15, 6.543164233893659115e+08
7.090636102110302607e-15, 5.035560091607517004e+08
8.266043703368446947e-15, 3.875274565369210243e+08
9.636297438203272734e-15, 2.982300777974991202e+08
1.123369675382710986e-14, 2.295064946492344737e+08
1.309589534426777824e-14, 1.766171817372863889e+08
1.526678871846762661e-14, 1.359142477368331850e+08
1.779754889965197355e-14, 1.045903683177466840e+08
2.074783064576904948e-14, 8.048447342357403040e+07
2.418717762387663204e-14, 6.193369643634796143e+07
2.819666168464013410e-14, 4.765799427754323184e+07
3.287079387771191714e-14, 3.667233951681912690e+07
3.831975225420416783e-14, 2.821859169971064851e+07
4.467197896973330425e-14, 2.171330681208565831e+07
5.207720790661838996e-14, 1.670746060555894114e+07
6.070999418196005931e-14, 1.285548893995629996e+07
7.077382873871806902e-14, 9.891458127593412995e+06
8.250593500840439774e-14, 7.610722371797506697e+06
9.618286071171705142e-14, 5.855776760616799816e+06
1.121269966063314502e-13, 4.505437756687383167e+06
1.307141758409427818e-13, 3.466431774863020517e+06
1.523825330465693699e-13, 2.666991050682618283e+06
1.776428319904964434e-13, 2.051889618480080506e+06
2.070905052350044483e-13, 1.578626048071631463e+06
2.414196895981914013e-13, 1.214500341543641640e+06
2.814395882589958426e-13, 9.343487235186113976e+05
3.280935451918776345e-13, 7.188087497208007844e+05
3.824812815513124879e-13, 5.529811856481733266e+05
4.458848181593423731e-13, 4.254027906434279284e+05
5.197986951377594796e-13, 3.272523898547790013e+05
6.059652010182616037e-13, 2.517432769363951811e+05
7.064154417467067175e-13, 1.936536106238365755e+05
8.235172176548091519e-13, 1.489653839060666505e+05
9.600308369491819029e-13, 1.145876323820971884e+05
1.119174181346230586e-12, 8.814182190274655295e+04
1.304698557571760765e-12, 6.779824649781835615e+04
1.520977122687233506e-12, 5.214910544198902062e+04
1.773107967593269847e-12, 4.011135888019275444e+04
2.067034288581631930e-12, 3.085173254849226214e+04
2.409684479604264646e-12, 2.372920816241750435e+04
2.809135447496646608e-12, 1.825066271504085307e+04
3.274802999801101691e-12, 1.403670998488327677e+04
3.817663792987708718e-12, 1.079551079144825053e+04
4.450514072808195253e-12, 8.302565850926373969e+03
5.188271305777502773e-12, 6.385172111973229221e+03
6.048325811802063474e-12, 4.910474507204735346e+03
7.050950686594628962e-12, 3.776283942899068279e+03
8.219779676514615920e-12, 2.903998682285530776e+03
9.582364270239151906e-12, 2.233149567965149345e+03
