# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 4.712180168264312800e+16
4.143897244964681628e-25, 3.993784557190596800e+16
4.838564324307219260e-25, 1.781978294043327744e+18
5.649682734992169490e-25, 1.375719922344705280e+18
6.596773932655885372e-25, 1.067802718271829760e+18
7.702631875067320117e-25, 8.254384245975193600e+17
8.993871611864740876e-25, 6.506713771266478080e+17
1.050156983777701776e-24, 5.088734446094812160e+17
1.226201282573591067e-24, 3.952299004699968000e+17
1.431756974063410238e-24, 3.091402333785281920e+17
1.671771235205982412e-24, 2.426571587961362240e+17
1.952020568777308980e-24, 4.003267520012694528e+18
2.279249828377506683e-24, 3.079344878982305792e+18
2.661334549057996954e-24, 2.375251655060458496e+18
3.107470490433956329e-24, 1.829093846925481216e+18
3.628394954078874531e-24, 1.410080070687503616e+18
4.236645201720489617e-24, 1.091346921091186560e+18
4.946860193674237954e-24, 8.413220760255585280e+17
5.776132909553281211e-24, 6.502246146124408320e+17
6.744421730674377979e-24, 5.029507404836446720e+17
7.875030785036159497e-24, 3.899397365037632640e+17
9.195170815492024403e-24, 3.040750137619536640e+17
1.073661406971731716e-23, 2.399181311497467520e+17
1.253645897342513110e-23, 1.940917960854768000e+17
1.463802299047425984e-23, 1.530914870186989120e+17
1.709188515862952929e-23, 1.255222203025181760e+17
1.995710339202826004e-23, 9.949560620374856000e+16
2.330263584757434168e-23, 8.248348962227721600e+16
2.720900056375714993e-23, 6.772560846823660800e+16
3.177021331497144511e-23, 5.438405522008736800e+16
3.709605032032140160e-23, 4.602051436235256800e+16
4.331469026427151886e-23, 3.848871582404521600e+16
5.057579921552993781e-23, 3.215762952142798000e+16
5.905413268993206007e-23, 2.696599063429168400e+16
6.895374154936251738e-23, 2.343032946350288800e+16
8.051288296148122256e-23, 2.063743514782322000e+16
9.400975461394818512e-23, 2.047281785555447600e+16
1.097691901903814394e-22, 1.813916406288943200e+16
1.281704772502877614e-22, 1.787504620367235200e+16
1.496564856684707842e-22, 1.601855243954582800e+16
1.747443263311006971e-22, 1.855318059185801200e+16
2.040377966148069427e-22, 1.606614447200482800e+16
2.382419121782715813e-22, 1.434412595699109400e+16
2.781798748077653061e-22, 1.288542004655226600e+16
3.248128846873889935e-22, 1.561567732393937800e+16
3.792632739224971983e-22, 1.581066730293577800e+16
4.428415180784706451e-22, 1.550218360701897800e+16
5.170777758305154950e-22, 1.387280392989076400e+16
6.037587157996679498e-22, 1.296220863370710800e+16
7.049705168986915043e-22, 1.225284237396433000e+16
8.231490770914376496e-22, 1.191476904541871800e+16
9.611386389565238025e-22, 1.065120031214237200e+16
1.122260243016206653e-21, 9.773983299878326000e+15
1.310391656319376225e-21, 8.943980556571703000e+15
1.530060699946438888e-21, 8.410269043707103000e+15
1.786554221579997443e-21, 8.301584462855260000e+15
2.086045335820364214e-21, 8.201300943175275000e+15
2.435741994580735524e-21, 8.066579645271571000e+15
2.844060463254972146e-21, 7.509944863225839000e+15
3.320827877766432378e-21, 7.532298535074396000e+15
3.877518757505402961e-21, 7.448646283352742000e+15
4.527531166390591196e-21, 6.797239852893710000e+15
5.286509168514232234e-21, 6.554682042793967000e+15
6.172719339017780476e-21, 6.192223392289074000e+15
7.207490391810404495e-21, 5.832282915892288000e+15
8.415726504796120160e-21, 5.188834738783793000e+15
9.826506696977815998e-21, 4.832705633806732000e+15
1.147378468284583961e-20, 4.874102332910965000e+15
1.339720604767883656e-20, 4.486179430250959000e+15
1.564306241098517039e-20, 4.090343325712514000e+15
1.826540554225283020e-20, 3.884308340678748500e+15
2.132734824280151716e-20, 3.711432808255066000e+15
2.490258330249094031e-20, 3.447525237337070500e+15
2.907715708851964547e-20, 3.359355206492471000e+15
3.395154045186442600e-20, 3.206666917286994000e+15
3.964304679255259240e-20, 3.034231904543825500e+15
4.628865548014387372e-20, 3.420484859541866500e+15
5.404830858161902066e-20, 3.420324010454987500e+15
6.310876024011991138e-20, 3.151498711071745500e+15
7.368807134881180046e-20, 2.855448694684221000e+15
8.604085769467593336e-20, 2.750307230482423500e+15
1.004644178810475172e-19, 2.671554818687891000e+15
1.173058885116423403e-19, 2.444217044487100000e+15
1.369705988422578918e-19, 2.187245340952330000e+15
1.599318259743174272e-19, 2.047389013699080750e+15
1.867421853717413878e-19, 1.904780017477767500e+15
2.180469308404809387e-19, 1.817915147780005000e+15
2.545994840657364937e-19, 1.602823322378355750e+15
2.972795674613780767e-19, 1.537046744089965500e+15
3.471143767408655819e-19, 1.415940760157970000e+15
4.053033027769513840e-19, 1.403844653770979500e+15
4.732467977393484649e-19, 1.316014533321850000e+15
