# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 1.834853117388721750e+21
4.143897244964681628e-25, 1.628187601692285731e+21
4.838564324307219260e-25, 1.449191828939400020e+21
5.649682734992169490e-25, 1.271289451333380997e+21
6.596773932655885372e-25, 1.130381756542246978e+21
7.702631875067320117e-25, 1.006073427957006205e+21
8.993871611864740876e-25, 8.970231458314251141e+20
1.050156983777701776e-24, 8.005493964524345098e+20
1.226201282573591067e-24, 7.121732274813724262e+20
1.431756974063410238e-24, 6.320958653845020344e+20
1.671771235205982412e-24, 5.584843674016219791e+20
1.952020568777308980e-24, 4.916758237455213527e+20
2.279249828377506683e-24, 4.381355324815700787e+20
2.661334549057996954e-24, 4.007505206139737211e+20
3.107470490433956329e-24, 3.591936951157335654e+20
3.628394954078874531e-24, 3.177085078259132006e+20
4.236645201720489617e-24, 2.779056673099512873e+20
4.946860193674237954e-24, 2.476084909617018307e+20
5.776132909553281211e-24, 2.184577677916600730e+20
6.744421730674377979e-24, 1.932854934612992655e+20
7.875030785036159497e-24, 1.735338630440775516e+20
9.195170815492024403e-24, 1.549989118083117875e+20
1.073661406971731716e-23, 1.391133498518173123e+20
1.253645897342513110e-23, 1.230651172475391508e+20
1.463802299047425984e-23, 1.099562592884140605e+20
1.709188515862952929e-23, 9.899260950190061978e+19
1.995710339202826004e-23, 8.771683588654889370e+19
2.330263584757434168e-23, 7.727357093987935846e+19
2.720900056375714993e-23, 6.902120852606210867e+19
3.177021331497144511e-23, 6.192705488119880909e+19
3.709605032032140160e-23, 5.588813452671125094e+19
4.331469026427151886e-23, 4.992902789475805594e+19
5.057579921552993781e-23, 4.451018865177350144e+19
5.905413268993206007e-23, 4.012665974225835622e+19
6.895374154936251738e-23, 3.614670681450120397e+19
8.051288296148122256e-23, 3.324786703257334989e+19
9.400975461394818512e-23, 2.969445170073103974e+19
1.097691901903814394e-22, 2.676179542644941210e+19
1.281704772502877614e-22, 2.425010228771299328e+19
1.496564856684707842e-22, 2.179483295977893478e+19
1.747443263311006971e-22, 1.977111820260689920e+19
2.040377966148069427e-22, 1.779599999482666189e+19
2.382419121782715813e-22, 1.612511766002533376e+19
2.781798748077653061e-22, 1.444907885484191334e+19
3.248128846873889935e-22, 1.309229250794022502e+19
3.792632739224971983e-22, 1.185039357034573824e+19
4.428415180784706451e-22, 1.067498788536352973e+19
5.170777758305154950e-22, 9.726679394087649280e+18
6.037587157996679498e-22, 8.851773840668545024e+18
7.049705168986915043e-22, 8.114609468809072640e+18
8.231490770914376496e-22, 7.412139030065997824e+18
9.611386389565238025e-22, 6.760042420011207680e+18
1.122260243016206653e-21, 6.177966927325948928e+18
1.310391656319376225e-21, 5.651124775627899904e+18
1.530060699946438888e-21, 5.166990132657448960e+18
1.786554221579997443e-21, 4.721642573218240512e+18
2.086045335820364214e-21, 4.344160009639701504e+18
2.435741994580735524e-21, 4.000329849930193920e+18
2.844060463254972146e-21, 3.669577366419334144e+18
3.320827877766432378e-21, 3.364726638351974912e+18
3.877518757505402961e-21, 3.101049958486656512e+18
4.527531166390591196e-21, 2.843747116450143744e+18
5.286509168514232234e-21, 2.627392706831998464e+18
6.172719339017780476e-21, 2.418800771292388864e+18
7.207490391810404495e-21, 2.242925020324160512e+18
8.415726504796120160e-21, 2.082103927613167104e+18
9.826506696977815998e-21, 1.938479955555742720e+18
1.147378468284583961e-20, 1.794614682970879488e+18
1.339720604767883656e-20, 1.664214513131984640e+18
1.564306241098517039e-20, 1.551675334913093376e+18
1.826540554225283020e-20, 1.450907036916144640e+18
2.132734824280151716e-20, 1.364890969627643648e+18
2.490258330249094031e-20, 1.283243266388249600e+18
2.907715708851964547e-20, 1.214801598785372160e+18
3.395154045186442600e-20, 1.145891333611963648e+18
3.964304679255259240e-20, 1.085218727545136640e+18
4.628865548014387372e-20, 1.027691474527175936e+18
5.404830858161902066e-20, 9.741316572992078080e+17
6.310876024011991138e-20, 9.244244569923687680e+17
7.368807134881180046e-20, 8.781650814264556800e+17
8.604085769467593336e-20, 8.335523032932037120e+17
1.004644178810475172e-19, 7.931976637642156800e+17
1.173058885116423403e-19, 7.557492981565304320e+17
1.369705988422578918e-19, 7.193066704669304320e+17
1.599318259743174272e-19, 6.846238426691171840e+17
1.867421853717413878e-19, 6.550806775109841920e+17
2.180469308404809387e-19, 6.260610432790462720e+17
2.545994840657364937e-19, 6.013064657523740160e+17
2.972795674613780767e-19, 6.014768218508039680e+17
3.471143767408655819e-19, 1.361453023246397952e+18
4.053033027769513840e-19, 1.046115990651105152e+18
4.732467977393484649e-19, 8.038166923207104000e+17
5.525800802412904732e-19, 6.176382739845697280e+17
6.452124906878854795e-19, 4.745821294022532480e+17
7.533734440045013057e-19, 3.646603635732647040e+17
8.796660857047170922e-19, 2.801984578072361280e+17
1.027129942656215233e-18, 2.152994501190956160e+17
1.199314076381365808e-18, 1.654322210919297600e+17
1.400362499497209111e-18, 1.271151401467614400e+17
1.635113911040676270e-18, 9.767298503204923200e+16
1.909218151042094247e-18, 7.505016313600713600e+16
2.229272177097818710e-18, 5.766719410585354400e+16
2.602978835535310412e-18, 4.431043367641520800e+16
3.039332248368829520e-18, 3.404733944550778400e+16
3.548834277815029616e-18, 2.616136262134184800e+16
4.143747278091769203e-18, 2.010192001347850000e+16
4.838389217561514039e-18, 1.544595341141147200e+16
5.649478274021606592e-18, 1.186839250317983200e+16
6.596535196630497956e-18, 9.119459113833080000e+15
7.702353118248023089e-18, 7.007228190893722000e+15
8.993546125318797605e-18, 5.384227979571074000e+15
1.050118978791184392e-17, 4.137143838653672000e+15
1.226156906576543473e-17, 3.178906838018688500e+15
1.431705159044002820e-17, 2.442614779400660500e+15
1.671710734114975772e-17, 1.876861218199470750e+15
1.951949925514886663e-17, 1.442146367936719500e+15
2.279167342748857588e-17, 1.108119303859997250e+15
2.661238235854156293e-17, 8.514589218457633750e+14
3.107358031653111131e-17, 6.542457053724767500e+14
3.628263643138282592e-17, 5.027106205786742500e+14
4.236491878316220397e-17, 3.862737897510758750e+14
4.946681167721122281e-17, 2.968058253412105625e+14
5.775923872374348195e-17, 2.280602523232348125e+14
6.744177651302501599e-17, 1.752373917524758438e+14
7.874745789132278381e-17, 1.346492567441669219e+14
9.194838043965264702e-17, 1.034620645767504531e+14
1.073622551364499575e-16, 7.949838762809542188e+13
1.253600528129948575e-16, 6.108512971707110156e+13
1.463749324313652303e-16, 4.693671386151045312e+13
1.709126660647493911e-16, 3.606532585461296094e+13
1.995638114815701302e-16, 2.771194704505729297e+13
2.330179252950391720e-16, 2.129336116700465625e+13
2.720801587507204238e-16, 1.636143534235560352e+13
3.176906355684263719e-16, 1.257183233602798438e+13
3.709470782113892190e-16, 9.659969616234466797e+12
4.331312271366239694e-16, 7.422546729260106445e+12
5.057396888673425339e-16, 5.703351266805338867e+12
5.905199553182014303e-16, 4.382352426874149414e+12
6.895124612624175452e-16, 3.367320702322912109e+12
8.050996921517614587e-16, 2.587388600413205078e+12
9.400635241836067561e-16, 1.988102815669237793e+12
1.097652176637426354e-15, 1.527622408570836182e+12
1.281658387844818299e-15, 1.173797554519748535e+12
1.496510696280042197e-15, 9.019249071410041504e+11
1.747380023663327855e-15, 6.930228598522457275e+11
2.040304125247816402e-15, 5.325062879130386353e+11
2.382332902476464009e-15, 4.091682440709675903e+11
2.781698075296781474e-15, 3.143975118343562622e+11
3.248011297693212803e-15, 2.415773874925834656e+11
3.792495484549381372e-15, 1.856237150454035034e+11
4.428254917260453338e-15, 1.426299205604342957e+11
5.170590628816885501e-15, 1.095942629638961945e+11
6.037368658836964984e-15, 8.421025846055021667e+10
7.049450041464057396e-15, 6.470564642900987244e+10
8.231192874789720272e-15, 4.971865371669136810e+10
9.611038555274013536e-15, 3.820291835135193634e+10
1.122219628626107451e-14, 2.935443463291191864e+10
1.310344233488316355e-14, 2.255541905694769669e+10
1.530005327333422790e-14, 1.733117790193085861e+10
1.786489566513994436e-14, 1.331696505877784157e+10
2.085969842226470568e-14, 1.023251618444719887e+10
2.435653845529604593e-14, 7.862481203687568665e+09
2.843957537234173260e-14, 6.041388996021788597e+09
3.320707697621301066e-14, 4.642094531686951637e+09
3.877378430820567309e-14, 3.566901859022744656e+09
4.527367315877207227e-14, 2.740743167771110535e+09
5.286317850727665526e-14, 2.105937704096261501e+09
6.172495949449466709e-14, 1.618164615218825340e+09
7.207229554069590400e-14, 1.243368555891278505e+09
8.415421941214433446e-14, 9.553820119444395304e+08
9.826151077522554733e-14, 7.340983366742556095e+08
1.147336944870571982e-13, 5.640679447262182236e+08
1.339672120527618000e-13, 4.334196528880708814e+08
1.564249629145710343e-13, 3.330318577056238055e+08
1.826474452061308525e-13, 2.558956833334628642e+08
2.132657641002332364e-13, 1.966256357560063004e+08
2.490168208261894248e-13, 1.510835983314394355e+08
2.907610479159630927e-13, 1.160899167447634190e+08
3.395031175191101639e-13, 8.920140186299307644e+07
3.964161211804007018e-13, 6.854075114417766035e+07
4.628698030228503768e-13, 5.266547912142881751e+07
5.404635258335326130e-13, 4.046720592768358439e+07
6.310647634578878334e-13, 3.109427243446530402e+07
7.368540459117346958e-13, 2.389227909352093190e+07
8.603774389199028282e-13, 1.835839707791908458e+07
1.004607820923932483e-12, 1.410626177392052114e+07
1.173016432332888215e-12, 1.083899756522601284e+07
1.369656419016833193e-12, 8.328490573111250997e+06
1.599260380711907916e-12, 6.399462202416884713e+06
1.867354272066798725e-12, 4.917231533910432830e+06
2.180390397624856683e-12, 3.778312175159841310e+06
2.545902701576178349e-12, 2.903187046370548662e+06
2.972688089689554387e-12, 2.230756653610798530e+06
3.471018147359357998e-12, 1.714073247055037878e+06
4.052886349255764866e-12, 1.317063020521915751e+06
4.732296710254901824e-12, 1.012007510672260891e+06
5.525600824706499793e-12, 7.776083492484659655e+05
6.451891405674874902e-12, 5.975002540449211374e+05
7.533461795592588149e-12, 4.591084366146402317e+05
8.796342507521895701e-12, 3.527706559046043549e+05
1.027092771014048268e-11, 2.710626197267681709e+05
1.199270673427324702e-11, 2.082796358939246566e+05
1.400311820638017854e-11, 1.600383217035680136e+05
1.635054736571430363e-11, 1.229705645194465906e+05
1.909149056791221305e-11, 9.448836741241760319e+04
2.229191500151088592e-11, 7.260315991488211148e+04
2.602884634213915806e-11, 5.578696063631206925e+04
3.039222255498335907e-11, 4.286569585147513862e+04
3.548705846160559437e-11, 3.293722863147931639e+04
4.143597316646138997e-11, 2.530837322682365630e+04
4.838214117152900590e-11, 1.944649813382426146e+04
5.649273820450414145e-11, 1.494233885892103899e+04
6.596296469244882950e-11, 1.148142397923362114e+04
7.702074371516900180e-11, 8.822119329270830349e+03
8.993220650552190613e-11, 6.778757536801475908e+03
1.050080975180062726e-10, 5.208675129284250943e+03
1.226112532185457416e-10, 4.002252089189551498e+03
1.431653345899774112e-10, 3.075258350279708793e+03
1.671650235213482158e-10, 2.362973067127139529e+03
1.951879284809018891e-10, 1.815665887458110319e+03
2.279084860105338701e-10, 1.395124918356650824e+03
2.661141926135866703e-10, 1.071988815604676802e+03
3.107245576942134500e-10, 8.236968552456413590e+02
3.628132336949815997e-10, 6.329137906680870174e+02
4.236338560460705138e-10, 4.863195156623435196e+02
4.946502148246891704e-10, 3.736791219255684382e+02
5.775714842760397404e-10, 2.871282800069743644e+02
6.743933580763869986e-10, 2.206241752255776589e+02
7.874460803542362888e-10, 1.695236192491461509e+02
9.194505284481391166e-10, 1.302588755331121604e+02
1.073583697163442448e-09, 1.000885559695703648e+02
1.253555160559284636e-09, 7.690622621516779134e+01
1.463696351497021232e-09, 5.909334363981750471e+01
1.709064807670563662e-09, 4.540624645484055577e+01
1.995565893042375731e-09, 3.488933032304961301e+01
2.330094924195305965e-09, 2.680832177892558121e+01
2.720703122202257710e-09, 2.059902118907515600e+01
3.176791384032336837e-09, 1.582790883173714214e+01
3.709336537054124696e-09, 1.216187246898932095e+01
4.331155521978282322e-09, 9.344956845794301969e+00
5.057213862417803832e-09, 7.180490047232854778e+00
5.904985845105158122e-09, 5.517353182900206043e+00
6.894875079342960596e-09, 4.239429949710409318e+00
8.050705557431865460e-09, 3.257497088366219096e+00
9.400295034589802586e-09, 2.502997662882622709e+00
1.097612452808688640e-08, 1.923254301702215896e+00
1.281612004865416702e-08, 1.477790066335689545e+00
1.496456537835437654e-08, 1.135504282896591555e+00
1.747316786304279705e-08, 8.724980800423638438e-01
2.040230287019851416e-08, 6.704090296207326771e-01
2.382246686290472952e-08, 5.151279128432559862e-01
2.781597406159238859e-08, 3.958128465807981833e-01
3.247893752766619457e-08, 3.041335106337691441e-01
3.792358234841027568e-08, 2.336889409602918299e-01
4.428094659536107595e-08, 1.795608863124038002e-01
5.170403506100775866e-08, 1.379698456086412561e-01
6.037150167584694934e-08, 1.060122253164843403e-01
7.049194923174215987e-08, 8.145670997511328393e-02
8.230894989445869222e-08, 6.258875314093841069e-02
9.610690733570848061e-08, 4.809107242974784008e-02
1.122179015705835130e-07, 3.695134485313182615e-02
1.310296812373474564e-07, 2.839187598983698019e-02
1.529949956724325201e-07, 2.181500774903509521e-02
1.786424913787846109e-07, 1.676153220847629438e-02
2.085894351364676277e-07, 1.287859594255882922e-02
2.435565699668571264e-07, 9.895077466898430027e-03
2.843854614938248337e-07, 7.602645996947645854e-03
3.320587521825467136e-07, 5.841205481317827963e-03
3.877238109214126943e-07, 4.487793607652191923e-03
4.527203471293543005e-07, 3.447893367510450075e-03
5.286126539864874544e-07, 2.648900815851565598e-03
6.172272567965604518e-07, 2.034990460017334531e-03
7.206968725768446012e-07, 1.563304247604082806e-03
8.415117388654812462e-07, 1.200890313006665539e-03
9.825795470937055071e-07, 9.224397723196354863e-04
1.147295422959284638e-06, 7.085086981562903211e-04
1.339623638041987889e-06, 5.441405984337031225e-04
1.564193019241686001e-06, 4.178581995508723096e-04
1.826408352289566483e-06, 3.208479788626884149e-04
2.132580460517753101e-06, 2.463224319975852099e-04
2.490078089536171985e-06, 1.890671092256070043e-04
2.907505253275528389e-06, 1.450832210996950099e-04
3.394908309642402768e-06, 1.112948325308397540e-04
3.964017749544815386e-06, 8.534360233343899816e-05
4.628530518505076199e-06, 6.540534115965075624e-05
5.404439665587494086e-06, 5.009800027365944570e-05
6.310419253411135426e-06, 3.834344973853490146e-05
7.368273793004429503e-06, 2.931916279638609429e-05
8.603463020199222133e-06, 2.239131170681126119e-05
1.004571464353174789e-05, 1.707468284082092123e-05
1.172973981085711423e-05, 1.299507451868365680e-05
1.369606851405000625e-05, 9.867967003920011671e-06
1.599202503775273322e-05, 7.468342405577168793e-06
1.867286692861943421e-05, 5.630676667293734402e-06
2.180311489700670832e-05, 4.223649482526537940e-06
2.545810565829488036e-05, 3.146979272072638885e-06
2.972580508658805780e-05, 2.323415360162201607e-06
3.470892531856226512e-05, 1.692739246073104628e-06
