# M_f [M_sun], P(M_f) [M_sun^-1]
3.827084355488770895e-27, 0.000000000000000000e+00
4.506834362638024048e-27, 0.000000000000000000e+00
5.307318597021315105e-27, 0.000000000000000000e+00
6.249981344732780407e-27, 0.000000000000000000e+00
7.360075732297495644e-27, 0.000000000000000000e+00
8.667340236272433316e-27, 0.000000000000000000e+00
1.020679535152785679e-26, 0.000000000000000000e+00
1.201968176026915128e-26, 0.000000000000000000e+00
1.415456513454252634e-26, 0.000000000000000000e+00
1.666863716893613249e-26, 0.000000000000000000e+00
1.962924769702719398e-26, 0.000000000000000000e+00
2.311570893565976189e-26, 0.000000000000000000e+00
2.722142019121112836e-26, 0.000000000000000000e+00
3.205636994690456497e-26, 0.000000000000000000e+00
3.775008235994192380e-26, 0.000000000000000000e+00
4.445508710258711589e-26, 0.000000000000000000e+00
5.235100550126692466e-26, 0.000000000000000000e+00
6.164936243785242058e-26, 0.000000000000000000e+00
7.259925291982616680e-26, 0.000000000000000000e+00
8.549401512189414367e-26, 0.000000000000000000e+00
1.006790886641008959e-25, 0.000000000000000000e+00
1.185612686429800468e-25, 0.000000000000000000e+00
1.396196033232976953e-25, 0.000000000000000000e+00
1.644182274302039242e-25, 0.000000000000000000e+00
1.936214748346826725e-25, 0.000000000000000000e+00
2.280116754881804445e-25, 0.000000000000000000e+00
2.685101133710343442e-25, 0.000000000000000000e+00
3.162017069001498880e-25, 0.000000000000000000e+00
3.723640729628996362e-25, 0.000000000000000000e+00
4.385017531777717265e-25, 0.000000000000000000e+00
5.163865192739406782e-25, 0.000000000000000000e+00
6.081048373363106567e-25, 0.000000000000000000e+00
7.161137624424471483e-25, 0.000000000000000000e+00
8.433067610607815914e-25, 0.000000000000000000e+00
9.930912245356802624e-25, 0.000000000000000000e+00
1.169479750179185720e-24, 0.000000000000000000e+00
1.377197635311530258e-24, 0.000000000000000000e+00
1.621809463923650974e-24, 0.000000000000000000e+00
1.909868177109771420e-24, 0.000000000000000000e+00
2.249090620739106459e-24, 0.000000000000000000e+00
2.648564273138251345e-24, 0.000000000000000000e+00
3.118990690841567164e-24, 0.000000000000000000e+00
3.672972194112414368e-24, 0.000000000000000000e+00
4.325349472294460751e-24, 0.000000000000000000e+00
5.093599153150967636e-24, 0.000000000000000000e+00
5.998301986733429451e-24, 4.344662198910700000e+14
7.063694186024186543e-24, 3.283449402584343750e+14
8.318316694295725583e-24, 2.481185717187652812e+14
9.795779772502459407e-24, 1.875041189792865938e+14
1.153566338934545725e-23, 1.416938367338836875e+14
1.358457753468770415e-23, 1.070728997244856719e+14
1.599741086120690433e-23, 8.090893259350414062e+13
1.883880110432472266e-23, 6.113663436926689844e+13
2.218486667170170368e-23, 4.619105155308039844e+13
2.612524579009417809e-23, 3.490103205620101562e+13
3.076549783657003753e-23, 2.636977075698544141e+13
3.622993118368605338e-23, 1.992333045122446484e+13
4.266493331417388190e-23, 1.505236892943832422e+13
5.024289241605216727e-23, 1.137194975778199023e+13
5.916681551433197638e-23, 8.591163814184930664e+12
6.967576685510515797e-23, 6.490167165237259766e+12
8.205127223166155905e-23, 3.554094650990011250e+14
9.662486081903779035e-23, 2.687036412704913750e+14
1.137869465562747623e-22, 2.031587871688408750e+14
1.339972870010025039e-22, 1.535896765409288438e+14
1.577972998400921814e-22, 1.161198032916973281e+14
1.858245670051332392e-22, 8.778931862262609375e+13
2.188299149455535947e-22, 6.636515325660804688e+13
2.576975286252414089e-22, 5.017148970451873438e+13
3.034686380793943191e-22, 3.792841203442441406e+13
3.573694120741425747e-22, 8.253574359788365000e+14
4.208438061161569796e-22, 8.022753875970410000e+14
4.955922447822396756e-22, 6.067331658846575000e+14
5.836171746353517712e-22, 4.436655212983255000e+15
6.872767080506119101e-22, 3.460003394712491500e+15
8.093477950233581403e-22, 2.617404728416000500e+15
9.531006152778513355e-22, 1.979959009532114750e+15
1.122386183577365160e-21, 1.595408048778904750e+15
1.321739515106818582e-21, 1.448147732157696750e+15
1.556501114640085743e-21, 1.095381040116990625e+15
1.832960044082547755e-21, 1.923048754354218000e+15
2.158522401045615207e-21, 1.454661953364415750e+15
2.541909721849834506e-21, 1.310559845450051500e+15
2.993392624002773968e-21, 5.854063830795389000e+15
3.525065947233321538e-21, 4.429036455167266500e+15
4.151172763874790048e-21, 3.819796951223737500e+15
4.888485938556923632e-21, 3.815006407640275500e+15
5.756757458863851791e-21, 3.841992711349507500e+15
6.779247574141008799e-21, 5.219265419617448000e+15
7.983347917625697840e-21, 2.564416897736105600e+16
9.401315304808618924e-21, 2.183744977863954000e+16
1.107113586585551242e-20, 1.806041821207950800e+16
1.303754266145501082e-20, 1.488927402841291600e+16
1.535321404314857407e-20, 1.609154655315796000e+16
1.808018486118830195e-20, 1.277023619704556600e+16
2.129150832496999069e-20, 6.392741115115207200e+16
2.507321303585775374e-20, 4.909592530151824800e+16
2.952660761963141245e-20, 3.895618932473944800e+16
3.477099469768273000e-20, 3.052419815124590800e+16
4.094686690192054992e-20, 2.630465825743020000e+16
4.821967055188485343e-20, 2.329926689114090000e+16
5.678423781975012526e-20, 2.613015955217238000e+16
6.687000611711742257e-20, 2.163005213011799600e+16
7.874716452649248079e-20, 2.200976428914582400e+16
9.273389193507358252e-20, 1.933468424465545200e+16
1.092048807742505692e-19, 1.741534113845400000e+16
1.286013747084820582e-19, 1.653024155284924400e+16
1.514429891746283616e-19, 2.033530366944738400e+16
