# M_f [M_sun], P(M_f) [M_sun^-1]
3.827084355488770895e-27, 8.372217788496628154e+23
4.506834362638024048e-27, 6.773465283234751316e+23
5.307318597021315105e-27, 6.427564285343244589e+23
6.249981344732780407e-27, 6.616590454164621676e+23
7.360075732297495644e-27, 5.803677436767782138e+23
8.667340236272433316e-27, 5.524845682748241782e+23
1.020679535152785679e-26, 4.937736136113151373e+23
1.201968176026915128e-26, 4.472156534023417873e+23
1.415456513454252634e-26, 3.872839778358627622e+23
1.666863716893613249e-26, 3.401072667066059131e+23
1.962924769702719398e-26, 3.362790220279741111e+23
2.311570893565976189e-26, 2.924901911229327013e+23
2.722142019121112836e-26, 2.540540602201589437e+23
3.205636994690456497e-26, 2.313801155729143785e+23
3.775008235994192380e-26, 1.935669527855716326e+23
4.445508710258711589e-26, 1.818455341506621803e+23
5.235100550126692466e-26, 1.547044102387328520e+23
6.164936243785242058e-26, 1.516151045000518309e+23
7.259925291982616680e-26, 1.401509651098309818e+23
8.549401512189414367e-26, 1.289388404882790825e+23
1.006790886641008959e-25, 1.121384919962890241e+23
1.185612686429800468e-25, 1.055363180476648328e+23
1.396196033232976953e-25, 1.021720827917474831e+23
1.644182274302039242e-25, 9.342816838180971479e+22
1.936214748346826725e-25, 8.561782278022994120e+22
2.280116754881804445e-25, 8.308486845183044669e+22
2.685101133710343442e-25, 7.524018910417268402e+22
3.162017069001498880e-25, 6.721060639969775505e+22
3.723640729628996362e-25, 6.111802933020089070e+22
4.385017531777717265e-25, 5.579182745925537340e+22
5.163865192739406782e-25, 5.316628553677894006e+22
6.081048373363106567e-25, 4.870978315749275835e+22
7.161137624424471483e-25, 4.436795821142437580e+22
8.433067610607815914e-25, 3.971262503205210581e+22
9.930912245356802624e-25, 3.766298270141972165e+22
1.169479750179185720e-24, 3.502320559321490496e+22
1.377197635311530258e-24, 3.297791170946791375e+22
1.621809463923650974e-24, 3.103758033612339308e+22
1.909868177109771420e-24, 2.895947901934366412e+22
2.249090620739106459e-24, 2.590697341776459045e+22
2.648564273138251345e-24, 2.367240945225453221e+22
3.118990690841567164e-24, 2.147076626938645289e+22
3.672972194112414368e-24, 1.963539863997707924e+22
4.325349472294460751e-24, 1.772220827856067677e+22
5.093599153150967636e-24, 1.620287537853920969e+22
5.998301986733429451e-24, 1.516525218351301630e+22
7.063694186024186543e-24, 1.399897735052152694e+22
8.318316694295725583e-24, 1.248301276170316625e+22
9.795779772502459407e-24, 1.082415632770880294e+22
1.153566338934545725e-23, 9.598475936749653590e+21
1.358457753468770415e-23, 8.552394580996212654e+21
1.599741086120690433e-23, 7.618209550586079085e+21
1.883880110432472266e-23, 6.674316834832903045e+21
2.218486667170170368e-23, 6.035002161098680959e+21
2.612524579009417809e-23, 5.244460923998833738e+21
3.076549783657003753e-23, 4.587924101085243376e+21
3.622993118368605338e-23, 3.997669444919419208e+21
4.266493331417388190e-23, 3.481928522636865831e+21
5.024289241605216727e-23, 3.021682338550044951e+21
5.916681551433197638e-23, 2.625454253670653755e+21
6.967576685510515797e-23, 2.244545415655532528e+21
8.205127223166155905e-23, 1.912610575443222069e+21
9.662486081903779035e-23, 1.626173404966366478e+21
1.137869465562747623e-22, 1.408629744810617209e+21
1.339972870010025039e-22, 1.180650817026000683e+21
1.577972998400921814e-22, 9.811984732165330698e+20
1.858245670051332392e-22, 8.182285290885940511e+20
2.188299149455535947e-22, 6.840199200836221665e+20
2.576975286252414089e-22, 5.644364075283721093e+20
3.034686380793943191e-22, 4.634901803344704963e+20
3.573694120741425747e-22, 3.769241376850055660e+20
4.208438061161569796e-22, 3.053269457194909041e+20
4.955922447822396756e-22, 2.397974178607974973e+20
5.836171746353517712e-22, 1.930830232552687206e+20
6.872767080506119101e-22, 1.531089864156661350e+20
8.093477950233581403e-22, 1.186612592944150446e+20
9.531006152778513355e-22, 9.322412342657341850e+19
1.122386183577365160e-21, 7.316196974454147482e+19
1.321739515106818582e-21, 5.648854819928879104e+19
1.556501114640085743e-21, 4.372137893327119974e+19
1.832960044082547755e-21, 3.368535052630592307e+19
2.158522401045615207e-21, 2.572983348339771392e+19
2.541909721849834506e-21, 1.974309770602020454e+19
2.993392624002773968e-21, 1.513894625518623130e+19
3.525065947233321538e-21, 1.154624060742647603e+19
4.151172763874790048e-21, 8.741309669751373824e+18
4.888485938556923632e-21, 6.617753284710009856e+18
5.756757458863851791e-21, 5.010058643881484288e+18
6.779247574141008799e-21, 3.792915461273725440e+18
7.983347917625697840e-21, 2.871452435370395136e+18
9.401315304808618924e-21, 2.173843141388813312e+18
1.107113586585551242e-20, 1.645708005515687168e+18
1.303754266145501082e-20, 1.245877774112392960e+18
1.535321404314857407e-20, 9.431833778405391360e+17
1.808018486118830195e-20, 7.140273211238163200e+17
2.129150832496999069e-20, 5.405445529307630080e+17
2.507321303585775374e-20, 4.092098863289865600e+17
2.952660761963141245e-20, 3.097837680114343680e+17
3.477099469768273000e-20, 2.345141861827576320e+17
4.094686690192054992e-20, 1.775323292857605120e+17
4.821967055188485343e-20, 1.343951628105391840e+17
5.678423781975012526e-20, 1.017390455018892000e+17
6.687000611711742257e-20, 7.701751301085366400e+16
7.874716452649248079e-20, 5.830275421835332000e+16
9.273389193507358252e-20, 4.413533399839475200e+16
1.092048807742505692e-19, 3.341038583619918000e+16
1.286013747084820582e-19, 2.529148044357924000e+16
1.514429891746283616e-19, 1.914541207844135200e+16
1.783416314338504484e-19, 1.449281623398702400e+16
2.100178930423268238e-19, 1.097080560611464000e+16
2.473203538810193721e-19, 8.304659867936880000e+15
2.912483148828885497e-19, 6.286410021023742000e+15
3.429785684478291699e-19, 4.758621062382396000e+15
4.038969237017686838e-19, 3.602110503930404000e+15
4.756353311345922826e-19, 2.726656241473778500e+15
5.601156011541111892e-19, 2.063959923436441500e+15
6.596008877386239232e-19, 1.562318360766973500e+15
7.767563163909723748e-19, 1.182592765592161250e+15
9.147203805649831488e-19, 8.951550180516787500e+14
1.077189019213321826e-18, 6.775769012005603750e+14
1.268514627822181104e-18, 5.128805741616806875e+14
1.493822655353478130e-18, 3.882139859816466250e+14
1.759148910626622835e-18, 2.938483783483618750e+14
2.071601256460095181e-18, 2.224193732176281875e+14
2.439550023220233847e-18, 1.683523370214989375e+14
2.872852242792837491e-18, 1.274273874389568750e+14
3.383115710013375789e-18, 9.645030126439348438e+13
3.984009945535055810e-18, 7.300311794864815625e+13
4.691632390563260313e-18, 5.525559730398942188e+13
5.524939643499330452e-18, 4.182233188450824219e+13
6.506255290953416229e-18, 3.165462233620499219e+13
7.661867937483581633e-18, 2.395868589495516406e+13
9.022735454765141973e-18, 1.813367030523817969e+13
1.062531431642155471e-17, 1.372477115121563477e+13
1.251253623568547011e-17, 1.038774955658883203e+13
1.473495826917530554e-17, 7.862027760542469727e+12
1.735211719708112735e-17, 5.950376413407556641e+12
2.043412446244337628e-17, 4.503509510991201172e+12
2.406354439658023259e-17, 3.408430811420436523e+12
2.833760604671147047e-17, 2.579611753194679688e+12
3.337080785874333111e-17, 1.952319548427055664e+12
3.929798499243368798e-17, 1.477555754878139404e+12
4.627792143967891310e-17, 1.118235914822449951e+12
5.449760371147350448e-17, 8.462906461766782227e+11
6.417723004616927553e-17, 6.404746773487932129e+11
7.557610933142418427e-17, 4.847087967138760376e+11
8.899960776690282966e-17, 3.668227020335539551e+11
1.048073293628658734e-16, 2.776053320172337036e+11
1.234227494231858081e-16, 2.100852485438434753e+11
1.453445590855378235e-16, 1.589862438151099243e+11
1.711600248292711483e-16, 1.203149880593602753e+11
2.015607208407141712e-16, 9.104919769961726379e+10
2.373610556924883153e-16, 6.890145910214083862e+10
2.795200896506820746e-16, 5.214071139589608765e+10
3.291672270768299035e-16, 3.945676728081002808e+10
3.876324722021098502e-16, 2.985807817533833694e+10
4.564820588000032287e-16, 2.259426427817810059e+10
5.375604082457851830e-16, 1.709740904038134956e+10
6.330395399832813866e-16, 1.293773708049163437e+10
7.454772580629080060e-16, 9.789984671620145798e+09
8.778856725184473572e-16, 7.408008912915593147e+09
1.033811891211484246e-15, 5.605527207258638382e+09
1.217433043808796355e-15, 4.241576466201317787e+09
1.433668183503562037e-15, 3.209472105908424377e+09
1.688310064231519714e-15, 2.428484176077185154e+09
1.988180323580680114e-15, 1.837521573653740883e+09
2.341312228611645600e-15, 1.390352930150003433e+09
2.757165880192346520e-15, 1.051993452100045085e+09
3.246881640986719169e-15, 7.959692466971046925e+08
3.823578576215791599e-15, 6.022470753015300035e+08
4.502705902163243663e-15, 4.556676782090244889e+08
5.302456857429437137e-15, 3.447601971676434875e+08
6.244256084189869173e-15, 2.608441688715545833e+08
7.353333575983946270e-15, 1.973511967838227749e+08
8.659400567603077844e-15, 1.493114936444710195e+08
1.019744547358859225e-14, 1.129646077616937906e+08
1.200867119784903834e-14, 8.546454231523619592e+07
1.414159892411767039e-14, 6.465825024270840734e+07
1.665336795684994887e-14, 4.891664172965640575e+07
1.961126643418366260e-14, 3.700706499595116824e+07
2.309453391944914817e-14, 2.799670156049949303e+07
2.719648416111015977e-14, 2.117986973464308679e+07
3.202700488805352503e-14, 1.602266239395147935e+07
3.771550160759941078e-14, 1.212105161076069251e+07
4.441436426805645674e-14, 9.169383354344727471e+06
5.230304965473776629e-14, 6.936401123913424090e+06
6.159288888332596682e-14, 5.247137378376659937e+06
7.253274877921187917e-14, 3.969218982166959438e+06
8.541569880630306978e-14, 3.002487824620578904e+06
1.005868621466072754e-13, 2.271181300636605360e+06
1.184526612542794142e-13, 1.717973572976648808e+06
1.394917055645952059e-13, 1.299494558346947655e+06
1.642676130302366575e-13, 9.829385824433072703e+05
1.934441089628516618e-13, 7.434849433746681316e+05
2.278028066649006010e-13, 5.623562604530534009e+05
2.682641461796680398e-13, 4.253477126794825308e+05
3.159120520905972020e-13, 3.217145727691679494e+05
3.720229709312385826e-13, 2.433270615608019871e+05
4.381000660931243579e-13, 1.840361852921859827e+05
5.159134862838212089e-13, 1.391905563320716028e+05
6.075477862926148927e-13, 1.052710799948777712e+05
7.154577704254755224e-13, 7.961622169510234380e+04
8.425342546070203630e-13, 6.021254810361634009e+04
9.921815088597869224e-13, 4.553709322892245109e+04
1.168408454778427903e-12, 3.443789412008494401e+04
1.375936061100931269e-12, 2.604355336691894991e+04
1.620323814412113295e-12, 1.969504014129247662e+04
1.908118653021066131e-12, 1.489380955248882310e+04
2.247030353823397791e-12, 1.126283296450597118e+04
2.646138070611875080e-12, 8.516899003631286178e+03
3.116133556819701466e-12, 6.440326148407122673e+03
3.669607588425075068e-12, 4.869969897628558101e+03
4.321387260040995666e-12, 3.682450177558628639e+03
5.088933190063331369e-12, 2.784450510513529480e+03
5.992807275662323910e-12, 2.105396415528104171e+03
7.057223528372621454e-12, 1.591913839447151076e+03
8.310696746694852704e-12, 1.203642752740388460e+03
9.786806403091373393e-12, 9.100542219652804761e+02
1.152509620925374632e-11, 6.880629182290207382e+02
1.357213345822380241e-11, 5.202116734586514895e+02
1.598275652223515532e-11, 3.932996673225401310e+02
1.882154392567262510e-11, 2.973429210557719102e+02
2.216454434835392560e-11, 2.247934960798442319e+02
2.610131390443792235e-11, 1.699416790121031511e+02
3.073731527391404497e-11, 1.284716185169304197e+02
3.619674295734788133e-11, 9.711892100953737383e+01
4.262585034003430526e-11, 7.341623700359602367e+01
5.019686769475390084e-11, 5.549721614993996610e+01
5.911261608306487078e-11, 4.195065753657903684e+01
6.961194075759052916e-11, 3.171012136481454036e+01
8.197610962148857623e-11, 2.396880268176695949e+01
9.653634815434336754e-11, 1.811690209094430060e+01
1.136827126586860191e-10, 1.369331898838374961e+01
1.338745395338004986e-10, 1.034954996605944011e+01
1.576527505039064519e-10, 7.822107139535996900e+00
1.856543434472225714e-10, 5.911729051086763498e+00
2.186294570227952256e-10, 4.467793397255385379e+00
2.574614662418087925e-10, 3.376379548175770129e+00
3.031906473264966993e-10, 2.551520158252839732e+00
3.570420458179344394e-10, 1.928085429553390240e+00
4.204582944954029396e-10, 1.456923817469605087e+00
4.951382602712583846e-10, 1.100863441413141297e+00
5.830825553784594538e-10, 8.318089691866029645e-01
6.866471320564389732e-10, 6.284674540194596926e-01
8.086063964909875027e-10, 4.748021493197576715e-01
9.522275327764675918e-10, 3.586877329126439418e-01
1.121358027975561121e-09, 2.709458240833995113e-01
1.320528742997830505e-09, 2.046545430137397814e-01
1.555075290477558539e-09, 1.545728123929591968e-01
1.831280971260036666e-09, 1.167373880789432383e-01
2.156545098642282754e-09, 8.813880291874745532e-02
2.539581219630152337e-09, 6.654183320782884603e-02
2.990650543389345401e-09, 5.022278738750395738e-02
3.521836830238305826e-09, 3.789494487791846694e-02
4.147370105223369652e-09, 2.859165937067180766e-02
4.884007868285203093e-09, 2.157105071188536796e-02
5.751484013309916022e-09, 1.626670517120581971e-02
6.773037482221350061e-09, 1.225793037058359874e-02
7.976034816303926009e-09, 9.236707206673751280e-03
9.392703282372493141e-09, 6.955057695346268144e-03
1.106099421361017376e-08, 5.233083567591276415e-03
1.302559969323491834e-08, 3.931398239559801694e-03
1.533914981707820321e-08, 2.953100813046488811e-03
1.806362260871353145e-08, 2.218973809649390887e-03
2.127200435755174943e-08, 1.664896401133757631e-03
2.505024485893668938e-08, 1.248058347083511044e-03
2.949955993544695882e-08, 9.330538025126100619e-04
3.473914292197325075e-08, 6.976524708895317888e-04
4.090935775293284493e-08, 5.196723444599118686e-04
4.817549919168772810e-08, 3.863881013618180151e-04
5.673222093548799446e-08, 2.868127222986936796e-04
6.680875022107409635e-08, 2.121301975819684358e-04
7.867502862574959042e-08, 1.567303344779594340e-04
9.264894357071844147e-08, 1.155080021165440744e-04
1.091048442524586330e-07, 8.449139694178507958e-05
1.284835701366324788e-07, 6.151025377167370430e-05
1.513042606692777691e-07, 4.473566558276297425e-05
1.781782625773226947e-07, 3.234995811630566578e-05
2.098255073230707811e-07, 2.312234236995882981e-05
2.470937974506181203e-07, 1.639774805665567082e-05
2.909815184888817181e-07, 1.161107550155219736e-05
3.426643848436400447e-07, 8.182528568921984652e-06
4.035269361781039406e-07, 5.645350597478749400e-06
4.751996280430186799e-07, 3.885540930627540806e-06
5.596025103824937226e-07, 2.609785394277877357e-06
6.589966640252501913e-07, 1.768325182045786100e-06
7.760447731007786654e-07, 1.165464609857554736e-06
9.138824560634852685e-07, 7.725935824880536429e-07
1.076202266221783642e-06, 5.135520338161543668e-07
1.267352612074265283e-06, 3.134889737738112009e-07
1.492454247443904610e-06, 2.031319730921333917e-07
1.757537452081123332e-06, 1.327687384809535579e-07
2.069703577686328791e-06, 7.743710715066286027e-08
2.437315287031428754e-06, 4.572944891706755959e-08
2.870220582523147006e-06, 2.855938685679790219e-08
3.380016625741240961e-06, 1.477022894931872604e-08
3.980360415450776659e-06, 8.653751318459272619e-09
4.687334646885956332e-06, 3.751986386868558313e-09
5.519878553361920977e-06, 1.784507473136824572e-09
6.500295272091786232e-06, 4.905003360714940469e-10
