# M_f [M_sun], P(M_f) [M_sun^-1]
3.827084355488770895e-27, 3.786769100493770593e+23
4.506834362638024048e-27, 3.520510155212084992e+23
5.307318597021315105e-27, 3.202146182861768119e+23
6.249981344732780407e-27, 2.792462883319312831e+23
7.360075732297495644e-27, 2.522135039433593722e+23
8.667340236272433316e-27, 2.400648617905160003e+23
1.020679535152785679e-26, 2.220711885277024108e+23
1.201968176026915128e-26, 2.045858253570972257e+23
1.415456513454252634e-26, 1.825536707904936251e+23
1.666863716893613249e-26, 1.667196575785778120e+23
1.962924769702719398e-26, 1.460283426651364299e+23
2.311570893565976189e-26, 1.358012117802877494e+23
2.722142019121112836e-26, 1.228239908632733208e+23
3.205636994690456497e-26, 1.091075318772754631e+23
3.775008235994192380e-26, 9.811951471194026698e+22
4.445508710258711589e-26, 9.014607942145660892e+22
5.235100550126692466e-26, 8.416423073758416418e+22
6.164936243785242058e-26, 7.511898449583484908e+22
7.259925291982616680e-26, 6.856201583589115455e+22
8.549401512189414367e-26, 6.403154733025357044e+22
1.006790886641008959e-25, 5.842587169469451626e+22
1.185612686429800468e-25, 5.397696198396606834e+22
1.396196033232976953e-25, 4.999492580798249094e+22
1.644182274302039242e-25, 4.563223843250061391e+22
1.936214748346826725e-25, 4.225139289645124891e+22
2.280116754881804445e-25, 3.868029697138512154e+22
2.685101133710343442e-25, 3.689764954717391579e+22
3.162017069001498880e-25, 3.433136081326179772e+22
3.723640729628996362e-25, 3.179586320359880445e+22
4.385017531777717265e-25, 2.946995577590850676e+22
5.163865192739406782e-25, 2.703503328795070720e+22
6.081048373363106567e-25, 2.492488381128227212e+22
7.161137624424471483e-25, 2.299362972150225122e+22
8.433067610607815914e-25, 2.120002650524437237e+22
9.930912245356802624e-25, 1.962217920955934573e+22
1.169479750179185720e-24, 1.828025746222714192e+22
1.377197635311530258e-24, 1.703342576449426031e+22
1.621809463923650974e-24, 1.576645302984427910e+22
1.909868177109771420e-24, 1.459565901156186482e+22
2.249090620739106459e-24, 1.346992224293238499e+22
2.648564273138251345e-24, 1.239870830181252858e+22
3.118990690841567164e-24, 1.142690415692650172e+22
3.672972194112414368e-24, 1.052935828238095719e+22
4.325349472294460751e-24, 9.691915397311697519e+21
5.093599153150967636e-24, 8.839391527357603906e+21
5.998301986733429451e-24, 8.037515450014650860e+21
7.063694186024186543e-24, 7.321828358215815922e+21
8.318316694295725583e-24, 6.689168454098482102e+21
9.795779772502459407e-24, 6.048922415434928488e+21
1.153566338934545725e-23, 5.479429656235242160e+21
1.358457753468770415e-23, 4.983222269744912531e+21
1.599741086120690433e-23, 4.519202553872762536e+21
1.883880110432472266e-23, 4.076164933712541647e+21
2.218486667170170368e-23, 3.629960415743642698e+21
2.612524579009417809e-23, 3.248722643726009106e+21
3.076549783657003753e-23, 2.905718064823126196e+21
3.622993118368605338e-23, 2.603624714663313277e+21
4.266493331417388190e-23, 2.315974538887371948e+21
5.024289241605216727e-23, 2.052921391364100325e+21
5.916681551433197638e-23, 1.809959762360842584e+21
6.967576685510515797e-23, 1.602160428482515698e+21
8.205127223166155905e-23, 1.412063150959770993e+21
9.662486081903779035e-23, 1.234726929512954593e+21
1.137869465562747623e-22, 1.081725901325611303e+21
1.339972870010025039e-22, 9.458988154915406479e+20
1.577972998400921814e-22, 8.213610438452816118e+20
1.858245670051332392e-22, 7.147240798731598561e+20
2.188299149455535947e-22, 6.194563480406130688e+20
2.576975286252414089e-22, 5.350631574628131799e+20
3.034686380793943191e-22, 4.612100303503365243e+20
3.573694120741425747e-22, 3.973296479163737702e+20
4.208438061161569796e-22, 3.407228460647897498e+20
4.955922447822396756e-22, 2.917074850616468111e+20
5.836171746353517712e-22, 2.488232365275137966e+20
6.872767080506119101e-22, 2.100108209121836401e+20
8.093477950233581403e-22, 1.782319034394404782e+20
9.531006152778513355e-22, 1.501526784529214341e+20
1.122386183577365160e-21, 1.264171298597698929e+20
1.321739515106818582e-21, 1.061572670835930399e+20
1.556501114640085743e-21, 8.857232593520299213e+19
1.832960044082547755e-21, 7.376546298380365824e+19
2.158522401045615207e-21, 6.119481604200387379e+19
2.541909721849834506e-21, 5.030744196828983296e+19
2.993392624002773968e-21, 4.119106031190174925e+19
3.525065947233321538e-21, 3.506803031357205299e+19
4.151172763874790048e-21, 2.717557586520719360e+19
4.888485938556923632e-21, 2.057449678041219891e+19
5.756757458863851791e-21, 1.557679271737870131e+19
6.779247574141008799e-21, 1.179302401959166362e+19
7.983347917625697840e-21, 8.928338304799044608e+18
9.401315304808618924e-21, 6.759496864209328128e+18
1.107113586585551242e-20, 5.117482609954524160e+18
1.303754266145501082e-20, 3.874330120532212736e+18
1.535321404314857407e-20, 2.933155503696833024e+18
1.808018486118830195e-20, 2.220607294358279936e+18
2.129150832496999069e-20, 1.681150606266474752e+18
2.507321303585775374e-20, 1.272739866632512768e+18
2.952660761963141245e-20, 9.635423553307596800e+17
3.477099469768273000e-20, 7.294576604431301120e+17
4.094686690192054992e-20, 5.522394992372960000e+17
4.821967055188485343e-20, 4.180737720907169280e+17
5.678423781975012526e-20, 3.165019791209918080e+17
6.687000611711742257e-20, 2.396061570562742400e+17
7.874716452649248079e-20, 1.813917465564625600e+17
9.273389193507358252e-20, 1.373203997349191360e+17
1.092048807742505692e-19, 1.039562390778115680e+17
1.286013747084820582e-19, 7.869805506225742400e+16
1.514429891746283616e-19, 5.957654981348418400e+16
1.783416314338504484e-19, 4.510083500207680000e+16
2.100178930423268238e-19, 3.414221443117136400e+16
2.473203538810193721e-19, 2.584619606853523600e+16
2.912483148828885497e-19, 1.956588034524280800e+16
3.429785684478291699e-19, 1.481153071423741400e+16
4.038969237017686838e-19, 1.121239174079732400e+16
4.756353311345922826e-19, 8.487784099737739000e+15
5.601156011541111892e-19, 6.425221443018112000e+15
6.596008877386239232e-19, 4.863843092663251000e+15
7.767563163909723748e-19, 3.681871823366950000e+15
9.147203805649831488e-19, 2.787118351886434500e+15
1.077189019213321826e-18, 2.109792584843767250e+15
