# M_f [M_sun], P(M_f) [M_sun^-1]
3.827084355488770895e-27, 0.000000000000000000e+00
4.506834362638024048e-27, 0.000000000000000000e+00
5.307318597021315105e-27, 0.000000000000000000e+00
6.249981344732780407e-27, 0.000000000000000000e+00
7.360075732297495644e-27, 0.000000000000000000e+00
8.667340236272433316e-27, 0.000000000000000000e+00
1.020679535152785679e-26, 0.000000000000000000e+00
1.201968176026915128e-26, 0.000000000000000000e+00
1.415456513454252634e-26, 0.000000000000000000e+00
1.666863716893613249e-26, 0.000000000000000000e+00
1.962924769702719398e-26, 0.000000000000000000e+00
2.311570893565976189e-26, 0.000000000000000000e+00
2.722142019121112836e-26, 0.000000000000000000e+00
3.205636994690456497e-26, 0.000000000000000000e+00
3.775008235994192380e-26, 0.000000000000000000e+00
4.445508710258711589e-26, 0.000000000000000000e+00
5.235100550126692466e-26, 0.000000000000000000e+00
6.164936243785242058e-26, 0.000000000000000000e+00
7.259925291982616680e-26, 0.000000000000000000e+00
8.549401512189414367e-26, 0.000000000000000000e+00
1.006790886641008959e-25, 0.000000000000000000e+00
1.185612686429800468e-25, 0.000000000000000000e+00
1.396196033232976953e-25, 0.000000000000000000e+00
1.644182274302039242e-25, 0.000000000000000000e+00
1.936214748346826725e-25, 0.000000000000000000e+00
2.280116754881804445e-25, 0.000000000000000000e+00
2.685101133710343442e-25, 0.000000000000000000e+00
3.162017069001498880e-25, 0.000000000000000000e+00
3.723640729628996362e-25, 0.000000000000000000e+00
4.385017531777717265e-25, 0.000000000000000000e+00
5.163865192739406782e-25, 0.000000000000000000e+00
6.081048373363106567e-25, 0.000000000000000000e+00
7.161137624424471483e-25, 0.000000000000000000e+00
8.433067610607815914e-25, 0.000000000000000000e+00
9.930912245356802624e-25, 0.000000000000000000e+00
1.169479750179185720e-24, 0.000000000000000000e+00
1.377197635311530258e-24, 0.000000000000000000e+00
1.621809463923650974e-24, 0.000000000000000000e+00
1.909868177109771420e-24, 0.000000000000000000e+00
2.249090620739106459e-24, 0.000000000000000000e+00
2.648564273138251345e-24, 0.000000000000000000e+00
3.118990690841567164e-24, 1.057072915323218750e+15
3.672972194112414368e-24, 7.996359926170676250e+14
4.325349472294460751e-24, 6.048861739565731250e+14
5.093599153150967636e-24, 4.575806787636074375e+14
5.998301986733429451e-24, 3.461280696950135625e+14
7.063694186024186543e-24, 2.618297419931244688e+14
8.318316694295725583e-24, 1.980503594774365312e+14
9.795779772502459407e-24, 1.498048396806621250e+14
1.153566338934545725e-23, 1.133155449171696406e+14
1.358457753468770415e-23, 8.570906237132640625e+13
1.599741086120690433e-23, 6.482720628537821875e+13
1.883880110432472266e-23, 4.903449819318968750e+13
2.218486667170170368e-23, 5.471478304025601562e+13
2.612524579009417809e-23, 4.273811705603533750e+14
3.076549783657003753e-23, 8.731390317664296250e+14
3.622993118368605338e-23, 6.605937868543256250e+14
4.266493331417388190e-23, 4.997847466415194375e+14
5.024289241605216727e-23, 3.781097777595798125e+14
5.916681551433197638e-23, 2.860571018548308750e+14
6.967576685510515797e-23, 1.281648541475089250e+15
8.205127223166155905e-23, 9.756167208115843750e+14
9.662486081903779035e-23, 1.284010772176181750e+15
1.137869465562747623e-22, 9.715297768167826250e+14
1.339972870010025039e-22, 7.350967897109155000e+14
1.577972998400921814e-22, 6.440817284415803750e+14
1.858245670051332392e-22, 5.010282408775768750e+14
2.188299149455535947e-22, 3.965782172535145625e+14
2.576975286252414089e-22, 4.750749406194224375e+14
3.034686380793943191e-22, 3.594359397233510625e+14
3.573694120741425747e-22, 1.638284122168289500e+15
4.208438061161569796e-22, 1.245561008567615500e+15
4.955922447822396756e-22, 1.012936497421021875e+15
5.836171746353517712e-22, 7.745922930084913750e+14
6.872767080506119101e-22, 3.851086701090616500e+15
8.093477950233581403e-22, 4.219142732462807500e+15
9.531006152778513355e-22, 3.516643233414968000e+15
1.122386183577365160e-21, 2.903531486703609500e+15
1.321739515106818582e-21, 3.098243016278682500e+15
1.556501114640085743e-21, 5.802805036292145000e+15
1.832960044082547755e-21, 5.127095873211720000e+15
2.158522401045615207e-21, 6.593775643932004000e+15
2.541909721849834506e-21, 6.338688995232777000e+15
2.993392624002773968e-21, 5.687314555206152000e+15
3.525065947233321538e-21, 5.670240858435669000e+15
4.151172763874790048e-21, 1.142085497375225000e+16
4.888485938556923632e-21, 8.866954787210181000e+15
5.756757458863851791e-21, 9.543629556999446000e+15
6.779247574141008799e-21, 9.095100078164422000e+15
7.983347917625697840e-21, 8.436740070563832000e+15
9.401315304808618924e-21, 1.042117132250505800e+16
1.107113586585551242e-20, 9.610804911659986000e+15
1.303754266145501082e-20, 9.740083713454908000e+15
1.535321404314857407e-20, 1.267841488250579800e+16
1.808018486118830195e-20, 1.493391160293127200e+16
2.129150832496999069e-20, 1.556894732826594800e+16
2.507321303585775374e-20, 1.460402334369449800e+16
2.952660761963141245e-20, 1.857763744095226800e+16
3.477099469768273000e-20, 2.200665245361000000e+16
4.094686690192054992e-20, 2.078975323931572800e+16
4.821967055188485343e-20, 2.421720795228573200e+16
5.678423781975012526e-20, 2.441414843609538800e+16
6.687000611711742257e-20, 2.552070352005088800e+16
7.874716452649248079e-20, 2.832927928730971200e+16
9.273389193507358252e-20, 2.888472566136419200e+16
1.092048807742505692e-19, 2.815345509498729600e+16
1.286013747084820582e-19, 3.088079709444488800e+16
1.514429891746283616e-19, 3.290430209745208800e+16
