# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 0.000000000000000000e+00
4.143897244964681628e-25, 0.000000000000000000e+00
4.838564324307219260e-25, 0.000000000000000000e+00
5.649682734992169490e-25, 0.000000000000000000e+00
6.596773932655885372e-25, 0.000000000000000000e+00
7.702631875067320117e-25, 0.000000000000000000e+00
8.993871611864740876e-25, 0.000000000000000000e+00
1.050156983777701776e-24, 0.000000000000000000e+00
1.226201282573591067e-24, 0.000000000000000000e+00
1.431756974063410238e-24, 0.000000000000000000e+00
1.671771235205982412e-24, 0.000000000000000000e+00
1.952020568777308980e-24, 0.000000000000000000e+00
2.279249828377506683e-24, 0.000000000000000000e+00
2.661334549057996954e-24, 0.000000000000000000e+00
3.107470490433956329e-24, 0.000000000000000000e+00
3.628394954078874531e-24, 0.000000000000000000e+00
4.236645201720489617e-24, 0.000000000000000000e+00
4.946860193674237954e-24, 0.000000000000000000e+00
5.776132909553281211e-24, 0.000000000000000000e+00
6.744421730674377979e-24, 0.000000000000000000e+00
7.875030785036159497e-24, 0.000000000000000000e+00
9.195170815492024403e-24, 0.000000000000000000e+00
1.073661406971731716e-23, 0.000000000000000000e+00
1.253645897342513110e-23, 0.000000000000000000e+00
1.463802299047425984e-23, 0.000000000000000000e+00
1.709188515862952929e-23, 0.000000000000000000e+00
1.995710339202826004e-23, 0.000000000000000000e+00
2.330263584757434168e-23, 0.000000000000000000e+00
2.720900056375714993e-23, 0.000000000000000000e+00
3.177021331497144511e-23, 0.000000000000000000e+00
3.709605032032140160e-23, 0.000000000000000000e+00
4.331469026427151886e-23, 0.000000000000000000e+00
5.057579921552993781e-23, 0.000000000000000000e+00
5.905413268993206007e-23, 0.000000000000000000e+00
6.895374154936251738e-23, 0.000000000000000000e+00
8.051288296148122256e-23, 0.000000000000000000e+00
9.400975461394818512e-23, 0.000000000000000000e+00
1.097691901903814394e-22, 0.000000000000000000e+00
1.281704772502877614e-22, 0.000000000000000000e+00
1.496564856684707842e-22, 6.038544140856004883e+12
1.747443263311006971e-22, 4.639908596287134766e+12
2.040377966148069427e-22, 3.565222225708100586e+12
2.382419121782715813e-22, 2.739452567848909180e+12
2.781798748077653061e-22, 2.104946030398839600e+12
3.248128846873889935e-22, 1.617402631055960205e+12
3.792632739224971983e-22, 1.242783061022735352e+12
4.428415180784706451e-22, 9.549321282831595459e+11
5.170777758305154950e-22, 4.122124221361795312e+13
6.037587157996679498e-22, 3.167366034513864453e+13
7.049705168986915043e-22, 2.433747033775176172e+13
8.231490770914376496e-22, 1.870047402121165234e+13
9.611386389565238025e-22, 1.436910754342257422e+13
1.122260243016206653e-21, 1.104096352639216797e+13
1.310391656319376225e-21, 8.483677585593945312e+12
1.530060699946438888e-21, 6.518705111584362305e+12
1.786554221579997443e-21, 5.008855641090596680e+12
2.086045335820364214e-21, 3.848714492192658203e+12
2.435741994580735524e-21, 2.957282921251965820e+12
2.844060463254972146e-21, 2.272322952006277832e+12
3.320827877766432378e-21, 9.812729412531211250e+14
3.877518757505402961e-21, 7.543019176006705000e+14
4.527531166390591196e-21, 5.795920125831996250e+14
5.286509168514232234e-21, 4.453480671489986250e+14
6.172719339017780476e-21, 7.890209595128746250e+14
7.207490391810404495e-21, 6.062694992862250000e+14
8.415726504796120160e-21, 4.658465676142404375e+14
9.826506696977815998e-21, 3.624178345114046875e+14
1.147378468284583961e-20, 2.784753388519337188e+14
1.339720604767883656e-20, 2.141112220093275312e+14
1.564306241098517039e-20, 1.745028812306747188e+14
1.826540554225283020e-20, 1.351426716590795312e+14
2.132734824280151716e-20, 1.038411957136557188e+14
2.490258330249094031e-20, 8.035321429711515625e+13
2.907715708851964547e-20, 6.281757349361353906e+13
3.395154045186442600e-20, 5.620665549792690625e+13
3.964304679255259240e-20, 9.184305306006696875e+13
4.628865548014387372e-20, 1.043414415388195156e+14
5.404830858161902066e-20, 8.110324978938784375e+13
6.310876024011991138e-20, 6.876663254023058594e+13
7.368807134881180046e-20, 5.658243603960156250e+13
8.604085769467593336e-20, 4.613764791592017969e+13
1.004644178810475172e-19, 4.474731279157900781e+13
1.173058885116423403e-19, 3.644743849861881250e+13
1.369705988422578918e-19, 3.149249446845274609e+13
1.599318259743174272e-19, 3.143312685942045703e+13
1.867421853717413878e-19, 6.404722140251907812e+13
2.180469308404809387e-19, 3.383876319209636250e+14
2.545994840657364937e-19, 2.711240272603828750e+14
2.972795674613780767e-19, 2.149936566075028125e+14
3.471143767408655819e-19, 2.095398007428366875e+14
4.053033027769513840e-19, 3.173581170530015625e+14
4.732467977393484649e-19, 2.577399297428807812e+14
5.525800802412904732e-19, 3.491311631320645625e+14
6.452124906878854795e-19, 2.931315879543925625e+14
7.533734440045013057e-19, 2.468336330778011875e+14
8.796660857047170922e-19, 5.254685906701167500e+14
1.027129942656215233e-18, 4.437034318546715000e+14
1.199314076381365808e-18, 3.767493519322683750e+14
1.400362499497209111e-18, 3.355460488321448750e+14
1.635113911040676270e-18, 2.837677922366502500e+14
1.909218151042094247e-18, 3.445539555934921875e+14
2.229272177097818710e-18, 3.401261335436385000e+14
2.602978835535310412e-18, 3.127681059357259375e+14
3.039332248368829520e-18, 3.032635058518944375e+14
3.548834277815029616e-18, 2.694452615176165938e+14
4.143747278091769203e-18, 2.803085146527966562e+14
4.838389217561514039e-18, 2.726554832413997188e+14
5.649478274021606592e-18, 2.580289495212540625e+14
6.596535196630497956e-18, 2.592658924052373125e+14
7.702353118248023089e-18, 2.400386708257026562e+14
8.993546125318797605e-18, 2.328043918590871250e+14
1.050118978791184392e-17, 2.318089509195654375e+14
1.226156906576543473e-17, 2.295313247291694062e+14
1.431705159044002820e-17, 2.357299647680617188e+14
1.671710734114975772e-17, 2.413808509236693438e+14
1.951949925514886663e-17, 2.438722396556591875e+14
2.279167342748857588e-17, 2.609578852963823438e+14
2.661238235854156293e-17, 2.800086127143936875e+14
3.107358031653111131e-17, 2.929697022406723750e+14
3.628263643138282592e-17, 3.162738715322095000e+14
4.236491878316220397e-17, 3.379717053664854375e+14
4.946681167721122281e-17, 3.703795045539498750e+14
5.775923872374348195e-17, 4.005025350367636875e+14
6.744177651302501599e-17, 4.272949430219483750e+14
7.874745789132278381e-17, 4.640213376125200625e+14
9.194838043965264702e-17, 5.007996163551503125e+14
1.073622551364499575e-16, 5.301906516868748125e+14
1.253600528129948575e-16, 5.506979795889930000e+14
1.463749324313652303e-16, 5.660433699719076250e+14
1.709126660647493911e-16, 5.819879534599098750e+14
1.995638114815701302e-16, 5.887806392328492500e+14
2.330179252950391720e-16, 5.899459305976433750e+14
2.720801587507204238e-16, 5.829835656222007500e+14
3.176906355684263719e-16, 5.673803009755155000e+14
3.709470782113892190e-16, 5.446476549641345625e+14
4.331312271366239694e-16, 5.143224258906513750e+14
5.057396888673425339e-16, 4.823582196311637500e+14
5.905199553182014303e-16, 4.404863108435530625e+14
6.895124612624175452e-16, 3.961169155555793125e+14
8.050996921517614587e-16, 3.498645592111076875e+14
9.400635241836067561e-16, 3.014280139392233750e+14
1.097652176637426354e-15, 2.567146107300961562e+14
1.281658387844818299e-15, 2.143522166243495938e+14
1.496510696280042197e-15, 1.756567593145817188e+14
1.747380023663327855e-15, 1.422142379538615000e+14
2.040304125247816402e-15, 1.138105566382310312e+14
2.382332902476464009e-15, 9.013453746801646875e+13
2.781698075296781474e-15, 7.081903945330892188e+13
3.248011297693212803e-15, 5.536613543220521094e+13
3.792495484549381372e-15, 4.309596135918541406e+13
4.428254917260453338e-15, 3.343218186276778516e+13
5.170590628816885501e-15, 2.585623265865994922e+13
6.037368658836964984e-15, 1.998485842182884766e+13
7.049450041464057396e-15, 1.540702096008631250e+13
8.231192874789720272e-15, 1.187407649662048242e+13
9.611038555274013536e-15, 9.144242200602378906e+12
1.122219628626107451e-14, 7.037360401933687500e+12
1.310344233488316355e-14, 5.411344601979680664e+12
