# M_f [M_sun], P(M_f) [M_sun^-1]
3.355426787857400234e-25, 0.000000000000000000e+00
3.911652505143758048e-25, 0.000000000000000000e+00
4.560083199063886726e-25, 0.000000000000000000e+00
5.316003595677380045e-25, 0.000000000000000000e+00
6.197232154680015557e-25, 0.000000000000000000e+00
7.224541083875303900e-25, 0.000000000000000000e+00
8.422145979021678346e-25, 0.000000000000000000e+00
9.818276630783892592e-25, 0.000000000000000000e+00
1.144584245377741764e-24, 0.000000000000000000e+00
1.334320822311494521e-24, 0.000000000000000000e+00
1.555509840401867446e-24, 0.000000000000000000e+00
1.813365139124089360e-24, 0.000000000000000000e+00
2.113964850869085172e-24, 0.000000000000000000e+00
2.464394673909162856e-24, 0.000000000000000000e+00
2.872914895578817388e-24, 2.851499689067228394e+11
3.349155102719898938e-24, 2.190925861992698975e+11
3.904341169081111135e-24, 1.683324831198426208e+11
4.551559870189927640e-24, 1.293412202582205200e+11
5.306067363165150690e-24, 9.936852377556890869e+10
6.185648802917218596e-24, 7.633893051719424438e+10
7.211037571563583870e-24, 5.865066537959508514e+10
8.406404003081794177e-24, 4.505476209577985382e+10
9.799925123355945559e-24, 3.460933380572010040e+10
1.142444883545635492e-23, 2.658742428956452560e+10
1.331826820624366865e-23, 2.042199521443054581e+10
1.552602410568330836e-23, 1.568740858016252327e+10
1.809975747576928262e-23, 1.204874123248677254e+10
2.110013603300706197e-23, 9.254733583044952393e+09
2.459788432013121776e-23, 3.121942587055715332e+12
2.867545081605480075e-23, 2.401556030539060547e+12
3.342895140095494358e-23, 1.847257975316246094e+12
3.897043498760775480e-23, 1.420952419833845459e+12
4.543052472414611801e-23, 1.093008418704339355e+12
5.296149702633689900e-23, 8.407359073476062012e+11
6.174087101793673643e-23, 6.466379721962266846e+11
7.197559298895767048e-23, 5.034948371788685913e+11
8.390691450736218015e-23, 3.872589812596078491e+11
9.781607917041964598e-23, 2.978513996047081909e+11
1.140309520431035390e-22, 2.290668089940116577e+11
1.329337480518106140e-22, 1.761745457377048035e+11
1.549700415061211373e-22, 1.354924266417801361e+11
1.806592691198997314e-22, 1.042024698620833588e+11
2.106069741076194141e-22, 7.996085732596693420e+10
2.455190799721978298e-22, 6.149285319864199066e+10
2.862185304442568804e-22, 8.446474514308192139e+11
3.336646878073451126e-22, 6.497309608099843750e+11
3.889759468639831932e-22, 1.968077828201930078e+13
4.534560975960776476e-22, 1.517805052094252539e+13
5.286250579369789952e-22, 1.167927910182431055e+13
6.162547010841906233e-22, 9.006716715436009766e+12
7.184106218696126315e-22, 8.057927971230483398e+12
8.375008266988809979e-22, 6.200361766003279297e+12
9.763324947728996466e-22, 2.304939155895222812e+14
1.138178148559852146e-21, 1.774503224288935938e+14
1.326852793279672222e-21, 1.367088537721723438e+14
1.546803843723141989e-21, 1.054160386952187656e+14
1.803215958149154218e-21, 8.156383379334240625e+13
2.102133250391486635e-21, 6.491615576986445312e+13
2.450601760943344245e-21, 5.829872839645437500e+13
2.856835545330063135e-21, 6.701044402764408750e+14
3.330410294783934036e-21, 5.252281838435018750e+14
3.882489053223168623e-21, 4.165989226006923750e+14
4.526085351107068555e-21, 3.209621522615665625e+14
5.276369958725133131e-21, 2.482101061406378750e+14
6.151028489669875711e-21, 1.921640744087106875e+14
7.170678283876874558e-21, 1.663322028663445000e+14
8.359354396946227458e-21, 1.291038221420188750e+14
9.745076151424240088e-21, 1.031235424865698594e+14
1.136050760472003545e-20, 8.183969308566964062e+13
1.324372750212316441e-20, 7.322937813465978125e+13
1.543912686415697727e-20, 1.326799717402588000e+15
1.799845536608330213e-20, 1.031174218833696625e+15
2.098204117468286909e-20, 7.999582825041277500e+14
2.446021299614948793e-20, 6.187716916325087500e+14
2.851495785543101578e-20, 5.201832265609335000e+14
3.324185368398067586e-20, 4.224328544652084375e+14
3.875232227063295273e-20, 3.351016194317985625e+14
4.517625568187534888e-20, 2.744038216032761562e+14
5.266507806116157543e-20, 2.777396424796737188e+14
6.139531497961241988e-20, 2.428165311620924062e+14
7.157275447438468443e-20, 1.979160238002151250e+14
8.343729785817758715e-20, 1.659755598484842500e+14
9.726861464254266209e-20, 2.350996897890491250e+14
1.133927348721318637e-19, 2.413663607009509688e+14
1.321897342635523437e-19, 2.515401808013624688e+14
1.541026933019428484e-19, 3.379251577535924375e+14
1.796481414779605106e-19, 3.208030348891295625e+14
2.094282328554104639e-19, 4.178214966986111875e+14
2.441449399704524831e-19, 4.184078745165063750e+14
2.846166006391730325e-19, 3.586135662349287500e+14
3.317972077127720990e-19, 4.777383132888419375e+14
3.867988964760348480e-19, 5.481391367807230000e+14
4.509181597591821492e-19, 5.101883364764667500e+14
5.256664087023966689e-19, 4.513100929518946875e+14
6.128055995474868387e-19, 3.886287496178801250e+14
7.143897662469015009e-19, 4.090928452951776250e+14
8.328134378914969703e-19, 3.640049592331242500e+14
9.708680822465035426e-19, 3.598618301170661875e+14
1.131807905875562876e-18, 3.304467095699865625e+14
1.319426561885035469e-18, 3.072839158017173750e+14
1.538146573433785306e-18, 3.124436001179833125e+14
1.793123580888051368e-18, 2.992500326630685625e+14
2.090367869922119062e-18, 3.305162966162098750e+14
2.436886045209810308e-18, 3.274011930942009375e+14
2.840846189221018720e-18, 3.164988857155413750e+14
3.311770399225516642e-18, 3.097348095375648125e+14
3.860759240961861678e-18, 3.108235893029438750e+14
