# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 5.584239843461870000e+14
4.143897244964681628e-25, 4.290829353734735000e+14
4.838564324307219260e-25, 3.296996020761509375e+14
5.649682734992169490e-25, 2.533352381272358438e+14
6.596773932655885372e-25, 1.946582357783977188e+14
7.702631875067320117e-25, 1.495718836292618438e+14
8.993871611864740876e-25, 1.149283423994135000e+14
1.050156983777701776e-24, 1.300571310886691000e+16
1.226201282573591067e-24, 9.993355790245412000e+15
1.431756974063410238e-24, 8.575834765023337000e+15
1.671771235205982412e-24, 6.589517029005141000e+15
1.952020568777308980e-24, 5.063266243496769000e+15
2.279249828377506683e-24, 3.890522619440657000e+15
2.661334549057996954e-24, 2.989407533490895500e+15
3.107470490433956329e-24, 2.297006925659995500e+15
3.628394954078874531e-24, 1.764978764995840500e+15
4.236645201720489617e-24, 1.806347982080489750e+15
4.946860193674237954e-24, 1.387965266865314250e+15
5.776132909553281211e-24, 1.066487521305660375e+15
6.744421730674377979e-24, 8.194698096944915000e+14
7.875030785036159497e-24, 1.553601222411105250e+15
9.195170815492024403e-24, 1.193759207338612750e+15
1.073661406971731716e-23, 9.172630817669513750e+14
1.253645897342513110e-23, 7.048084370786745000e+14
1.463802299047425984e-23, 5.415621132602106875e+14
1.709188515862952929e-23, 4.161265772221832500e+14
1.995710339202826004e-23, 3.197441697466891875e+14
2.330263584757434168e-23, 2.456856631688127812e+14
2.720900056375714993e-23, 1.887804401078507812e+14
3.177021331497144511e-23, 1.450554912633489375e+14
3.709605032032140160e-23, 1.430930654117243500e+15
4.331469026427151886e-23, 1.099501351295603375e+15
5.057579921552993781e-23, 1.508965177377698250e+15
5.905413268993206007e-23, 3.323694588888746500e+15
6.895374154936251738e-23, 2.553867080324399500e+15
8.051288296148122256e-23, 1.962345483176700750e+15
9.400975461394818512e-23, 2.755985309935372500e+15
1.097691901903814394e-22, 2.117649491752739000e+15
1.281704772502877614e-22, 1.627163742039598000e+15
1.496564856684707842e-22, 2.064674861151598500e+15
1.747443263311006971e-22, 1.586458989672506250e+15
2.040377966148069427e-22, 8.679641286765111000e+15
2.382419121782715813e-22, 8.532357428070768000e+15
2.781798748077653061e-22, 6.828476217606336000e+15
3.248128846873889935e-22, 5.709804162214883000e+15
3.792632739224971983e-22, 4.387310715529713500e+15
4.428415180784706451e-22, 3.371130562056846000e+15
5.170777758305154950e-22, 2.590316028041243000e+15
6.037587157996679498e-22, 1.990352198353751250e+15
7.049705168986915043e-22, 1.677652509016784500e+15
8.231490770914376496e-22, 1.289077982473140000e+15
9.611386389565238025e-22, 5.624829650537925000e+15
1.122260243016206653e-21, 4.322017830688877000e+15
1.310391656319376225e-21, 3.320960684917148000e+15
1.530060699946438888e-21, 2.551766397735460500e+15
1.786554221579997443e-21, 1.960731356497300000e+15
2.086045335820364214e-21, 1.506590672156933250e+15
2.435741994580735524e-21, 1.779161079191372500e+15
2.844060463254972146e-21, 2.725412418633417000e+15
3.320827877766432378e-21, 2.094157832528852750e+15
3.877518757505402961e-21, 2.055472558316373000e+15
4.527531166390591196e-21, 1.579388105857662750e+15
5.286509168514232234e-21, 1.512888181675915250e+15
6.172719339017780476e-21, 1.183074094577945750e+15
7.207490391810404495e-21, 1.115533402902935875e+15
8.415726504796120160e-21, 8.571554311712145000e+14
9.826506696977815998e-21, 6.586228005748605000e+14
1.147378468284583961e-20, 5.060739017243981875e+14
1.339720604767883656e-20, 3.888580744289702500e+14
1.564306241098517039e-20, 2.987915431587558750e+14
1.826540554225283020e-20, 2.295860421422179062e+14
