# M_f [M_sun], P(M_f) [M_sun^-1]
3.987721560638940881e-27, 1.791484898816082261e+22
4.702936710332264339e-27, 1.353373998323021224e+22
5.546428797763657249e-27, 1.022403917860141479e+22
6.541204847829746202e-27, 7.723731744152224793e+21
7.714398295083749862e-27, 5.834879054501564645e+21
9.098009073196400450e-27, 4.407948736235891065e+21
1.072977644267010365e-26, 3.329976830675434078e+21
1.265420836398774804e-26, 2.515624921333430223e+21
1.492379549329821713e-26, 1.900424257171247596e+21
1.760044291349111345e-26, 1.435672037837230572e+21
2.075715865244657782e-26, 1.084575821661904699e+21
2.448004504435367172e-26, 8.193408257122853192e+20
2.887064725031394937e-26, 6.189695319320470487e+20
3.404872299629656096e-26, 4.675994036146231050e+20
4.015550907560367013e-26, 3.532471163455514214e+20
4.735757371271383177e-26, 2.668598895589890458e+20
5.585135986528166672e-26, 2.015988166928816210e+20
6.586854338704730070e-26, 1.522974582622185390e+20
7.768235220049380353e-26, 1.150528369839939420e+20
9.161501884051453189e-26, 8.691645579057718886e+19
1.080465696440958198e-25, 6.566087795163479245e+19
1.274251903192741097e-25, 4.960339045309856154e+19
1.502794506238218871e-25, 3.747279081852863283e+19
1.772327215930531224e-25, 2.830875145635307930e+19
2.090201785599383011e-25, 2.138579463959547494e+19
2.465088537405881345e-25, 1.615585954301472563e+19
2.907212853378810976e-25, 1.220491461609570099e+19
3.428634082143469684e-25, 9.220180479384706048e+18
4.043574468781436919e-25, 6.965368521326180352e+18
4.768807079686756228e-25, 5.261974941418857472e+18
5.624113303426774320e-25, 3.975149369246615552e+18
6.632822406365740018e-25, 3.003019338507342848e+18
7.822447859928718580e-25, 2.268625480395024640e+18
9.225437795918809429e-25, 1.713828980154246656e+18
1.088006005924887673e-24, 1.294708976249840384e+18
1.283144599871783126e-24, 9.780855339667811840e+17
1.513282146618761175e-24, 7.388929321599742720e+17
1.784695860079926789e-24, 5.581953175216955520e+17
2.104788799698208316e-24, 4.216876342182784000e+17
2.482291795721767236e-24, 3.185631539191447680e+17
2.927501590654174711e-24, 2.383200559776825344e+19
3.452561692406034464e-24, 1.800384514835894477e+19
4.071793599676902325e-24, 1.360097197008220160e+19
4.802087434045472186e-24, 1.027482946040686182e+19
5.663362633618571843e-24, 7.762101169877405696e+18
6.679111274083321220e-24, 5.863865167162271744e+18
7.877038836745526382e-24, 4.429846242161531904e+18
9.289819901093556915e-24, 1.026196267788431974e+19
1.095598937409960433e-23, 7.752380982495637504e+18
1.292099356536003555e-23, 5.856522069338746880e+18
1.523842977711869411e-23, 8.970496728665681920e+18
1.797150822013487714e-23, 1.411755522513569587e+19
2.119477613049998141e-23, 1.066508133795296666e+19
2.499615111427962741e-23, 1.085469485973746688e+19
2.947931918133280256e-23, 1.759435979687963238e+19
