# M_f [M_sun], P(M_f) [M_sun^-1]
3.355426787857400234e-25, 2.848634667871822080e+17
3.911652505143758048e-25, 2.193761161467448000e+17
4.560083199063886726e-25, 1.689427910671676480e+17
5.316003595677380045e-25, 1.301031147765565600e+17
6.197232154680015557e-25, 1.001938510878363360e+17
7.224541083875303900e-25, 7.715863082232920000e+16
8.422145979021678346e-25, 5.941903385891640800e+16
9.818276630783892592e-25, 8.850969307884131840e+17
1.144584245377741764e-24, 6.816805085065440000e+17
1.334320822311494521e-24, 5.250118061491039360e+17
1.555509840401867446e-24, 4.043484816901960320e+17
1.813365139124089360e-24, 3.114155224081415680e+17
2.113964850869085172e-24, 2.398406458272058560e+17
2.464394673909162856e-24, 1.847180629496195520e+17
2.872914895578817388e-24, 9.349305989539882240e+17
3.349155102719898938e-24, 7.200629100764299520e+17
3.904341169081111135e-24, 5.545741268271534720e+17
4.551559870189927640e-24, 5.638496073184944000e+17
5.306067363165150690e-24, 5.397686009266344960e+17
6.185648802917218596e-24, 4.157143482720151680e+17
7.211037571563583870e-24, 3.201712622519861760e+17
8.406404003081794177e-24, 2.465846209930541760e+17
9.799925123355945559e-24, 1.899099442355928320e+17
1.142444883545635492e-23, 1.462606450882413120e+17
1.331826820624366865e-23, 1.126436035453437280e+17
1.552602410568330836e-23, 1.457634846514337920e+17
1.809975747576928262e-23, 1.989092209995954880e+17
2.110013603300706197e-23, 1.531942309421295040e+17
2.459788432013121776e-23, 1.179850166175127040e+17
2.867545081605480075e-23, 1.364354864065258880e+17
3.342895140095494358e-23, 1.322779432873412640e+17
3.897043498760775480e-23, 1.193010921618029440e+17
4.543052472414611801e-23, 1.029229449366068160e+17
5.296149702633689900e-23, 7.926777318935260800e+16
6.174087101793673643e-23, 6.104902880085040800e+16
7.197559298895767048e-23, 6.860661919593704000e+16
8.390691450736218015e-23, 5.283834550257892000e+16
9.781607917041964598e-23, 4.406974524706419200e+16
1.140309520431035390e-22, 5.378086243784736800e+16
1.329337480518106140e-22, 4.142021090691057600e+16
1.549700415061211373e-22, 5.118935129911648000e+16
1.806592691198997314e-22, 4.739057858577384000e+16
