# M_f [M_sun], P(M_f) [M_sun^-1]
3.548962714117586356e-25, 7.921155890245988770e+11
4.143897244964681628e-25, 6.086473568854757080e+11
4.838564324307219260e-25, 4.676736705811397705e+11
5.649682734992169490e-25, 0.000000000000000000e+00
6.596773932655885372e-25, 3.815125807214619375e+14
7.702631875067320117e-25, 2.931473980465537500e+14
8.993871611864740876e-25, 2.252491826585534062e+14
1.050156983777701776e-24, 1.730774164343378750e+14
1.226201282573591067e-24, 1.329895705992161562e+14
1.431756974063410238e-24, 1.954474743614423000e+15
1.671771235205982412e-24, 1.501783203465516500e+15
1.952020568777308980e-24, 1.153943174543309500e+15
2.279249828377506683e-24, 1.595207285509954000e+15
2.661334549057996954e-24, 1.225728557123418250e+15
3.107470490433956329e-24, 9.418277545463676250e+14
3.628394954078874531e-24, 7.236834893653728750e+14
4.236645201720489617e-24, 5.560653635996223125e+14
4.946860193674237954e-24, 4.272706136578266875e+14
5.776132909553281211e-24, 3.283070466999678125e+14
6.744421730674377979e-24, 2.522652236485716562e+14
7.875030785036159497e-24, 1.938360559181703750e+14
9.195170815492024403e-24, 1.489401354276792812e+14
1.073661406971731716e-23, 2.609716397693573750e+14
1.253645897342513110e-23, 2.005259093098787500e+14
1.463802299047425984e-23, 1.540804983257615000e+14
1.709188515862952929e-23, 1.183926807564184844e+14
1.995710339202826004e-23, 9.097080428086589062e+13
2.330263584757434168e-23, 6.990032811685453906e+13
2.720900056375714993e-23, 5.371015359783536719e+13
3.177021331497144511e-23, 4.126991499496952344e+13
3.709605032032140160e-23, 3.171105963399542188e+13
4.331469026427151886e-23, 2.436620727795007031e+13
5.057579921552993781e-23, 1.872255496866305078e+13
5.905413268993206007e-23, 1.438607414588569141e+13
6.895374154936251738e-23, 1.105400035824808008e+13
8.051288296148122256e-23, 8.493694852469141602e+12
9.400975461394818512e-23, 6.526402199094420898e+12
1.097691901903814394e-22, 1.497572524179393750e+14
1.281704772502877614e-22, 4.007280206156006250e+14
1.496564856684707842e-22, 3.079121960949810625e+14
1.747443263311006971e-22, 2.365941876447436250e+14
2.040377966148069427e-22, 4.404674924503031875e+14
2.382419121782715813e-22, 8.276333594427271250e+14
2.781798748077653061e-22, 6.359385721916647500e+14
3.248128846873889935e-22, 7.211210383700008750e+14
3.792632739224971983e-22, 7.122168758521242500e+14
4.428415180784706451e-22, 5.472546242277838125e+14
5.170777758305154950e-22, 5.797152453435280000e+14
6.037587157996679498e-22, 5.407447046464730000e+14
7.049705168986915043e-22, 4.154984951604988750e+14
8.231490770914376496e-22, 5.065857208411831250e+14
9.611386389565238025e-22, 3.892513470232115000e+14
1.122260243016206653e-21, 2.990937267394567500e+14
1.310391656319376225e-21, 5.135401567809393125e+14
1.530060699946438888e-21, 3.945950103875119375e+14
1.786554221579997443e-21, 3.545170840856263750e+14
2.086045335820364214e-21, 2.934125671037543750e+14
2.435741994580735524e-21, 6.641732749538205000e+14
2.844060463254972146e-21, 5.103387863031433750e+14
3.320827877766432378e-21, 4.726241078192780000e+14
3.877518757505402961e-21, 3.669663048849243750e+14
4.527531166390591196e-21, 2.819703015935757500e+14
5.286509168514232234e-21, 2.294614561757272812e+14
6.172719339017780476e-21, 1.763140515646532812e+14
7.207490391810404495e-21, 1.354765427590441719e+14
8.415726504796120160e-21, 1.582894559020509375e+14
9.826506696977815998e-21, 2.621491065144070938e+14
1.147378468284583961e-20, 2.014306535569620312e+14
1.339720604767883656e-20, 1.794496957471538750e+14
1.564306241098517039e-20, 1.554373661986937500e+14
1.826540554225283020e-20, 1.194352736001220312e+14
2.132734824280151716e-20, 9.177191385050615625e+13
2.490258330249094031e-20, 1.029577434282974219e+14
2.907715708851964547e-20, 8.533160456266956250e+13
3.395154045186442600e-20, 6.556726858490417188e+13
3.964304679255259240e-20, 1.076396717218599844e+14
4.628865548014387372e-20, 8.281755884006954688e+13
5.404830858161902066e-20, 6.667156388072984375e+13
6.310876024011991138e-20, 5.122922929139221875e+13
7.368807134881180046e-20, 3.936361742593804688e+13
8.604085769467593336e-20, 3.024629490406887500e+13
1.004644178810475172e-19, 2.602462769899794141e+13
1.173058885116423403e-19, 5.598782678273750000e+13
1.369705988422578918e-19, 4.321065870115057031e+13
1.599318259743174272e-19, 3.320229215551892188e+13
1.867421853717413878e-19, 2.551204349845005859e+13
2.180469308404809387e-19, 2.087655242338777734e+13
2.545994840657364937e-19, 1.604116700824259375e+13
2.972795674613780767e-19, 1.628920646624732422e+13
3.471143767408655819e-19, 1.473660838555791992e+13
4.053033027769513840e-19, 1.795331664717584375e+13
4.732467977393484649e-19, 3.209385779299190625e+13
5.525800802412904732e-19, 2.693083401630210547e+13
6.452124906878854795e-19, 2.747880931955297266e+13
7.533734440045013057e-19, 2.699727220796810938e+13
8.796660857047170922e-19, 2.185828623162694141e+13
1.027129942656215233e-18, 1.746046244207853125e+13
1.199314076381365808e-18, 1.341630497192388672e+13
1.400362499497209111e-18, 2.332987798743105078e+13
1.635113911040676270e-18, 1.886300640602626172e+13
1.909218151042094247e-18, 1.532006886930117969e+13
2.229272177097818710e-18, 1.545795626139445508e+13
2.602978835535310412e-18, 1.230403576592708984e+13
3.039332248368829520e-18, 1.108282842461588477e+13
3.548834277815029616e-18, 1.042750759796923828e+13
4.143747278091769203e-18, 1.009494034537535156e+13
4.838389217561514039e-18, 7.824001897438906250e+12
5.649478274021606592e-18, 6.608789063992578125e+12
6.596535196630497956e-18, 6.822028544564490234e+12
7.702353118248023089e-18, 1.163205049421135938e+13
8.993546125318797605e-18, 1.115767156762058789e+13
1.050118978791184392e-17, 8.661687466273038086e+12
1.226156906576543473e-17, 8.166570977669161133e+12
1.431705159044002820e-17, 1.071699382699700781e+13
1.671710734114975772e-17, 1.024941006993769727e+13
1.951949925514886663e-17, 9.263661523218539062e+12
2.279167342748857588e-17, 8.076780623513394531e+12
2.661238235854156293e-17, 7.965264112651012695e+12
3.107358031653111131e-17, 6.832562237377676758e+12
3.628263643138282592e-17, 6.573221946465835938e+12
4.236491878316220397e-17, 6.183625402084585938e+12
4.946681167721122281e-17, 5.714441439157534180e+12
5.775923872374348195e-17, 5.335496683468391602e+12
6.744177651302501599e-17, 4.665394598773427734e+12
7.874745789132278381e-17, 4.233027507057172852e+12
9.194838043965264702e-17, 4.354622396220616211e+12
1.073622551364499575e-16, 4.217981578910496582e+12
1.253600528129948575e-16, 4.127117865207793457e+12
1.463749324313652303e-16, 3.780393937458135742e+12
1.709126660647493911e-16, 3.550103461412687988e+12
1.995638114815701302e-16, 3.125657081095632812e+12
2.330179252950391720e-16, 2.913540895528198730e+12
2.720801587507204238e-16, 2.647834891688937500e+12
3.176906355684263719e-16, 2.481335664429283691e+12
3.709470782113892190e-16, 2.243672496582213867e+12
4.331312271366239694e-16, 2.116100938835835938e+12
5.057396888673425339e-16, 2.037292896221493652e+12
5.905199553182014303e-16, 1.969982986405371826e+12
6.895124612624175452e-16, 2.040759697129554688e+12
8.050996921517614587e-16, 2.001028176743950928e+12
9.400635241836067561e-16, 1.972646112842340820e+12
1.097652176637426354e-15, 1.971515934833339844e+12
1.281658387844818299e-15, 2.036978455259248291e+12
1.496510696280042197e-15, 2.146443335025243652e+12
1.747380023663327855e-15, 2.274669248150137207e+12
2.040304125247816402e-15, 2.462911640171215332e+12
2.382332902476464009e-15, 2.720014349951127930e+12
2.781698075296781474e-15, 3.033209620108937500e+12
3.248011297693212803e-15, 3.420678868106228027e+12
3.792495484549381372e-15, 3.924394672306190918e+12
4.428254917260453338e-15, 4.512690242777357422e+12
5.170590628816885501e-15, 5.224552577119738281e+12
6.037368658836964984e-15, 6.015210527698029297e+12
7.049450041464057396e-15, 6.806910703591759766e+12
8.231192874789720272e-15, 7.581718655760542969e+12
9.611038555274013536e-15, 8.314828590676175781e+12
1.122219628626107451e-14, 8.972494589643501953e+12
1.310344233488316355e-14, 9.451118695339779297e+12
1.530005327333422790e-14, 9.702053781449056641e+12
1.786489566513994436e-14, 9.687460529840212891e+12
2.085969842226470568e-14, 9.440088241232218750e+12
2.435653845529604593e-14, 8.869114062038076172e+12
2.843957537234173260e-14, 8.107650737177236328e+12
3.320707697621301066e-14, 7.280068500115961914e+12
3.877378430820567309e-14, 6.423371700318771484e+12
4.527367315877207227e-14, 5.599880702648477539e+12
5.286317850727665526e-14, 4.829617411550714844e+12
6.172495949449466709e-14, 4.128825208216104492e+12
7.207229554069590400e-14, 3.499083148204555176e+12
8.415421941214433446e-14, 2.944120311473925781e+12
9.826151077522554733e-14, 2.457390950054438477e+12
1.147336944870571982e-13, 2.035544414692455322e+12
1.339672120527618000e-13, 1.672069231913757568e+12
1.564249629145710343e-13, 1.362841190053325195e+12
1.826474452061308525e-13, 1.101492423383962646e+12
2.132657641002332364e-13, 8.828227846258140869e+11
2.490168208261894248e-13, 7.017807761772299805e+11
2.907610479159630927e-13, 5.539283887885828857e+11
3.395031175191101639e-13, 4.345874690722721558e+11
3.964161211804007018e-13, 3.391816100983768921e+11
4.628698030228503768e-13, 2.636505737630622253e+11
5.404635258335326130e-13, 2.043426220464151917e+11
6.310647634578878334e-13, 1.580015900295609436e+11
7.368540459117346958e-13, 1.219735370966461029e+11
8.603774389199028282e-13, 9.402828095596124268e+10
1.004607820923932483e-12, 7.242329921121002197e+10
1.173016432332888215e-12, 5.573745065135262299e+10
1.369656419016833193e-12, 4.288000396979518890e+10
1.599260380711907916e-12, 3.297620902887565994e+10
1.867354272066798725e-12, 2.535405555035574341e+10
2.180390397624856683e-12, 1.949109282631895065e+10
2.545902701576178349e-12, 1.498184624592734718e+10
2.972688089689554387e-12, 1.151490449654564285e+10
3.471018147359357998e-12, 8.849486018313882828e+09
4.052886349255764866e-12, 6.800653168906198502e+09
4.732296710254901824e-12, 5.225882262103995323e+09
5.525600824706499793e-12, 4.015720652837553978e+09
6.451891405674874902e-12, 3.085688890497659206e+09
7.533461795592588149e-12, 2.370987786844837189e+09
8.796342507521895701e-12, 1.821824326734767675e+09
1.027092771014048268e-11, 1.399857011410341501e+09
1.199270673427324702e-11, 1.075624923694180489e+09
1.400311820638017854e-11, 8.264908251631265879e+08
1.635054736571430363e-11, 6.350606694133056402e+08
1.909149056791221305e-11, 4.879691843601335883e+08
2.229191500151088592e-11, 3.749467355622526407e+08
2.602884634213915806e-11, 2.881023208416058421e+08
3.039222255498335907e-11, 2.213726361573550701e+08
3.548705846160559437e-11, 1.700987478984707594e+08
4.143597316646138997e-11, 1.307008153259783238e+08
4.838214117152900590e-11, 1.004281532811280042e+08
5.649273820450414145e-11, 7.716718481290967762e+07
6.596296469244882950e-11, 5.929387544626641273e+07
7.702074371516900180e-11, 4.556034633064889163e+07
8.993220650552190613e-11, 3.500774981888748705e+07
1.050080975180062726e-10, 2.689932466044686735e+07
1.226112532185457416e-10, 2.066895675761893764e+07
1.431653345899774112e-10, 1.588165423551050201e+07
1.671650235213482158e-10, 1.220317717180075869e+07
1.951879284809018891e-10, 9.376701624768430367e+06
2.279084860105338701e-10, 7.204888702378317714e+06
2.661141926135866703e-10, 5.536106757798439823e+06
3.107245576942134500e-10, 4.253844757327710278e+06
3.628132336949815997e-10, 3.268577722775064409e+06
4.236338560460705138e-10, 2.511516272759541869e+06
4.946502148246891704e-10, 1.929803884765735595e+06
5.775714842760397404e-10, 1.482826559715026524e+06
6.743933580763869986e-10, 1.139377230792138260e+06
7.874460803542362888e-10, 8.754769501141449437e+05
9.194505284481391166e-10, 6.727007257694583386e+05
1.073583697163442448e-09, 5.168911259765737341e+05
1.253555160559284636e-09, 3.971698340564394603e+05
1.463696351497021232e-09, 3.051781493417792371e+05
1.709064807670563662e-09, 2.344933952738275984e+05
1.995565893042375731e-09, 1.801805027957103448e+05
2.330094924195305965e-09, 1.384474539884811093e+05
2.720703122202257710e-09, 1.063805306549989618e+05
3.176791384032336837e-09, 8.174088431167094677e+04
3.709336537054124696e-09, 6.280822371998094604e+04
4.331155521978282322e-09, 4.826070808193535777e+04
5.057213862417803832e-09, 3.708265917561590322e+04
5.904985845105158122e-09, 2.849364757444103816e+04
6.894875079342960596e-09, 2.189400576102714695e+04
8.050705557431865460e-09, 1.682295983404856088e+04
9.400295034589802586e-09, 1.292645944589045757e+04
1.097612452808688640e-08, 9.932458671164942643e+03
1.281612004865416702e-08, 7.631922336585480480e+03
1.496456537835437654e-08, 5.864231686153526425e+03
1.747316786304279705e-08, 4.505970044519047406e+03
2.040230287019851416e-08, 3.462306225894097224e+03
2.382246686290472952e-08, 2.660373706208884869e+03
2.781597406159238859e-08, 2.044183253088352558e+03
3.247893752766619457e-08, 1.570713566353960005e+03
3.792358234841027568e-08, 1.206908013144564620e+03
4.428094659536107595e-08, 9.273663681788352733e+02
5.170403506100775866e-08, 7.125715882705757167e+02
6.037150167584694934e-08, 5.475271473861768072e+02
7.049194923174215987e-08, 4.207099793204603770e+02
8.230894989445869222e-08, 3.232659525607434148e+02
9.610690733570848061e-08, 2.483917212334811779e+02
1.122179015705835130e-07, 1.908597160519156262e+02
1.310296812373474564e-07, 1.466531443237634846e+02
1.529949956724325201e-07, 1.126856191412999095e+02
1.786424913787846109e-07, 8.658558211808289684e+01
2.085894351364676277e-07, 6.653079015282648356e+01
2.435565699668571264e-07, 5.112105159806042565e+01
2.843854614938248337e-07, 3.928048364683570526e+01
3.320587521825467136e-07, 3.018240226279231564e+01
3.877238109214126943e-07, 2.319160178863089072e+01
4.527203471293543005e-07, 1.781999393398914222e+01
5.286126539864874544e-07, 1.369255362525824715e+01
6.172272567965604518e-07, 1.052109730865237225e+01
7.206968725768446012e-07, 8.084208364863512131e+00
8.415117388654812462e-07, 6.211751337965037756e+00
9.825795470937055071e-07, 4.772987320401374411e+00
1.147295422959284638e-06, 3.667463966397785047e+00
1.339623638041987889e-06, 2.817998783745842228e+00
1.564193019241686001e-06, 2.165286853527776056e+00
1.826408352289566483e-06, 1.663754088257472619e+00
2.132580460517753101e-06, 1.278386270495233124e+00
2.490078089536171985e-06, 9.822763193812594773e-01
2.907505253275528389e-06, 7.547483131755504671e-01
3.394908309642402768e-06, 5.799162684008755120e-01
3.964017749544815386e-06, 4.455751564580821000e-01
4.628530518505076199e-06, 3.423485194136747789e-01
5.404439665587494086e-06, 2.630284561684712030e-01
6.310419253411135426e-06, 2.020786931634019346e-01
7.368273793004429503e-06, 1.552458187994722461e-01
8.603463020199222133e-06, 1.192584396899575155e-01
1.004571464353174789e-05, 9.160553527279639840e-02
1.172973981085711423e-05, 7.035351447071076791e-02
1.369606851405000625e-05, 5.402068281079014378e-02
1.599202503775273322e-05, 4.146843655171924409e-02
1.867286692861943421e-05, 3.182101503858771052e-02
2.180311489700670832e-05, 2.440278232527826746e-02
2.545810565829488036e-05, 1.869995624509207532e-02
2.972580508658805780e-05, 1.431097867893603957e-02
3.470892531856226512e-05, 1.093527745425266172e-02
4.052739676050301244e-05, 8.333482132887818500e-03
4.732125449314459231e-05, 6.300704898801075954e-03
