# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 8.146635878295787811e+09, 6.445918496865112782e+08
1.078946722229829815e-11, 8.183925228215878487e+09, 6.811899060001227856e+08
1.135010815672316663e-11, 8.162432166352655411e+09, 7.147039547733315229e+08
1.193988104464273125e-11, 8.403956004924261093e+09, 7.740881549739819765e+08
1.256029963694872804e-11, 8.735832450000421524e+09, 8.464688913426929712e+08
1.321295634186573788e-11, 8.940600371984329224e+09, 9.113253402824769020e+08
1.389952631213352601e-11, 9.096447880000833511e+09, 9.753908087255998850e+08
1.462177174456718478e-11, 9.064841608763940811e+09, 1.022508923036737084e+09
1.538154640303035716e-11, 9.165418806854562759e+09, 1.087575129467790604e+09
1.618080037643067682e-11, 9.274219686729223251e+09, 1.157668995684336424e+09
1.702158508394953640e-11, 9.336805716676479340e+09, 1.226042199891887426e+09
1.790605854035294846e-11, 9.399681366476333618e+09, 1.298435276694132566e+09
1.883649089489798225e-11, 9.383489137119636536e+09, 1.363551706408296585e+09
1.981527025805096908e-11, 9.296138183561630249e+09, 1.421051809780925989e+09
2.084490883097288542e-11, 9.332079284136524200e+09, 1.500672248519457579e+09
2.192804935350449494e-11, 9.362760886601915359e+09, 1.583840552865000725e+09
2.306747188720071646e-11, 9.344236822823467255e+09, 1.662843828299646616e+09
2.426610095082419209e-11, 9.421666149078130722e+09, 1.763743565049628258e+09
2.552701302661247069e-11, 9.306047579040342331e+09, 1.832622904072822571e+09
2.685344445658503549e-11, 9.225869901145904541e+09, 1.911240253370867491e+09
2.824879974915704763e-11, 9.161722656995214462e+09, 1.996573122685027361e+09
2.971666031738025020e-11, 9.097680388083871841e+09, 2.085637773177588701e+09
3.126079367123955679e-11, 8.951858237980529785e+09, 2.158845384837523460e+09
3.288516308759833167e-11, 8.850486357624162674e+09, 2.245306443524170399e+09
3.459393778261224212e-11, 8.753300958801231384e+09, 2.336041189666584969e+09
3.639150361272071167e-11, 8.467770739500034332e+09, 2.377266573964697361e+09
3.828247433168220594e-11, 8.345134111841640472e+09, 2.464576361710464001e+09
4.027170343254586841e-11, 8.210439702334315300e+09, 2.550794949493429184e+09
4.236429660495408969e-11, 8.069715149203022957e+09, 2.637348495339692593e+09
4.456562483975033441e-11, 7.819477668381298065e+09, 2.688358930176938057e+09
4.688133821452655254e-11, 7.661864418508114815e+09, 2.771048798173893452e+09
4.931738039549364670e-11, 7.408802617501942635e+09, 2.818759020866027832e+09
5.188000389289609384e-11, 7.122732326166899681e+09, 2.850734506275791645e+09
5.457578610912699557e-11, 6.902803193369488716e+09, 2.906269446614435673e+09
5.741164622073268011e-11, 6.691807740424785614e+09, 2.963835448981095791e+09
6.039486293763794275e-11, 6.421958269214503288e+09, 2.992115635036998272e+09
6.353309318517436562e-11, 6.204325462623269081e+09, 3.040925222720481873e+09
6.683439175686149603e-11, 5.917037458670137405e+09, 3.050814324432008266e+09
7.030723198838341702e-11, 5.620254754979367256e+09, 3.048370597016816139e+09
7.396052750582374558e-11, 5.365509071112759590e+09, 3.061420708471489429e+09
7.780365510398024982e-11, 5.131898296576763153e+09, 3.080281869633858681e+09
8.184647881347885976e-11, 4.907651138480470657e+09, 3.098749401138783932e+09
8.609937521845998927e-11, 4.617695279071259499e+09, 3.067174009862246513e+09
9.057326008981998694e-11, 4.389193019269936562e+09, 3.066890120561405659e+09
