# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 3.098784992661182404e+10, 5.871465689744332314e+09
1.078946722229829815e-11, 3.023878457083102798e+10, 6.027253864211535454e+09
1.135010815672316663e-11, 2.939523508433288574e+10, 6.163567608819534302e+09
1.193988104464273125e-11, 2.947781885947977829e+10, 6.502055157809844971e+09
1.256029963694872804e-11, 2.932022622762952805e+10, 6.803348240426171303e+09
1.321295634186573788e-11, 2.889685406766121292e+10, 7.053522154896369934e+09
1.389952631213352601e-11, 2.868349484269878006e+10, 7.365252246428386688e+09
1.462177174456718478e-11, 2.795916808724890137e+10, 7.552311586068631172e+09
1.538154640303035716e-11, 2.666164491770478821e+10, 7.576047586249629974e+09
1.618080037643067682e-11, 2.507984292151153946e+10, 7.496881917541207314e+09
1.702158508394953640e-11, 2.398158239411698151e+10, 7.541084449632713318e+09
1.790605854035294846e-11, 2.353884887131029892e+10, 7.786482367747173309e+09
1.883649089489798225e-11, 2.296551657077297974e+10, 7.991575820570521355e+09
1.981527025805096908e-11, 2.251889440427758408e+10, 8.243343515174784660e+09
2.084490883097288542e-11, 2.172247404157736206e+10, 8.364996338992202759e+09
2.192804935350449494e-11, 2.152711718979367828e+10, 8.720522059685789108e+09
2.306747188720071646e-11, 2.085352703072892761e+10, 8.886613218141870499e+09
2.426610095082419209e-11, 2.006669459930403519e+10, 8.995654291243532181e+09
2.552701302661247069e-11, 1.916004035901265335e+10, 9.035527255258970261e+09
2.685344445658503549e-11, 1.806665567618147278e+10, 8.962620792068454742e+09
2.824879974915704763e-11, 1.678306370928897285e+10, 8.758478735629186630e+09
2.971666031738025020e-11, 1.577415059968758202e+10, 8.659715246456493378e+09
3.126079367123955679e-11, 1.505995892010447121e+10, 8.697243270683696747e+09
3.288516308759833167e-11, 1.420118697571250153e+10, 8.627454719651996613e+09
3.459393778261224212e-11, 1.348113193322230530e+10, 8.615582106054079056e+09
3.639150361272071167e-11, 1.279836071101758957e+10, 8.604246582266963959e+09
3.828247433168220594e-11, 1.203252236625696564e+10, 8.509723061270532608e+09
4.027170343254586841e-11, 1.149148754938985252e+10, 8.549392584046708107e+09
4.236429660495408969e-11, 1.076358819125309753e+10, 8.423961174310843468e+09
4.456562483975033441e-11, 9.788793326431041718e+09, 8.059140555130702019e+09
4.688133821452655254e-11, 9.040397387610660553e+09, 7.829740975735691071e+09
4.931738039549364670e-11, 8.221562172066340446e+09, 7.490564322810495377e+09
5.188000389289609384e-11, 7.471745561743447304e+09, 7.161147216190937996e+09
5.457578610912699557e-11, 6.834947682848324776e+09, 6.891219365714685440e+09
5.741164622073268011e-11, 6.287975970177057266e+09, 6.669175168455201149e+09
6.039486293763794275e-11, 5.740454734747353554e+09, 6.404834882647949219e+09
6.353309318517436562e-11, 5.222319754051953316e+09, 6.129506518309374809e+09
6.683439175686149603e-11, 4.711509204375630379e+09, 5.817314284140629768e+09
7.030723198838341702e-11, 4.204855480267168045e+09, 5.461526077149691582e+09
7.396052750582374558e-11, 3.764393875117169380e+09, 5.143496797567270279e+09
7.780365510398024982e-11, 3.476235127445640564e+09, 4.996582494889847755e+09
8.184647881347885976e-11, 3.029533774366909027e+09, 4.580788555251679420e+09
8.609937521845998927e-11, 2.733315289061621666e+09, 4.347651594545736313e+09
9.057326008981998694e-11, 2.453779242941623211e+09, 4.105831070335030556e+09
9.527961640236521090e-11, 2.183715667571792603e+09, 3.843813379514950752e+09
1.002305238077900488e-10, 1.925511998614172220e+09, 3.565439576454726696e+09
1.054386896391260237e-10, 1.696014745073491812e+09, 3.303673779813290119e+09
