# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 1.229512166899997950e+09, 3.327315236150871962e+06
1.078946722229829815e-11, 1.222587987931249142e+09, 3.480497749783404171e+06
1.135010815672316663e-11, 1.243255031341820717e+09, 3.723244692997910548e+06
1.193988104464273125e-11, 1.247838520014752150e+09, 3.931152292986261193e+06
1.256029963694872804e-11, 1.259214493655506372e+09, 4.173124373418861069e+06
1.321295634186573788e-11, 1.270108625723946571e+09, 4.427949107901183888e+06
1.389952631213352601e-11, 1.283152045136831284e+09, 4.705871063484238461e+06
1.462177174456718478e-11, 1.301222145903663874e+09, 5.020113138952889480e+06
1.538154640303035716e-11, 1.318827198332764626e+09, 5.352419173833420500e+06
1.618080037643067682e-11, 1.331426153939496279e+09, 5.684332567120120861e+06
1.702158508394953640e-11, 1.341428110696826696e+09, 6.024624441136559471e+06
1.790605854035294846e-11, 1.362704227016024590e+09, 6.438198610228959471e+06
1.883649089489798225e-11, 1.379021226133673668e+09, 6.853839315938954242e+06
1.981527025805096908e-11, 1.389683768361886024e+09, 7.265728465847599320e+06
2.084490883097288542e-11, 1.402509614709280729e+09, 7.713815508209627122e+06
2.192804935350449494e-11, 1.418617493469757318e+09, 8.207841190379986539e+06
2.306747188720071646e-11, 1.432721610781214237e+09, 8.720184851270491257e+06
2.426610095082419209e-11, 1.437905741903621197e+09, 9.206499965395864099e+06
2.552701302661247069e-11, 1.453945422780933380e+09, 9.792926935893313959e+06
2.685344445658503549e-11, 1.467294624330863953e+09, 1.039637705507716723e+07
2.824879974915704763e-11, 1.483230362076116800e+09, 1.105537818018754385e+07
2.971666031738025020e-11, 1.495880879910916328e+09, 1.172903612719307467e+07
3.126079367123955679e-11, 1.514979909089769840e+09, 1.249604323581207171e+07
3.288516308759833167e-11, 1.528354946357197762e+09, 1.326142589217112586e+07
3.459393778261224212e-11, 1.545718410008571386e+09, 1.410901657743910700e+07
3.639150361272071167e-11, 1.544640492526707411e+09, 1.483181047505472042e+07
3.828247433168220594e-11, 1.562178052185356379e+09, 1.577966181114469096e+07
4.027170343254586841e-11, 1.577577415243650436e+09, 1.676325179087106511e+07
4.236429660495408969e-11, 1.581846961798729181e+09, 1.768204550492542982e+07
4.456562483975033441e-11, 1.591041761877414942e+09, 1.870897923300794140e+07
4.688133821452655254e-11, 1.597957219899154902e+09, 1.976669955316042155e+07
4.931738039549364670e-11, 1.606537342748738050e+09, 2.090549055321316421e+07
5.188000389289609384e-11, 1.610789191056076527e+09, 2.205001032053470984e+07
5.457578610912699557e-11, 1.611734803995804071e+09, 2.320941829421527684e+07
5.741164622073268011e-11, 1.614424540063941479e+09, 2.445620314714421332e+07
6.039486293763794275e-11, 1.616165743176937580e+09, 2.575477872355476767e+07
6.353309318517436562e-11, 1.613935890061187267e+09, 2.705570666410860047e+07
6.683439175686149603e-11, 1.606033717643335819e+09, 2.832226439566438273e+07
7.030723198838341702e-11, 1.605391841913477898e+09, 2.978208605941960216e+07
7.396052750582374558e-11, 1.594923936844914913e+09, 3.112539173856280372e+07
7.780365510398024982e-11, 1.582913419678507805e+09, 3.249621949056841806e+07
8.184647881347885976e-11, 1.575408869701102018e+09, 3.402278307587098330e+07
8.609937521845998927e-11, 1.564007065703153372e+09, 3.553171560688109696e+07
9.057326008981998694e-11, 1.551443104468976736e+09, 3.707782791782519221e+07
9.527961640236521090e-11, 1.535832582350099802e+09, 3.861209111256419867e+07
1.002305238077900488e-10, 1.517665007847059488e+09, 4.013806515479157120e+07
1.054386896391260237e-10, 1.493157871634038448e+09, 4.154199637180811912e+07
1.109174815262403146e-10, 1.474075879441005945e+09, 4.314223658850267529e+07
1.166809617060962959e-10, 1.448783226209182739e+09, 4.460540303239611536e+07
1.227439231158405997e-10, 1.422346852003847122e+09, 4.606710083644808829e+07
1.291219273613533562e-10, 1.395888078547163486e+09, 4.755950639312943071e+07
1.358313446587154174e-10, 1.369762985226537228e+09, 4.909458720382674783e+07
1.428893958511103824e-10, 1.339709295498852730e+09, 5.051266459893061221e+07
1.503141966090024084e-10, 1.306598618807486296e+09, 5.182430696732151508e+07
1.581248039270385857e-10, 1.275333000211687565e+09, 5.321285854373307526e+07
1.663412650370169698e-10, 1.241064308452443123e+09, 5.447397271364430338e+07
1.749846688624654551e-10, 1.205723745583535194e+09, 5.567297636800830811e+07
1.840772001468954491e-10, 1.173493787069235802e+09, 5.700059387245459855e+07
1.936421963946606826e-10, 1.139927492039538145e+09, 5.824757850365920365e+07
2.037042077705718970e-10, 1.101665692033978224e+09, 5.921785077355857193e+07
2.142890601120060623e-10, 1.064679537539737701e+09, 6.020381397441391647e+07
2.254239212152432687e-10, 1.025610849055546045e+09, 6.100846584568793327e+07
2.371373705661655168e-10, 9.901141176501617432e+08, 6.195769830716755986e+07
2.494594726942950709e-10, 9.525607561048516035e+08, 6.270546082571426034e+07
2.624218543384439019e-10, 9.180886431517485380e+08, 6.357700826906298846e+07
2.760577856220344782e-10, 8.832206544058617353e+08, 6.434097356244688481e+07
2.904022654464451017e-10, 8.457314404856163263e+08, 6.481178448174447566e+07
3.054921113215515548e-10, 8.105745848267509937e+08, 6.534580885554838926e+07
3.213660538640321425e-10, 7.758696217866933346e+08, 6.579864115067701787e+07
3.380648362059815113e-10, 7.410439314376488924e+08, 6.611130516629153490e+07
3.556313185689847556e-10, 7.075467242940716743e+08, 6.640345656364552677e+07
3.741105882720528966e-10, 6.736646911916991472e+08, 6.650944596014986187e+07
3.935500754557772142e-10, 6.403435659613378048e+08, 6.650538082537638396e+07
4.139996748197304272e-10, 6.071047819124029875e+08, 6.633027463770835102e+07
4.355118736855688095e-10, 5.762025343020030260e+08, 6.622591116797899455e+07
4.581418867145339649e-10, 5.459446532865602970e+08, 6.600947404927549511e+07
4.819477976251271319e-10, 5.168264720910523534e+08, 6.573664514122765511e+07
5.069907082747033666e-10, 4.885380983928311467e+08, 6.536821418679169565e+07
