# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 9.923014862184433937e+08, 1.610071564937568083e+07
1.078946722229829815e-11, 1.028609201385479212e+09, 1.755707217120958120e+07
1.135010815672316663e-11, 1.075130019185858250e+09, 1.930469020199046284e+07
1.193988104464273125e-11, 1.104614600046573400e+09, 2.086473123238443956e+07
1.256029963694872804e-11, 1.091023924113123894e+09, 2.167886123521811888e+07
1.321295634186573788e-11, 1.112722440488941193e+09, 2.325890277207622677e+07
1.389952631213352601e-11, 1.104840984915109396e+09, 2.429418574491805956e+07
1.462177174456718478e-11, 1.145243537594469070e+09, 2.649113866263062879e+07
1.538154640303035716e-11, 1.177564777495351791e+09, 2.865416770571278036e+07
1.618080037643067682e-11, 1.172049188821808100e+09, 3.000192055909786746e+07
1.702158508394953640e-11, 1.178003904117359161e+09, 3.172124223144023120e+07
1.790605854035294846e-11, 1.209386692260312319e+09, 3.425854332391678542e+07
1.883649089489798225e-11, 1.185495057653053045e+09, 3.532675276341732591e+07
1.981527025805096908e-11, 1.183111115107079506e+09, 3.708768991249579936e+07
2.084490883097288542e-11, 1.226829151369789839e+09, 4.045652976458390802e+07
2.192804935350449494e-11, 1.272287191430895090e+09, 4.413569835570538044e+07
2.306747188720071646e-11, 1.280105142508159399e+09, 4.671440408541207761e+07
2.426610095082419209e-11, 1.287846393688912630e+09, 4.943898852373655885e+07
2.552701302661247069e-11, 1.313808925197072029e+09, 5.305643633025147021e+07
2.685344445658503549e-11, 1.329132416751080275e+09, 5.646437101767403632e+07
2.824879974915704763e-11, 1.323203070763144016e+09, 5.913343944771493226e+07
2.971666031738025020e-11, 1.337415388095606804e+09, 6.287433027442929894e+07
3.126079367123955679e-11, 1.335421584912967443e+09, 6.604286205143574625e+07
3.288516308759833167e-11, 1.365777604743527889e+09, 7.105390349535886943e+07
3.459393778261224212e-11, 1.392752423458324909e+09, 7.622235486355657876e+07
