# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 1.915840313597342730e+09, 1.091015328593553975e+07
1.078946722229829815e-11, 1.954756210995295525e+09, 1.171020143344572559e+07
1.135010815672316663e-11, 2.032474916179640293e+09, 1.280846803791337460e+07
1.193988104464273125e-11, 2.067772337410212278e+09, 1.370802721404713020e+07
1.256029963694872804e-11, 2.060995807319399595e+09, 1.437307197115214542e+07
1.321295634186573788e-11, 2.104306044629236221e+09, 1.543766679653498903e+07
1.389952631213352601e-11, 2.103727915074237823e+09, 1.623538576741820201e+07
1.462177174456718478e-11, 2.126794929864119291e+09, 1.726628701159813628e+07
1.538154640303035716e-11, 2.132932396893059015e+09, 1.821590457517783344e+07
1.618080037643067682e-11, 2.147466953775545359e+09, 1.929303134132865444e+07
1.702158508394953640e-11, 2.170989966106562614e+09, 2.051786378482560813e+07
1.790605854035294846e-11, 2.171329616009575367e+09, 2.158740531182440370e+07
1.883649089489798225e-11, 2.167979227788702965e+09, 2.267410685128911585e+07
1.981527025805096908e-11, 2.196376336831039429e+09, 2.416474578205443919e+07
2.084490883097288542e-11, 2.209775788937489510e+09, 2.557549858162170649e+07
2.192804935350449494e-11, 2.241205616848608494e+09, 2.728714164879671112e+07
2.306747188720071646e-11, 2.279140131022589207e+09, 2.919092383602637798e+07
2.426610095082419209e-11, 2.298749855072679996e+09, 3.097198349660152197e+07
2.552701302661247069e-11, 2.339464128394523621e+09, 3.315844938632218540e+07
2.685344445658503549e-11, 2.339097352027673244e+09, 3.487599970215789229e+07
2.824879974915704763e-11, 2.339356976252764702e+09, 3.669234261142563820e+07
2.971666031738025020e-11, 2.357080849906455040e+09, 3.889144007404764742e+07
3.126079367123955679e-11, 2.367741040513921738e+09, 4.109740325532634556e+07
3.288516308759833167e-11, 2.385558260040077686e+09, 4.355829531603024155e+07
3.459393778261224212e-11, 2.395662191515942097e+09, 4.601581612794665247e+07
3.639150361272071167e-11, 2.410374668198876858e+09, 4.870424815940427035e+07
3.828247433168220594e-11, 2.415893758697560310e+09, 5.135241806648834795e+07
4.027170343254586841e-11, 2.436301024572963238e+09, 5.447720681811251491e+07
4.236429660495408969e-11, 2.415592677291623592e+09, 5.682094456217955798e+07
4.456562483975033441e-11, 2.390800761299706459e+09, 5.916011846110191196e+07
4.688133821452655254e-11, 2.387491836029712200e+09, 6.214819170044150203e+07
4.931738039549364670e-11, 2.374073840528066635e+09, 6.501024841688967496e+07
5.188000389289609384e-11, 2.366513041357954025e+09, 6.817066939516645670e+07
5.457578610912699557e-11, 2.359556203749320984e+09, 7.150231305331242085e+07
5.741164622073268011e-11, 2.374969664748473167e+09, 7.570925929036644101e+07
6.039486293763794275e-11, 2.364785916060318470e+09, 7.930197199601952732e+07
6.353309318517436562e-11, 2.346479977497626305e+09, 8.277711759770739079e+07
6.683439175686149603e-11, 2.323826039481491566e+09, 8.623794875857849419e+07
7.030723198838341702e-11, 2.296208180744725227e+09, 8.964116489199155569e+07
7.396052750582374558e-11, 2.263806047217406273e+09, 9.296874089808189869e+07
7.780365510398024982e-11, 2.216378911442710876e+09, 9.575100094915090501e+07
8.184647881347885976e-11, 2.168452318876205444e+09, 9.854868927337431908e+07
8.609937521845998927e-11, 2.123238484137663841e+09, 1.015082874615951031e+08
9.057326008981998694e-11, 2.084587602336772442e+09, 1.048394450244543552e+08
9.527961640236521090e-11, 2.037846799131870985e+09, 1.078147124715271741e+08
1.002305238077900488e-10, 1.986168974613989115e+09, 1.105413403552546799e+08
1.054386896391260237e-10, 1.932395644262813330e+09, 1.131375379256198257e+08
1.109174815262403146e-10, 1.871647310845445871e+09, 1.152754802960636616e+08
1.166809617060962959e-10, 1.814000331659498930e+09, 1.175310611063361317e+08
1.227439231158405997e-10, 1.773891581306653023e+09, 1.209051666207459271e+08
1.291219273613533562e-10, 1.720534680993735552e+09, 1.233626926589737386e+08
1.358313446587154174e-10, 1.663343185351862192e+09, 1.254599269461375922e+08
1.428893958511103824e-10, 1.621142399753202200e+09, 1.286314700469278991e+08
1.503141966090024084e-10, 1.578542899243188620e+09, 1.317605834829669446e+08
1.581248039270385857e-10, 1.514752824133592606e+09, 1.330068786885582805e+08
1.663412650370169698e-10, 1.455770472635718584e+09, 1.344709938670774102e+08
1.749846688624654551e-10, 1.395497361267960787e+09, 1.356026825060696304e+08
1.840772001468954491e-10, 1.343242789286102772e+09, 1.373085296517664492e+08
1.936421963946606826e-10, 1.291185252993613005e+09, 1.388466761121839583e+08
2.037042077705718970e-10, 1.235828527818555832e+09, 1.398006795396735072e+08
2.142890601120060623e-10, 1.178846001273451090e+09, 1.402854054249784648e+08
2.254239212152432687e-10, 1.126335047714400291e+09, 1.410027528992200494e+08
2.371373705661655168e-10, 1.066650686302522302e+09, 1.404711136005486548e+08
2.494594726942950709e-10, 1.013749779042967439e+09, 1.404431770780352652e+08
2.624218543384439019e-10, 9.600620831019053459e+08, 1.399182995751577318e+08
2.760577856220344782e-10, 9.109769839337979555e+08, 1.396652006669630110e+08
2.904022654464451017e-10, 8.644230481608082056e+08, 1.394161350177282095e+08
3.054921113215515548e-10, 8.199704443134169579e+08, 1.391204908596907556e+08
3.213660538640321425e-10, 7.747767129218337536e+08, 1.382852902823098302e+08
3.380648362059815113e-10, 7.349116264675601721e+08, 1.379880279137797058e+08
3.556313185689847556e-10, 6.953579540922393799e+08, 1.373478723393670619e+08
3.741105882720528966e-10, 6.511338375573176146e+08, 1.352979974879792333e+08
3.935500754557772142e-10, 6.188141903715451956e+08, 1.352662209569312632e+08
4.139996748197304272e-10, 5.800040174424287081e+08, 1.333731776445756406e+08
4.355118736855688095e-10, 5.477585094118372202e+08, 1.325059774834179580e+08
4.581418867145339649e-10, 5.136409124072829485e+08, 1.307119355237669796e+08
4.819477976251271319e-10, 4.812116493724021912e+08, 1.288254154778807163e+08
5.069907082747033666e-10, 4.530645164315426946e+08, 1.275956181182447225e+08
5.333348954876202279e-10, 4.277330389597692490e+08, 1.267241341731212437e+08
5.610479760324701077e-10, 3.988211863849570155e+08, 1.243014353935831636e+08
5.902010801718442306e-10, 3.725993206438825130e+08, 1.221664517348170877e+08
6.208690342300637909e-10, 3.477253123443644047e+08, 1.199385538967100084e+08
6.531305526474729939e-10, 3.254100509224359393e+08, 1.180773833433980793e+08
6.870684400142317101e-10, 3.044069900026973486e+08, 1.161995167436704338e+08
7.227698036021688210e-10, 2.865084706096310019e+08, 1.150540299452526569e+08
7.603262769401807175e-10, 2.677757844335509241e+08, 1.131230479689584225e+08
7.998342550070276743e-10, 2.491790633521858454e+08, 1.107407797949678749e+08
8.413951416451946904e-10, 2.322349245843230784e+08, 1.085776987981082946e+08
8.851156098308355951e-10, 2.161750864704166055e+08, 1.063253209296449274e+08
9.311078754678309670e-10, 2.010201649445604086e+08, 1.040134682407457978e+08
9.794899854086980821e-10, 1.868698826195359528e+08, 1.017206527144208848e+08
1.030386120441616095e-09, 1.727495833502078652e+08, 9.892538254759645462e+07
1.083926914021204014e-09, 1.602627137708133459e+08, 9.654842905369278789e+07
1.140249787561167319e-09, 1.490789215400283337e+08, 9.448265583406908810e+07
