# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 6.816885003444765508e+07, 1.074277838458001788e+05
1.078946722229829815e-11, 6.620764330689503253e+07, 1.096529515618051955e+05
1.135010815672316663e-11, 6.416726168604107946e+07, 1.118238670294705225e+05
1.193988104464273125e-11, 6.048985330158269405e+07, 1.109122257126459299e+05
1.256029963694872804e-11, 5.720500064029344171e+07, 1.103574932887359319e+05
1.321295634186573788e-11, 5.394457684377101064e+07, 1.094909072343871521e+05
1.389952631213352601e-11, 5.101843879982811958e+07, 1.089470885789078748e+05
1.462177174456718478e-11, 4.942786280879807472e+07, 1.110515484550176043e+05
1.538154640303035716e-11, 4.825701866131442785e+07, 1.140704886968661594e+05
1.618080037643067682e-11, 4.567718894016710669e+07, 1.135934343997130636e+05
1.702158508394953640e-11, 4.418493484381555766e+07, 1.156039144061548723e+05
1.790605854035294846e-11, 4.338159774114459008e+07, 1.193322783908135607e+05
1.883649089489798225e-11, 4.188262229585911334e+07, 1.212141495511878747e+05
1.981527025805096908e-11, 4.124738203486452997e+07, 1.255534046735325537e+05
2.084490883097288542e-11, 3.976779343980125338e+07, 1.273598080004887161e+05
2.192804935350449494e-11, 3.750610416111335158e+07, 1.260692611853124108e+05
2.306747188720071646e-11, 3.637453201604905725e+07, 1.286728153086229577e+05
2.426610095082419209e-11, 3.563722795645972341e+07, 1.326678926672496309e+05
2.552701302661247069e-11, 3.428482112058801204e+07, 1.343060272271622089e+05
2.685344445658503549e-11, 3.372598000927288830e+07, 1.390125518628042191e+05
2.824879974915704763e-11, 3.227589784591930732e+07, 1.399812125717850577e+05
2.971666031738025020e-11, 3.065101073561579734e+07, 1.398690150198384363e+05
3.126079367123955679e-11, 3.028148741573116183e+07, 1.453976329380827083e+05
3.288516308759833167e-11, 2.838129327101694420e+07, 1.433742121287032787e+05
3.459393778261224212e-11, 2.766466078314888850e+07, 1.470411646239193506e+05
3.639150361272071167e-11, 2.703683013290280849e+07, 1.511796004087227921e+05
3.828247433168220594e-11, 2.598235571384242550e+07, 1.528524646492391475e+05
4.027170343254586841e-11, 2.567174897341247275e+07, 1.588951538599747291e+05
4.236429660495408969e-11, 2.456407883032413945e+07, 1.599550302432859316e+05
4.456562483975033441e-11, 2.410423459790322557e+07, 1.648726914888218162e+05
4.688133821452655254e-11, 2.386047011540309340e+07, 1.714361943648652814e+05
4.931738039549364670e-11, 2.333877108263551444e+07, 1.764848875958468998e+05
5.188000389289609384e-11, 2.259166610657909885e+07, 1.797814673948363634e+05
5.457578610912699557e-11, 2.221152837162207067e+07, 1.860115270233268966e+05
5.741164622073268011e-11, 2.117274574907479808e+07, 1.865744909537205822e+05
6.039486293763794275e-11, 2.030813779694414884e+07, 1.883010163306716131e+05
6.353309318517436562e-11, 1.964235115348422155e+07, 1.916365853484230756e+05
6.683439175686149603e-11, 1.897823649628097564e+07, 1.948187538967162254e+05
