# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.025651926251407861e-11, 7.672561696678897738e+07, 3.048326016794038151e+04
1.078946722229829815e-11, 7.689120190584899485e+07, 3.213646357419862761e+04
1.135010815672316663e-11, 7.735205385813984275e+07, 3.400898852936894400e+04
1.193988104464273125e-11, 7.776739326608929038e+07, 3.596829589586324437e+04
1.256029963694872804e-11, 7.718451974724228680e+07, 3.755372354569057643e+04
1.321295634186573788e-11, 7.939450168802273273e+07, 4.063625985002789821e+04
1.389952631213352601e-11, 8.006808158116242290e+07, 4.311051922899235797e+04
1.462177174456718478e-11, 8.230839499039958417e+07, 4.661959755958995083e+04
1.538154640303035716e-11, 8.374745764900708199e+07, 4.989954716871156415e+04
1.618080037643067682e-11, 8.240694275258693099e+07, 5.165226742362044024e+04
1.702158508394953640e-11, 8.314704206259416044e+07, 5.482429305654299969e+04
1.790605854035294846e-11, 8.541212349818828702e+07, 5.924428156114381272e+04
1.883649089489798225e-11, 8.665609463862821460e+07, 6.323051914519137063e+04
1.981527025805096908e-11, 8.633667484999266267e+07, 6.627102800224685052e+04
2.084490883097288542e-11, 8.827030255598761141e+07, 7.127607854120852426e+04
2.192804935350449494e-11, 9.155240539218580723e+07, 7.776779339862846246e+04
2.306747188720071646e-11, 9.145432557395060360e+07, 8.172127740782796172e+04
2.426610095082419209e-11, 9.301115527428075671e+07, 8.743128422307540313e+04
2.552701302661247069e-11, 9.294668259729667008e+07, 9.191082919552431849e+04
2.685344445658503549e-11, 9.287699085039873421e+07, 9.661441946880912292e+04
2.824879974915704763e-11, 9.462921942655013502e+07, 1.035523944240911951e+05
2.971666031738025020e-11, 9.508573127180688083e+07, 1.094589731565100083e+05
3.126079367123955679e-11, 9.565117989609509706e+07, 1.158317293295379786e+05
3.288516308759833167e-11, 9.660763026515464485e+07, 1.230693451030895521e+05
3.459393778261224212e-11, 9.720338472654789686e+07, 1.302630266766513960e+05
3.639150361272071167e-11, 9.954660495502105355e+07, 1.403355222353651479e+05
3.828247433168220594e-11, 1.009701721262806505e+08, 1.497392714888184273e+05
4.027170343254586841e-11, 1.041317749884631038e+08, 1.624528831046713749e+05
4.236429660495408969e-11, 1.047599835614230335e+08, 1.719258523466013721e+05
4.456562483975033441e-11, 1.064174943578850925e+08, 1.837217145667759469e+05
4.688133821452655254e-11, 1.055351676867370754e+08, 1.916666047135154367e+05
4.931738039549364670e-11, 1.072097013178613931e+08, 2.048260586484374653e+05
5.188000389289609384e-11, 1.091001166344754398e+08, 2.192695430612904602e+05
5.457578610912699557e-11, 1.088135854752246886e+08, 2.300585057502189593e+05
5.741164622073268011e-11, 1.082104081320373267e+08, 2.406724583129001840e+05
6.039486293763794275e-11, 1.102169214934374988e+08, 2.578742239667232498e+05
6.353309318517436562e-11, 1.111239272256789058e+08, 2.735077627355557051e+05
6.683439175686149603e-11, 1.120062872088187039e+08, 2.900060251097832806e+05
7.030723198838341702e-11, 1.145490847729998380e+08, 3.120031069774822099e+05
7.396052750582374558e-11, 1.157260374889974892e+08, 3.315898230835250579e+05
7.780365510398024982e-11, 1.176209689026356936e+08, 3.545339454693809384e+05
8.184647881347885976e-11, 1.194512771385148019e+08, 3.787625080338743865e+05
8.609937521845998927e-11, 1.210120268907822073e+08, 4.036528267778152367e+05
9.057326008981998694e-11, 1.220091376136721969e+08, 4.281296121940428857e+05
9.527961640236521090e-11, 1.234692540400291681e+08, 4.557696065376485349e+05
1.002305238077900488e-10, 1.248481616231350899e+08, 4.848110417131728027e+05
1.054386896391260237e-10, 1.281360708108368516e+08, 5.234386243519072304e+05
1.109174815262403146e-10, 1.307371813591979742e+08, 5.618206553760847310e+05
1.166809617060962959e-10, 1.314136248036143929e+08, 5.940779313751470763e+05
1.227439231158405997e-10, 1.337536348418950588e+08, 6.360822683251500130e+05
1.291219273613533562e-10, 1.354414906743344367e+08, 6.775858606510446407e+05
1.358313446587154174e-10, 1.370426514229692519e+08, 7.212295820439845556e+05
1.428893958511103824e-10, 1.391720069304304719e+08, 7.705043706974562956e+05
1.503141966090024084e-10, 1.404595605440762937e+08, 8.180507402258611983e+05
1.581248039270385857e-10, 1.429859042486976683e+08, 8.760485599936214276e+05
1.663412650370169698e-10, 1.458643282330355048e+08, 9.401353435622082325e+05
1.749846688624654551e-10, 1.487696399662219882e+08, 1.008700542174119502e+06
1.840772001468954491e-10, 1.513823883503005505e+08, 1.079767619548092131e+06
1.936421963946606826e-10, 1.531845062752106190e+08, 1.149415782915820833e+06
2.037042077705718970e-10, 1.552941436191459894e+08, 1.225815600883931387e+06
2.142890601120060623e-10, 1.575284282826169729e+08, 1.308088596889353823e+06
2.254239212152432687e-10, 1.594654950841265619e+08, 1.393007717785358895e+06
2.371373705661655168e-10, 1.616718364051159322e+08, 1.485696811054639751e+06
2.494594726942950709e-10, 1.631440618500639200e+08, 1.577163006965992972e+06
2.624218543384439019e-10, 1.647520118535832167e+08, 1.675506133642247180e+06
2.760577856220344782e-10, 1.664472114405958056e+08, 1.780747412109425990e+06
2.904022654464451017e-10, 1.685337514306231439e+08, 1.896809580428067129e+06
3.054921113215515548e-10, 1.692978412018852830e+08, 2.004471514717183774e+06
3.213660538640321425e-10, 1.709684419018442333e+08, 2.129495115217200015e+06
3.380648362059815113e-10, 1.729673785581128597e+08, 2.266406245982501656e+06
3.556313185689847556e-10, 1.742608790855183601e+08, 2.402077326898294035e+06
